TrackID	X	Y	Z
1	10215	37867	0
1	10539	37759	0
1	10917	37381	0
1	11601	37375	0
1	12332	36001	0
1	12488	34534	0
2	20342	26062	1051351
2	20361	25903	1051301
2	20372	25790	1051254
2	20396	25665	1051191
2	20405	25537	1051095
2	20436	25414	1050978
2	20483	25296	1050824
2	20540	25184	1050645
2	20605	25075	1050458
2	20675	24971	1050290
2	20787	24815	1050083
2	20891	24671	1049890
2	20970	24554	1049728
2	21715	23646	1048240
2	22128	23002	1047884
2	22414	22476	1047818
2	22729	22079	1047484
2	22819	21988	1047414
2	22918	21907	1047344
2	23024	21835	1047292
2	23137	21776	1047274
2	23257	21732	1047266
2	23380	21698	1047260
2	23907	21797	1047308
2	24514	21823	1047506
2	24901	21683	1047465
2	25194	21542	1047449
2	25456	21432	1047481
2	25792	21385	1047654
2	26057	21420	1047608
2	26360	21484	1047587
2	26752	21595	1047581
2	27453	21816	1047365
2	27942	22037	1047426
2	28642	22231	1047399
2	29375	22284	1047484
2	29975	22307	1047476
2	30485	22327	1047524
2	30677	22334	1047471
2	30805	22334	1047405
2	30932	22328	1047324
2	31059	22314	1047305
2	31185	22288	1047357
2	31307	22249	1047372
2	31425	22201	1047364
2	31541	22146	1047323
2	31654	22086	1047275
2	31850	21976	1047209
2	31981	21905	1047169
2	32096	21847	1047152
2	32710	21527	1047409
2	33557	21072	1047446
2	34032	20846	1047427
2	34431	20688	1047446
2	34740	20592	1047425
2	35024	20527	1047398
2	35389	20467	1047347
2	35892	20410	1047207
2	36580	20346	1047576
3	43549	3506	1118523
3	43725	3143	1117408
3	44532	2867	1114503
3	45188	2879	1112180
3	45711	2912	1110313
3	46371	2909	1108263
3	47002	2881	1106514
3	47572	2840	1104946
3	48112	2762	1103549
3	48959	2759	1101737
3	49898	2684	1099923
3	50656	2662	1098552
3	51880	2664	1096583
3	53326	2689	1095293
4	48537	32788	1049158
4	48332	33084	1049107
4	47929	33132	1049157
4	47017	33105	1049200
4	46929	33809	1049533
4	46962	34902	1050661
4	46993	35550	1049757
4	47071	35944	1049995
4	47162	36306	1049894
4	47310	36733	1049945
4	47378	37234	1049966
4	47426	37857	1049614
4	47428	38390	1049329
4	47464	39152	1049150
4	47421	39789	1048989
4	47569	40280	1049491
4	47578	40759	1049487
4	47409	41117	1049449
4	47001	41706	1049769
4	46483	42035	1049429
4	46199	42350	1049233
4	45869	42864	1049239
4	45339	43391	1049655
4	44799	43543	1049837
4	43654	44016	1049387
4	43280	44464	1049345
4	43024	44840	1049384
4	42768	45258	1049531
4	42707	45595	1049550
4	42887	45967	1049391
4	43104	46347	1049365
4	43295	46701	1049577
4	43433	47087	1049714
4	43502	47483	1049936
4	43454	47901	1049897
4	43426	48312	1049746
4	42793	48471	1049585
4	42272	48531	1049558
4	41749	48733	1049562
4	41042	49062	1049608
4	40563	49480	1049548
4	40037	49760	1049566
4	39513	50070	1049555
4	39100	50311	1049496
4	38445	50767	1049335
4	37986	51072	1049147
4	37318	51513	1048787
4	36890	51794	1048601
4	36292	52174	1048790
4	35909	52466	1048907
4	35427	52779	1049093
4	34916	53102	1049181
4	33807	53647	1049201
4	33035	54015	1048997
4	32454	54462	1048953
4	32039	54572	1049198
4	31626	54806	1049543
4	31143	55098	1049648
4	30609	55390	1049613
4	29970	55684	1049731
4	29390	55971	1049580
4	28777	56152	1049416
4	28190	56301	1049231
4	27644	56322	1049032
4	27046	56419	1049016
4	26364	56462	1049265
4	25782	56532	1049430
4	25179	56503	1049426
4	24663	56483	1049257
4	24275	56408	1049209
4	23727	56340	1049182
4	22600	56184	1049216
4	21692	56046	1049167
4	21347	56000	1049176
4	20770	55912	1049294
4	20215	55820	1049236
4	19351	55683	1049078
4	18773	55654	1048897
4	18159	55558	1048663
6	7195	14459	1048402
6	6824	14702	1048146
6	6484	14887	1048038
7	59548	8292	1049115
7	59120	8050	1048603
7	58709	7769	1047856
7	58396	7349	1047372
7	58176	7009	1047007
7	57983	6640	1046600
7	57867	6417	1046392
7	57849	6122	1046180
7	57812	5690	1045820
7	57704	5338	1045556
7	57567	5048	1045363
7	57432	4755	1045164
7	57300	4478	1045016
7	57156	4179	1044872
7	57038	3943	1044736
8	85274	73119	1169221
8	85342	73275	1169281
8	85473	73500	1169287
8	85688	73725	1169293
8	85777	74067	1169293
8	85763	74649	1169293
8	85793	75430	1169411
8	85836	76085	1169840
8	85835	76666	1170755
9	64136	62465	1050214
9	64210	62303	1050214
9	64283	62140	1050214
9	64356	61978	1050214
9	64430	61816	1050682
9	64503	61653	1050768
9	64576	61491	1050853
9	64650	61328	1050939
9	64723	61166	1051025
9	64796	61004	1051111
9	64870	60841	1051196
9	64943	60679	1051282
9	65016	60517	1051368
9	65090	60354	1051453
9	65163	60192	1051539
9	65236	60030	1051723
9	65310	59867	1051783
9	67432	59867	1051223
9	67678	59770	1051745
9	67849	59584	1051740
9	67705	57908	1051099
9	67755	57061	1050827
9	67845	56393	1050674
9	68073	56000	1050529
9	68349	55721	1050490
9	68633	55457	1050654
9	68828	55244	1050780
9	69038	55018	1050789
9	69210	54764	1050795
9	69251	54487	1050713
9	69237	54165	1050727
9	69200	53831	1050592
9	69151	53456	1050376
9	69164	53118	1050321
9	69160	52817	1050306
9	69234	52505	1050324
9	69380	52236	1050206
9	69633	51947	1050124
9	69831	51640	1050039
9	70038	51360	1050041
9	70279	51030	1050045
9	70518	50744	1050049
9	70795	50394	1050140
9	70953	50134	1050114
9	71132	49834	1050103
9	71300	49374	1049980
9	71305	48985	1049959
9	71293	48615	1049950
9	71250	48185	1049948
9	71212	47819	1049941
9	71196	47451	1049922
9	71207	47036	1049944
9	71286	46637	1049945
9	71381	46337	1050014
9	71455	45987	1050129
9	71442	45310	1050491
9	71282	44746	1050862
9	71031	44048	1051849
9	70875	43449	1052783
9	70873	42876	1053484
9	70884	42365	1053905
9	70911	42040	1053936
9	71016	41611	1053935
9	71183	41376	1053788
9	71451	41001	1053345
9	71687	40723	1053092
9	71992	40429	1052794
9	72481	39857	1052350
9	72738	39406	1052025
9	72874	39102	1051892
9	73017	38778	1051839
9	73283	38362	1051838
9	73427	38163	1051837
9	73648	37888	1051837
9	73856	37672	1051838
9	74090	37385	1051841
9	74343	37178	1051840
9	74540	37030	1051838
9	74801	36849	1051840
9	75044	36668	1051839
9	75339	36487	1051838
9	75585	36272	1051843
9	75829	36143	1051849
9	76103	36011	1051844
9	76424	35818	1051838
9	76706	35671	1051838
9	76965	35527	1051840
9	77283	35318	1051862
9	77531	35000	1051850
9	77826	34787	1051952
9	78099	34560	1051998
9	78337	34296	1052198
9	78551	34044	1052380
9	78943	33646	1052494
9	79190	33211	1052462
9	79416	32594	1052835
9	79645	32058	1052460
9	79766	31604	1052915
