ID	ForceID	FreeAcquire
0	0	0
1	1	1
2	1	1
3	2	1
4	2	1
5	3	1
6	3	1
7	5	1
8	5	1
9	6	1
10	6	1
11	7	1
12	7	1
13	4	1
14	4	1
15	8	1
16	8	1
17	0	0
18	0	0
19	10	1
20	10	1
21	10	1
22	10	1
23	9	1
24	9	1
25	1	0
26	2	0
27	3	0
28	4	0
29	5	0
30	6	0
31	7	0
32	8	0
33	9	0
34	10	0
35	10	0
36	21	1
37	21	1
38	21	0
39	0	0
40	0	0
41	0	0
42	22	1
43	22	1
44	22	0
45	0	0
46	23	1
47	23	1
48	23	0
49	0	0
100	0	1
101	0	1
102	0	1
103	0	1
104	0	1
105	0	1
106	0	0

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
