ID	SkillName	IconID	Desc
0		0	
1	风来吴山	1	全团注意1！
2	鹤归	1	全团注意2
3	生太极	2	dps注意3
4	吞日月	2	dps注意4
5	紫气东来	3	爆发了！
6	缠丝分骨刀	1	猛击当前仇恨，造成大量伤害并锁足，然后快速旋转以极快的刀法反复削砍当前目标，持续5秒。需要开启千瞬奇门或其他防御招式抵御。
7	千山鸟鸣	8	用内力发出尖锐的口哨声，召唤5只毒鸟从不同方向飞向自己，每到一只引爆一次大范围的毒性伤害，并附带“毒鸩”效果，可叠加。飞鸟不可攻击，被人提前引爆后触发小范围毒性伤害。
8	毒鸩	2	持续毒性伤害，可吸收大量治疗效果
9	雪迹藏踪	9	每次释放千山鸟鸣后遁入风雪之中，隐藏自身行踪，并呼叫两名隐元会暗杀者攻击场地内玩家。第一次进入隐身后，会携带伤害吸收护盾，在每次显形后若能击碎护盾，则脱离雪迹藏踪状态。
10	索敌	6	每次释放雪迹藏踪隐身后，会随机追踪并标记一名玩家，一段时间后在此玩家身后显形，并释放夜斩。
11	夜斩	5	前方扇形范围伤害，被命中玩家会携带持续的毒性伤害不利气劲，持续10秒。
12	寒月逐命箭	3	对场地内随机玩家释放的远程单体毒性伤害，可被千索夺魂或寒冰针枪打断。
13	雪禁	9	封闭玩家经脉，使其无法使用特殊招式。
14	夜雪	6	随机玩家头顶降落雪花，并在一段时间后在地上形成寒气气劲，若玩家在此雪地上，则会叠加刺骨不利效果，降低移动速度、攻击、气血上限，10层后直接重伤。若玩家身上有寒雪或者夜雪不利气劲，也会直接重伤。
15	逐风飞雪斩	5	地字一号瞬移到某块雪地上，扬起雪花，扩大雪地面积。并释放一个覆盖全场的阴性范围伤害，扶摇跳起可躲，被命中者会携带寒雪不利气劲。
16	寒雪	6	持续阴性伤害，结束后气劲四散，在脚下形成夜雪区域。
17	烈风狼爪	1	对当前目标每秒进行一次外功伤害打击，持续引导15秒。
18	贪狼噬日	1	瞬间对当前目标造成大量内功伤害，需要开启主动防御招式抵御。
19	摧山断岳	5	短暂蓄力后，对以首领为圆心的30尺范围内所有玩家造成大量外功穿透伤害，需要在首领背后区域躲避。
20	回风望月	5	每释放5次摧山断岳后，首领会立即对身后30尺范围内玩家造成大量外功伤害，扶摇可躲避。
21	延伸打击	1	当前目标离开首领近战范围后，首领会立即向当前目标施放远程穿透伤害，随距离增加伤害。
22	注视	6	随机选择玩家标记，标记结束后狼牙刺客会显形绞杀此玩家，被摧山断岳命中后刺客会提前显形。
23	盾兵·坚盾	7	塔防小怪招式，会给首领添加免伤增益效果。
24	射手·乱射	7	塔防小怪招式，每秒覆盖全场范围的外功伤害。
25	补给兵·焦油	7	塔防小怪招式，区域内降低玩家移动速度，可叠加，5层后定身。
26	补给兵·地刺	7	塔防小怪招式，对区域内玩家造成持续外功伤害。
27	补给兵·炸药	7	塔防小怪招式，到点后随机玩家追踪，若接触则爆炸造成阳性内功伤害，并引爆焦油以及地刺。
28	七情覆灭·恨贯肌骨	6	跳跃闪烁到指定玩家背后，将其绞喉，造成大量外功伤害，并附加蚀骨外功不利气劲，随时间增加伤害，可被坐困愁城解除。
29	七情覆灭·疾风怒羽	5	将全场玩家不断向自己拉扯，一段时间后猛击地面，把8尺范围内敌方单位全部击飞并卷入空中不断削砍，造成大量外功伤害。
30	七情覆灭·坐困愁城	6	释放寒气随机追踪指定玩家，若被玩家触碰，则会化作冰柱困住玩家，一段时间内没有被击碎，所困玩家会因窒息死亡。
31	七情覆灭·雪舞惧散	5	不断向四周释放气劲，被命中的玩家会进入到混乱的状态，身体不受自己控制。
32	七情覆灭·痴断情肠	8	场地内随机两名玩家之间建立连线，两者持续受到内功真实伤害，距离越远伤害越高，若一名玩家死亡，则另外一名玩家也会肝肠寸断而死。
33	七情覆灭·傲物苍生	9	随机触发十二地支中的四个邪影，若在指定时间内没有击杀，则会触发欲障邪影。
34	七情覆灭·欲障邪影	9	根据傲物苍生残留的地支邪影个数，会出现黑鹰的真假分身，真身被击杀后则结束招式释放，攻击假身会导致再次分身。
35	心随化物	9	欲障邪影释放结束后，黑鹰会汲取十二地支残留的邪影能力，短暂获得此邪影的招式。
36	地支邪影·鼠体	7	为自身添加防御增加的增益效果。
37	地支邪影·气冲牛斗	5	随机方向连续释放三次矩形范围外功伤害。
38	地支邪影·虎啸	5	短暂蓄力后，释放全场范围的外功伤害，扶摇可躲。
39	地支邪影·狡兔三窟	6	场地内随机三名玩家脚下出现地洞，对上面的玩家造成大量外功伤害并锁足。
40	地支邪影·龙翔	8	短暂蓄力后，随机方向释放两条龙形气劲，若遭遇玩家则爆炸，对2尺半径内的单位造成阳性伤害。
41	地支邪影·蛇噬	5	短暂蓄力后，前方扇形范围内造成大量毒性伤害，并附带毒性不利气劲。
42	地支邪影·马蹄破阵	8	短暂蓄力后，对半径6尺范围内玩家造成外功伤害，伤害由范围内玩家分摊。
43	地支邪影·角击	1	对当前目标造成大量外功伤害，并击飞一段高度。
44	地支邪影·猴子偷桃	6	随机目标后闪现，并缴械当前目标。
45	地支邪影·鸡鸣	5	短暂蓄力后释放，全场范围外功伤害，若玩家正在吟唱，则打断当前动作，并沉默。
46	地支邪影·犬牙	1	前方扇形范围外功伤害，附带外功持续伤害，5层后释放所有伤害。
47	地支邪影·气血充盈	3	长时间蓄力，并为自身添加护盾，蓄力结束前若无法击碎护盾，则回复自身大量气血值。
48	初爻·凝滞	9	初爻为阴时，八卦锁神阵中的天字零号获得防御增强的增益效果，气血损失变缓。
49	初爻·活脉	9	初爻为阳时，八卦锁神阵中的天字零号获得气血缓慢恢复的增益效果。
50	二爻·阳灼	1	二爻为阳时，无名的普通攻击会附带阳灼效果，对当前目标造成持续阳性伤害，可叠加无法主动驱散，能被阴蚀消除。
51	二爻·阴蚀	1	二爻为阴时，无名的普通攻击会附带阴蚀效果，降低当前目标的气血上限，可叠加无法主动驱散，能被阳灼消除。
52	三爻·封镜	9	三爻为阴时，无名和玩家的招式伤害都被降低。
53	三爻·融雪	9	三爻为阳时，无名和玩家的招式伤害都被提高。
54	众星拱月	2	傀儡残骸积攒到6个后，无名会牵引傀儡残骸到自己身边，每到一个会引发全场范围内功伤害，结束后获得攻击提升的气劲，持续10秒。
55	延伸打击	1	当前目标离开首领近战范围后，首领会立即向当前目标施放远程穿透伤害，随距离增加伤害。
56	阴阳易转	1	短暂蓄力后，傀儡·阴阳会给场地随机玩家标记，标记持续时间内，对当前目标的伤害全部转移给此玩家。
57	剪影	1	对当前目标施放，每次造成大量真实伤害，并叠加剪影不利气劲，对下一次剪影造成伤害提升。
58	幽天玄劲	7	每隔一段时间会从二爻场地两短出现一个傀儡·噬，缓慢向无名靠近，若进入无名近身范围，则立即被无名吸收并杀死一名随机玩家，在此玩家尸体上转化出一只无名之影。
59	死盾	9	反弹一切攻击伤害，可被卦劲招式破除。
60	玄劲溃散	2	无名之影自身气血低于一定值后，会不断释放覆盖全场范围的大量阴性伤害。
61	幽冥双刃	1	挥动双爪，对前方10尺范围内的两名玩家造成大量伤害，若此范围内没有玩家则对场地内所有玩家造成大量伤害。
62	冥域	8	覆盖无名面前6尺范围的阴性气劲，对直接进入其中的玩家，会立即遭到腐化，重伤并转化为傀儡。
63	阴阳相生	9	按照心法，会随机给场地内外功职业添加内功增强的增益效果，内功职业添加外功增强的增益效果。
64	幽冥气劲	7	无名从锁神八卦阵中汲取力量，并每隔一段时间引爆一次，造成的伤害取决于幽冥气劲残余的能量。
65	八卦锁神	9	无名通过阵法操控囚禁天字零号，不同爻位的阴阳气劲会对战斗产生不同效果。
66	上品金疮药	3	崔乾佑回到城门下进行回复，需要在期间内，累计使用7次外功伤害招式（普通攻击亦可）将其打断。须小心城墙上的弓箭手，不要在崔乾佑身边久留以免被瞄准狙击。
67	悲酥清风	5	崔乾佑吟唱释放的范围伤害，被击中之后会被封印轻功。
68	铁骑	5	从城门内召唤的骑兵冲锋队列，对前方的玩家造成大量伤害，可以通过扶摇或者走位进行躲避。若不进行躲避，则伤害会逐渐增加。
69	战车冲锋	6	崔乾佑选择场上1到2辆战车，对场地内的玩家进行锁定，并在短暂延迟之后对其方向进行冲锋。可以走位或者扶摇躲避，若不躲避则会被击倒并附带持续伤害。若战车冲向崔乾佑，亦可对其造成大量伤害。
70	倒地起身	10	被战车冲锋击倒之后的2秒内，可以使用qte进行快速起身，并可消除身上的持续伤害不利效果。
71	画地为牢	9	随机点名一个玩家，在其脚下生成一个圆，在圆内的玩家无法使用轻功，并会持续受到伤害，随着时间的增加这个伤害会越来越大，离开地牢在进入伤害会重新计算。圆内必须要有一名玩家，最后一个离开地牢的玩家会立刻死亡。
72	挟持	9	严庄挟持身旁的侍女，攻击对其无效。
73	怯懦	9	每当玩家击杀一定数量狼牙锤兵后，严庄会害怕起来，玩家此时可以对严庄造成伤害。
74	裂地锤	5	战斗中出现的狼牙锤兵击打地面造成半径30米的范围伤害。
75	暗杀	9	战斗中出现的暗杀者刚出场时就会隐去身形，选择随机目标，朝其移动，在移动过程中会在地面出现脚印，如果被范围伤害打中，暗杀就算失败，刺客现身，如果成功移动到目标身边会对目标造成大量伤害。
76	闪光弹	9	暗杀者在潜行状态下被击现身后或者刺杀成功后释放，吟唱3秒，需要背对光源，否则会眩晕。
77	火牛阵	5	安守忠招出幻影，以自身为中心对随机玩家进行冲锋，每打中玩家一次造成外功范围伤害，给BOSS自身加一层标记气劲,每若干层气劲后火牛阵持续时间会增加。
78	铜锤阵	6	BOSS将铜锤朝玩家扔去，造成伤害并击倒。铜锤会插在地面保留一段时间，这段时间内若无玩家站在铜锤范围内，铜锤将在5秒钟后回到BOSS手上，并在路径上留下燃烧火径，每半秒造成一次内功范围伤害，BOSS在接下来10秒内，普通攻击附带降低若干防御不利气劲，可叠加，永久持续。若有玩家站在地上的铜锤范围内，则铜锤会被"压制"15秒后回到BOSS，压制时间内BOSS受到额外伤害。
79	守城阵	7	BOSS招出狼牙弓箭兵，弓箭兵会向场内随机玩家射击，生成永久持续燃烧的火圈。火圈有范围伤害，若BOSS经过火圈，BOSS会获得加成，普通攻击附带3米溅射效果，且附带持续伤害。
80	猿公剑气	5	以气御剑，释放出自己的剑气，线性阴性伤害招式。剑气方形范围，击中音阵台四周的乐师后，会暂时眩晕乐师，使其不能演奏。
81	剑灵寰宇	5	瞬发，在场地上出现四个不同大小，同一中心的圆环，依次四圈爆炸。对玩家造成阴性伤害，并且会锁足玩家，不可驱散。
82	演奏QTE	10	场边乐师进行乐器演奏，需要玩家进行对应的QTE操作，一系列的音符演奏后，如果玩家没有对应演奏正确，乐师将释放惩罚招式，演奏成功则获得增益气劲。
83	化骨绵掌	8	高力士命令手下释放斗鸡。鸡向玩家飞去，被攻击后转变移动方向。此后高力士连续释放化骨绵掌，只会向鸡的方向释放，击中鸡和玩家后附带伤害及定身，并在被定身处继续释放附带伤害和定身的范围伤害。
84	寒气逼人	5	吟唱后随机面对一个玩家方向，释放一个推进型扇形范围伤害
