TabType	ID	Durability	BelongSchool	MagicKind	Get_Desc	BelongMapID
5	317				{[源明雅]}	28
5	876				{[武煌卫白耳刀兵,武煌卫步伍,武煌卫精锐锤兵,武煌卫精锐斧兵,武煌卫精锐斧兵,武煌卫精锐斧兵,武煌卫伍长,武煌卫陷阵斧兵,武煌卫新兵,武煌卫新兵,武煌卫玄铁甲兵],[武煌卫精锐锤兵,武煌卫精锐斧兵,武煌卫精锐斧兵,武煌卫精锐斧兵,武煌卫伍长,武煌卫陷阵甲兵,武煌卫新兵,武煌卫新兵,武煌卫玄铁甲兵]}	32|46
5	906				{[董虎]}	247
5	968				{[瓷罐],[随机宝箱],[随机宝箱],[天策宝箱],[天策宝箱],[杜森,霍正军,莫寻常,钟一洋],[杜森,霍正军,莫寻常,钟一洋],[宝箱,宝箱,宝箱],[宝箱,宝箱,宝箱],[军需物资],[军资箱],[军需物资],[军资箱],[军需物资],[军资箱],[军需物资],[军资箱]}	134|164|165|175|176|177|178|182|183|191|192|198|199|205|206|211|212
5	972				{[发疯的侠士],[武煌卫白耳刀兵,武煌卫步伍,武煌卫精锐锤兵,武煌卫精锐斧兵,武煌卫精锐斧兵,武煌卫精锐斧兵,武煌卫伍长,武煌卫陷阵斧兵,武煌卫新兵,武煌卫新兵,武煌卫玄铁甲兵],[武煌卫精锐锤兵,武煌卫精锐斧兵,武煌卫精锐斧兵,武煌卫精锐斧兵,武煌卫伍长,武煌卫陷阵甲兵,武煌卫新兵,武煌卫新兵,武煌卫玄铁甲兵]}	26|32|46
5	973				{[发疯的侠士],[武煌卫白耳刀兵,武煌卫步伍,武煌卫精锐锤兵,武煌卫精锐斧兵,武煌卫精锐斧兵,武煌卫精锐斧兵,武煌卫伍长,武煌卫陷阵斧兵,武煌卫新兵,武煌卫新兵,武煌卫玄铁甲兵],[武煌卫精锐锤兵,武煌卫精锐斧兵,武煌卫精锐斧兵,武煌卫精锐斧兵,武煌卫伍长,武煌卫陷阵甲兵,武煌卫新兵,武煌卫新兵,武煌卫玄铁甲兵]}	26|32|46
5	974				{[发疯的侠士],[武煌卫白耳刀兵,武煌卫步伍,武煌卫精锐锤兵,武煌卫精锐斧兵,武煌卫精锐斧兵,武煌卫精锐斧兵,武煌卫伍长,武煌卫陷阵斧兵,武煌卫新兵,武煌卫新兵,武煌卫玄铁甲兵],[武煌卫精锐锤兵,武煌卫精锐斧兵,武煌卫精锐斧兵,武煌卫精锐斧兵,武煌卫伍长,武煌卫陷阵甲兵,武煌卫新兵,武煌卫新兵,武煌卫玄铁甲兵]}	26|32|46
5	975				{[伏击武僧,迦兰罗汉,迦兰武僧,迦兰武僧,迦兰武僧头目,戒律僧·寒冰,戒律僧·炎火,苦行僧,燎原,明慧僧,沙弥,诵经僧,天竺僧头目,武煌卫白耳刀兵,武煌卫步伍,武煌卫典狱长,武煌卫精锐锤兵,武煌卫精锐斧兵,武煌卫精锐斧兵,武煌卫精锐斧兵,武煌卫伍长,武煌卫陷阵斧兵,武煌卫玄铁甲兵,炎火僧,狱卒],[韩尚仁,李文表,秋易醉,骁果营恶狼,骁果营机关技师,骁果营禁军队正,骁果营禁军军师,骁果营禁军校尉,骁果营禁卫军,骁果营禁卫统领,骁果营军犬,骁果营猛虎],[天一教幻影杀手,天一教卫士,天一教卫士长,天一教众,屠灵鬼手尸,亡魂尸,武毒尸,怨女尸,斩魄尸,终极机甲龙,终极铁颅],[阿里曼拜火者,阿里曼朝灵者,阿里曼刺客,阿里曼宫门精锐守卫,阿里曼宫门守卫,阿里曼宫门守卫长,阿里曼监察,阿里曼监奴,阿里曼精英守卫,阿里曼巡察,前山村民,受控的村民,主祭司右侍从,主祭司左侍从],[飞羽射手,禁军游枪尉,精锐刀兵,傀儡盾兵,午睡的斥候,巡游骑兵,驯兽师,游枪队正],[纯阳剑宗弟子,纯阳气宗弟子,东方茗,风花落,江湖混混,江湖混混,冷星痕,刘茫,龙采灵,少林达摩院弟子,少林戒律院弟子,天峰营精锐锤兵,天峰营精锐盾兵,天峰营精锐工兵,天峰营精锐弓兵,天峰营精锐枪兵,万花白棋仆,万花黑棋仆,长空],[八宝斋,宫本武藏,鬼神童子,幻影武者,金刚道守阵武士,浪人侍从,柳兵卫,忍者头目,山上忆良,神锋道守阵武士,吞酒童子,武藏,雾隐暗忍,雾隐鬼忍,雾隐火忍,雾隐浪人,雾隐水忍,雾隐土忍,下流武士,小次郎,小舞,须佐之男,御堂藻前],[玄部机关师,源氏部将,源氏弓足轻,源氏近侍,源氏雪部上忍,源氏阴阳师,月部上忍,月部中忍],[翻天鼠,雇佣的民夫,雇佣的射手,天竺癫狂僧,天竺度厄僧,天竺番经僧,天竺空灵僧,天竺无昼僧,天竺执法僧],[惩戒僧,伏击武僧,迦兰罗汉,迦兰武僧头目,戒律僧·寒冰,戒律僧·邪水,戒律僧·炎火,苦行僧,老练战狼,明慧僧,沙弥,诵经僧,天竺魔僧,天竺僧头目,武煌卫白耳刀兵,武煌卫步伍,武煌卫精锐锤兵,武煌卫精锐斧兵,武煌卫精锐斧兵,武煌卫精锐斧兵,武煌卫伍长,武煌卫陷阵甲兵,狱卒],[狼牙夜暮刺客,骁骑营振威校尉勋],[炎部上忍],[御风护卫,御火护卫,御火门徒,御雪护卫],[炎部上忍],[炎部上忍],[瓷罐],[随机宝箱],[随机宝箱],[天策宝箱],[天策宝箱],[杜森,霍正军,莫寻常,钟一洋],[杜森,霍正军,莫寻常,钟一洋],[宝箱,宝箱,宝箱],[宝箱,宝箱,宝箱],[军需物资],[军资箱],[军需物资],[军资箱],[军需物资],[军资箱],[军需物资],[军资箱]}	32|36|37|40|41|42|43|44|45|46|47|61|62|63|64|134|164|165|175|176|177|178|182|183|191|192|198|199|205|206|211|212
5	976				{[伏击武僧,迦兰罗汉,迦兰武僧,迦兰武僧,迦兰武僧头目,戒律僧·寒冰,戒律僧·炎火,苦行僧,燎原,明慧僧,沙弥,诵经僧,天竺僧头目,武煌卫白耳刀兵,武煌卫步伍,武煌卫典狱长,武煌卫精锐锤兵,武煌卫精锐斧兵,武煌卫精锐斧兵,武煌卫精锐斧兵,武煌卫伍长,武煌卫陷阵斧兵,武煌卫玄铁甲兵,炎火僧,狱卒],[韩尚仁,李文表,秋易醉,骁果营恶狼,骁果营机关技师,骁果营禁军队正,骁果营禁军军师,骁果营禁军校尉,骁果营禁卫军,骁果营禁卫统领,骁果营军犬,骁果营猛虎],[天一教幻影杀手,天一教卫士,天一教卫士长,天一教众,屠灵鬼手尸,亡魂尸,武毒尸,怨女尸,斩魄尸,终极机甲龙,终极铁颅],[阿里曼拜火者,阿里曼朝灵者,阿里曼刺客,阿里曼宫门精锐守卫,阿里曼宫门守卫,阿里曼宫门守卫长,阿里曼监察,阿里曼监奴,阿里曼精英守卫,阿里曼巡察,前山村民,受控的村民,主祭司右侍从,主祭司左侍从],[飞羽射手,禁军游枪尉,精锐刀兵,傀儡盾兵,午睡的斥候,巡游骑兵,驯兽师,游枪队正],[纯阳剑宗弟子,纯阳气宗弟子,东方茗,风花落,江湖混混,江湖混混,冷星痕,刘茫,龙采灵,少林达摩院弟子,少林戒律院弟子,天峰营精锐锤兵,天峰营精锐盾兵,天峰营精锐工兵,天峰营精锐弓兵,天峰营精锐枪兵,万花白棋仆,万花黑棋仆,长空],[八宝斋,宫本武藏,鬼神童子,幻影武者,金刚道守阵武士,浪人侍从,柳兵卫,忍者头目,山上忆良,神锋道守阵武士,吞酒童子,武藏,雾隐暗忍,雾隐鬼忍,雾隐火忍,雾隐浪人,雾隐水忍,雾隐土忍,下流武士,小次郎,小舞,须佐之男,御堂藻前],[玄部机关师,源氏部将,源氏弓足轻,源氏近侍,源氏雪部上忍,源氏阴阳师,月部上忍,月部中忍],[翻天鼠,雇佣的民夫,雇佣的射手,天竺癫狂僧,天竺度厄僧,天竺番经僧,天竺空灵僧,天竺无昼僧,天竺执法僧],[惩戒僧,伏击武僧,迦兰罗汉,迦兰武僧头目,戒律僧·寒冰,戒律僧·邪水,戒律僧·炎火,苦行僧,老练战狼,明慧僧,沙弥,诵经僧,天竺魔僧,天竺僧头目,武煌卫白耳刀兵,武煌卫步伍,武煌卫精锐锤兵,武煌卫精锐斧兵,武煌卫精锐斧兵,武煌卫精锐斧兵,武煌卫伍长,武煌卫陷阵甲兵,狱卒],[狼牙夜暮刺客,骁骑营振威校尉勋],[炎部上忍],[御风护卫,御火护卫,御火门徒,御雪护卫],[炎部上忍],[炎部上忍],[瓷罐],[随机宝箱],[随机宝箱],[天策宝箱],[天策宝箱],[杜森,霍正军,莫寻常,钟一洋],[杜森,霍正军,莫寻常,钟一洋],[宝箱,宝箱,宝箱],[宝箱,宝箱,宝箱],[军需物资],[军资箱],[军需物资],[军资箱],[军需物资],[军资箱],[军需物资],[军资箱]}	32|36|37|40|41|42|43|44|45|46|47|61|62|63|64|134|164|165|175|176|177|178|182|183|191|192|198|199|205|206|211|212
5	977				{[发疯的侠士]}	26
