Index	NpcName	NpcID	CVName	CVPath1	Time1	CVPath2	Time2	CVPath3	Time3	CVPath4	Time4	CVPath5	Time5	CVPath6	Time6	CVPath7	Time7	CVPath8	Time8
0		0			0		0		0										
1	柳惊涛	15742																	
2	机关骰子	15663																	
3	汉唐	15607																	
4	密室机关																		
5	叶芳致	7090																	
6	叶无心	6773																	
7	叶琦菲	7098																	
8	夜啸	7278																	
9	塔纳刀王	13238																	
10	水云	13239																	
11	苏髓	13240																	
12																			
13	人熊	3420																	
14	邓文峰	3405																	
15	商仲永	3423																	
16	李千水	6235																	
17	方季常	2767																	
18	平三指	2774																	
19	震天甲士	2985																	
20	华铁颅	3131																	
21	冯度	2797																	
22	王彦直	2796																	
23	鬼影小次郎	2795																	
24	鲁飞	6236																	
25	虎啸	2020																	
26	射云	2021																	
27	华鹤炎	2022																	
28	神策暗刺卫	6234																	
29	罗翼	2177																	
30	常万山	2140																	
31	杜姬欣	2188																	
32	温纱儿	6239																	
33	阿里曼监察使	3945																	
34	阿里曼入教主祭司	3951																	
35	卫栖梧	3958																	
36	沙利亚	5520																	
37	阿斯玛	6275																	
38	殷不为	4768																	
39	肖童	4864																	
40	刘大海	2840																	
41	秦雷	4972																	
42	狼牙夜暮刺客	6242																	
43	上衫勇刀	4006																	
44	雾影奈叶	4003																	
45	猿飞菖蒲	4004																	
46	源明雅	4000																	
47	惊慌的蛇	3766																	
48	吉汰	6241																	
49	柳随风	279																	
50	孙敬萧	298																	
51	李尧																		
52	玄悲	282																	
53	陌香	283																	
54	方宇谦	285																	
55	范霸	5739																	
56	赵天龙	5738																	
57	朴宗资	57																	
58	煞灵魔尸	5684																	
59	塔玛	5716																	
60	司徒一一	5717																	
61	夕罗双	5875																	
62	藤原樱奈	5881																	
63	梅剑雄	5882																	
64	慧钟	6212																	
65	千叶佛像	6214																	
66	水中月	6215																	
67	镜中花	6347																	
68	空中云	6348																	
69	罗翼	5900																	
70	庞虎文	5902																	
71	杨心羽	988																	
72	阿里曼监察使	5749																	
73	阿里曼入教主祭司	5755																	
74	卫栖梧	5762																	
75	沙利亚	5791																	
76	卢元霸	6360																	
77	齐宗强	6361																	
78	肖红	6362																	
79	熊奎	6363																	
80	汪莽	6364																	
81	尸灵武者	6306																	
82	谢云流	6305																	
83	野村一郎	6279																	
84	服部胧藏	6181																	
85	玄阴子	6060																	
86	程傲	6131																	
87	王积薪																		
88	道衍	6207																	
89	李裳秋	6065																	
90	方鹤影	6066																	
91	叶凌烈	7468																	
92	叶无心	7471																	
93	叶火汐	7439																	
94	叶昊天	7444																	
95	叶金素	7447																	
96	叶冬辰	7462																	
97	叶秋池	7481																	
98	王海银	5067																	
99	朱癸	5068																	
100	平等	5744																	
101	掌火	5072																	
102	镇恶	5095																	
103	餐风	891																	
104	饮火	892																	
105	吞云	893																	
106	千手观音	7791																	
107	王海银	6436																	
108	朱癸	6456																	
109	平等	6431																	
110	掌火	6454																	
111	镇恶	6455																	
112	餐风	6408																	
113	饮火	6451																	
114	吞云	6435																	
115	千手观音	7602																	
116																			
117	谢云流	7242																	
118	提多罗吒	7270																	
119	谢云流	7646																	
120	谢云流	7528																	
121	提多罗吒	7610																	
122	提多罗吒	7514																	
123	水烟	7757																	
124	罗索斯	7759																	
125	提坦德亚罗	7761																	
126	牡丹	7762																	
127	水烟	9694																	
128	罗索斯	9696																	
129																			
130	提坦德亚罗	9698																	
131																			
132	牡丹	9699																	
133																			
134	孟康	6610																	
135	沐云冲	6612																	
136	猿飞鬼助	5834																	
137	濯垢奇蛛	5843																	
138	胡鞑	8168																	
139	武逸青	8169																	
140	智慧	8170																	
141	桃叶仙	8161																	
142	濯尘	8184																	
143	多多	8760																	
144	塔纳刀王	8924																	
145	水云	8925																	
146	苏髓	8926																	
147	藏·剑邪鸠	11148																	
