ID	money	experience	contribution	justice	prestige	titlepoint	arenaaward	exteriorpiece	examprint	train	tongfund	tongresource	prestigelimit	contributionlimit	justicelimit	personalhighlevel	teamhighlevel	exitem1	exitem2	exitem3	exitem4	exdoubleitem
0	0	0	0	0	0	0	0		0	0	0	0										
14	10		2000	400																		
16					3000	1000																
17																		8;13938;1	5;17347;1	5;10334;1	8;18348;1	
18					3000	1000																
19																						
27					3000	1000																
28					3000	1000																
29	150		4000	600							300											
30			3500	500	3500																	
31					3000	1000																
32																		8;87;1	6;14814;1	7;34806;1	7;34807;1	
33																		8;18295;1	8;88;1	8;89;1	5;27842;1	
34																		8;19463;1	8;13760;1	8;2833;1	8;17537;1	
35									100													
36									100													
37									200													
41					5000	2500																
42																		5;10439;1	5;17537;1	5;4933;1	8;18396;1	
43																		8;10188;1	8;13761;1	8;19464;1	5;23544;1	
44					3000	1000																
45																						
46																						
49																						
50																						
51																						
52																						
53																						
54																						
55																						
56																						
58																						
59																		8;17321;1	8;19374;1	8;20989;1	8;9632;1	
61																						
62																						
63																						
64																						
69																						
70					3000	1000																
71					3000	1000																
72					3000	1000																
73	50				3500	1500																
74																						
75					3000	1000																
76					3000	1000																
77					3000	1000																
82																						
88																						
89																						
90																						
92																						
93																						
94	15		2000					5;24726;35														
97																						
103																						
104	50																	5;26013;1				
105																						
106																						
110	50			500				5;24726;25														
111	100	100000	3000	300																		
113																		5;7844;1	5;7845;1	5;7846;1	5;7847;1	
114																		5;11632;1	5;20523;1	5;6255;1	5;7968;1	
116																						
117																		8;19332;1	5;18786;45	8;16876;1		
118																						
119										5000												
120	20			300				5;24726;18														
121					3000	1000																
124										1000												
125																						
127																						
128	20																	5;17032;3				
129																						
130																						
131																						
132	50		3000						50	3500								5;10821;15				
133																						
134																						
135																		7;35948;1	7;35949;1	7;35950;1	7;35951;1	
136					3000	1000																
137					3000	1000																
138																						
139																						
141																						
142																						
143																		5;17049;1	5;17046;1	5;17145;1	5;17047;1	
144																						
