Level(这列不读,以表的行号决定等级,从1开始)	Exp
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	8
11	8
12	8
13	8
14	8
15	25
16	25
17	25
18	25
19	25
20	35
21	35
22	35
23	35
24	35
25	80
26	80
27	80
28	80
29	80
30	110
31	110
32	110
33	110
34	110
35	220
36	220
37	220
38	220
39	220
40	300
41	300
42	300
43	300
44	300
45	450
46	450
47	450
48	450
49	450
50	610
51	610
52	610
53	610
54	610
55	1150
56	1150
57	1150
58	1150
59	1150
60	1230
61	1230
62	1230
63	1230
64	1230
65	1850
66	1850
67	1850
68	1850
69	1850
70	4450
71	4450
72	4450
73	4450
74	4450
75	4450
76	4450
77	4450
78	4450
79	4450
80	4450
81	5000
82	5000
83	5000
84	5000
85	5000
86	5000
87	5000
88	5000
89	5000
90	5000
91	10000
92	10000
93	10000
94	10000
95	10000
96	10000
97	10000
98	10000
99	10000
100	10000

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
