ID	TabFile
1	Master/Cooking/High_city.tab
2	Master/Cooking/High_city.tab
3	Master/Cooking/High_city.tab
4	Master/Cooking/High_city.tab
5	Master/Cooking/High_city.tab
6	Master/Cooking/High_city.tab
7	Master/Cooking/High_city.tab
8	Master/Cooking/High_city.tab
9	Master/Cooking/High_city.tab
10	Master/Tailoring/High_city.tab
11	Master/Tailoring/High_city.tab
12	Master/Tailoring/High_city.tab
13	Master/Tailoring/High_city.tab
14	Master/Tailoring/High_city.tab
15	Master/Tailoring/High_city.tab
16	Master/Medicine/High_city.tab
17	Master/Medicine/High_city.tab
18	Master/Medicine/High_city.tab
19	Master/Medicine/High_city.tab
20	Master/Medicine/High_city.tab
21	Master/Medicine/High_city.tab
22	Master/Mining/High_city.tab
23	Master/Mining/High_city.tab
24	Master/Mining/High_city.tab
25	Master/Mining/High_city.tab
26	Master/Mining/High_city.tab
27	Master/Mining/High_city.tab
28	Master/Cooking/High_city.tab
29	Master/Multiple/Common.tab
30	Master/Recasting/High_city.tab

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
