SubType	RepresetID	ItemID	Name
11	1	100	号角
11	2	102	腰鼓
11	3	103	竹筒
11	4	110	木鱼
11	5	1243	卿
11	6	116	竹筒
11	7	4035	结义酒
11	8	120	清萧
11	9	121	真红
11	10	122	笛子
11	11	124	鱼篓
11	12	622	香囊
11	13	623	水囊
11	14	354	蓬莱仙露
11	15	356	神牛葫芦
11	16	357	绣花鼓
11	17	358	秋剑
11	18	4012	天字·铭心锤
11	19	360	酒坛
11	20	361	腰刀
11	21	362	血魔铃
11	22	363	木鱼
11	23	785	药囊
11	23	364	破损不堪的装备
11	24	1249	葫芦
11	24	365	破损不堪的装备
11	25	1248	绝
11	25	366	破损不堪的装备
11	26	367	断水流
11	27	369	红莲
11	28	629	烟斗
11	29	631	铃铛
11	30	632	玄武腰刀
11	31	633	白虎腰刀
11	32	634	青龙腰刀
11	33	635	朱雀腰刀
11	34	636	麒麟腰刀
11	35	637	卷轴
11	36	638	高僧览
11	37	4005	京衙卫佩包
11	38	618	箭囊
11	39	625	手帕
11	40	614	灯笼
11	41	104	猪腿
11	42	1882	碧麟
11	44	4013	天字·草篓
11	45	4015	天字·酒须醉
11	46	4016	天字·连城角
11	47	4017	天字·惬意醺
11	48	4024	隐元秘宝·风骨霸刀
11	48	4025	隐元秘宝·孟秋叶刃
11	48	4026	隐元秘宝·子虚吴钩
11	48	4027	隐元秘宝·乌有越兵
11	49	4028	隐元秘宝·梦回吹角
11	50	1250	铩
11	51	1241	悦
11	52	1883	赤鳍
11	53	353	金甲木鱼
11	54	1720	虬雷重剑
11	55	1702	黄龙剑谱
11	56	1721	伯氏埙
11	57	119	酒坛
11	58	2019	六阳葫芦
11	59	2021	暖羽
11	60	2076	望乡
11	61	2249	瀚海雄风·囊
11	62	2251	铁血丹心·囊
11	63	2429	渔·忘湖
11	64	2624	如意帘·一帆风顺
11	65	2625	如意帘·二龙戏珠
11	66	2626	如意帘·三阳开泰
11	67	2627	如意帘·四季平安
11	68	2628	如意帘·五福同寿
11	69	2629	如意帘·六六大顺
11	70	2630	如意帘·七巧玲珑
11	71	2631	如意帘·八面春风
11	72	2632	如意帘·九九同心
11	73	2633	如意帘·恭喜发财
11	74	2778	黄粱·美蕉
11	75	2803	幽魂曲
11	76	2806	天字·葬魂刺
11	77	2807	天字·逐莲挂
11	78	2808	天字·青丝须
11	79	2809	天字·屠臻鼎
11	80	2810	天字·镰突勾
11	81	2811	莲花葫芦
