MaxValue	DiamondLevel1	DiamondAmount1	DiamondLevel2	DiamondAmount2	DiamondLevel3	DiamondAmount3	DiamondLevel4	DiamondAmount4	DiamondLevel5	DiamondAmount5	DiamondLevel6	DiamondAmount6	DiamondLevel7	DiamondAmount7	DiamondLevel8	DiamondAmount8	FaultyDiamondTabType	FaultyDiamondTabIndex	FaultyDiamondCount
1																	5	6413	2
2	1	1															5	6413	1
5	1	3																	
8	2	1	1	2															
12	2	2	1	1															
19	2	3	1	1															
30	3	1	2	1	1	2													
45	3	2	2	1	1	1													
60	3	3	2	1	1	1													
75	3	4	2	1	1	2													
100	4	1	3	1	2	3	1	1											
130	4	1	3	3	2	2	1	2											
160	4	2	3	2	2	1	1	1											
190	4	2	4	1	2	2	1	2											
220	4	3	3	3															
250	4	4	3	1	2	2													
320	5	1	4	1	3	1	1	1											
390	5	1	4	2	3	2	2	1											
460	5	2	3	1	2	1	1	1											
530	5	2	4	1	3	2	2	3											
600	5	2	4	3	2	1	1	1											
670	5	3	3	2	2	3	1	1											
830	5	3	4	2	3	2	2	1											
980	6	1	4	2	3	3	1	1											
1130	6	1	4	5	3	3	2	1											
1280	6	1	5	2	4	1	3	2											
1590	6	1	5	3	3	1	2	1											
1900	6	2	5	1	3	1	2	2											
2210	6	2	5	2	4	2	3	3											
2550	6	3	4	2	3	2	2	1											
3050	6	3	5	2	4	1	3	1											
3550	7	1	5	2	4	2	2	1											
4050	7	1	6	1	5	1	4	2											
4550	7	1	6	2	4	2	2	1											
5050	7	1	6	2	5	3	4	1											
5550	7	1	6	3	5	2	4	1											
6500	7	2	5	2	3	3	1	1											
7500	7	2	6	2	3	1	2	1											
8500	7	2	6	3	5	1	4	2											
9500	7	3	6	1	4	2	3	1											
10500	8	1	4	1	3	1	2	1											
11700	8	1	6	1	5	1	4	2											
12900	8	1	6	3	4	2	3	2											
14400	8	1	7	1	6	1	4	3											
15900	8	1	7	1	6	3	5	1											
17400	8	1	7	2	6	1	5	3											
19400	8	1	7	3	5	1	3	2											
21400	8	2	5	2	4	1	2	1											
23400	8	2	6	3	5	1	4	3											
25400	8	2	7	1	6	2	5	2											
28900	8	2	7	2	6	1	5	3											
32400	8	3	5	2	4	3	3	1											
35900	8	3	7	1	6	2	2	1											
39400	8	3	7	2	6	2	2	1											
42900	8	3	7	2	6	2	2	1											
46400	8	3	7	2	6	2	2	1											
50000	8	3	7	2	6	2	2	1											
55000	8	3	7	2	6	2	2	1											
60000	8	3	7	2	6	2	2	1											
65000	8	3	7	2	6	2	2	1											
70000	8	3	7	2	6	2	2	1											
75000	8	3	7	2	6	2	2	1											
80000	8	3	7	2	6	2	2	1											
85000	8	3	7	2	6	2	2	1											
90000	8	3	7	2	6	2	2	1											
95000	8	3	7	2	6	2	2	1											
100000	8	3	7	2	6	2	2	1											
108000	8	3	7	2	6	2	2	1											
116000	8	3	7	2	6	2	2	1											
124000	8	3	7	2	6	2	2	1											
132000	8	3	7	2	6	2	2	1											
140000	8	3	7	2	6	2	2	1											
148000	8	3	7	2	6	2	2	1											
156000	8	3	7	2	6	2	2	1											
164000	8	3	7	2	6	2	2	1											
172000	8	3	7	2	6	2	2	1											
180000	8	3	7	2	6	2	2	1											
190000	8	3	7	2	6	2	2	1											
200000	8	3	7	2	6	2	2	1											
210000	8	3	7	2	6	2	2	1											
220000	8	3	7	2	6	2	2	1											
230000	8	3	7	2	6	2	2	1											
240000	8	3	7	2	6	2	2	1											
255000	8	3	7	2	6	2	2	1											
270000	8	3	7	2	6	2	2	1											
285000	8	3	7	2	6	2	2	1											
300000	8	3	7	2	6	2	2	1											
315000	8	3	7	2	6	2	2	1											
330000	8	3	7	2	6	2	2	1											
350000	8	3	7	2	6	2	2	1											
370000	8	3	7	2	6	2	2	1											
390000	8	3	7	2	6	2	2	1											
410000	8	3	7	2	6	2	2	1											
430000	8	3	7	2	6	2	2	1											
450000	8	3	7	2	6	2	2	1											
470000	8	3	7	2	6	2	2	1											
490000	8	3	7	2	6	2	2	1											

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
