nID	nType	nX	nY	fScale	PosType	nAlpha	nRed	nGreen	nBlue	fParam1	fParam2	fParam3
0	0	0	0	0	Center	0	0	0	0	0	0	0
1	1	-148	56	1	Center	200	100	20	200	30	0	0
2	1	-100	150	2	Center	150	180	140	150	40	0	0
3	1	0	200	4	Center	200	180	200	150	20	0	0
4	1	87	15	1	Center	200	150	140	200	30	0	0
5	3	429	111	2	Center	200	180	140	140	2000	0.15	0
6	2	211	79	2	Center	180	200	200	200	4000	0	0
7	2	300	300	2	Center	200	180	200	150	1000	0	0
8	1	230	13	2	Center	220	180	140	150	50	0	0
9	2	223	-148	2	Center	200	180	140	200	1000	0	0
10	2	251	-196	2	Center	150	150	140	150	2000	0	0
11	3	402	-409	2	Center	200	180	180	200	2000	0.1	0
12	2	410	-60	2	Center	180	140	140	200	2000	0	0
13	1	389	-4	2	Center	200	180	140	200	50	0	0
14	2	-226	166	1.5	TopCenter	255	-1	255	255	800	1	0
15	1	-239	189	1.5	TopCenter	50	-1	255	255	2	0	0
16	1	291	-282	2	Center	200	180	140	200	50	0	0
18	1	-406	24	2	Center	160	255	255	255	50	0	0
19	1	0	-5	1.5	Center	150	-1	255	255	20	0	0
20	1	1	-142	1.5	Center	180	-1	255	255	8	0	0
21	1	0	-40	1.5	Center	255	-1	255	255	2	0	0
22	1	0	-246	1.5	Center	50	-1	255	255	2	0	0
23	1	0	-60	1	Center	255	255	255	255	15	0	0
24	1	0	-152	5	Center	255	255	255	255	15	0	0
25	1	0	-180	2	Center	255	255	255	255	2	0	0
26	1	0	-227	2	Center	200	255	255	255	6	0	0
27	1	1	-315	2	Center	50	255	255	255	130	0	0
28	1	0	-5	1	Center	50	-1	255	255	5	0	0
29	1	0	-15	4.75	Center	255	-1	255	255	5	0	0
30	1	0	-22	4.6	Center	255	-1	255	255	12	0	0
31	1	0	-27	2	Center	255	-1	255	255	2	0	0
32	1	0	-130	2	Center	225	-1	255	255	5	0	0
33	1	0	-225	2	Center	50	-1	255	255	50	0	0
34	1	-71	0	1	LeftCenter	150	-1	255	255	5	0	0
35	2	-215	0	1	LeftCenter	255	-1	255	255	1000	1.8	0
36	1	-258	0	1	LeftCenter	50	-1	255	255	50	0	0
38	1	0	-5	1	Center	150	-1	255	255	15	0	0
39	1	0	-143	1	Center	180	-1	255	255	8	0	0
40	1	0	-103	1	Center	255	-1	255	255	1	0	0
41	1	0	-246	1	Center	50	-1	255	255	2	0	0
42	1	71	0	1	RightCenter	150	-1	255	255	5	0	0
43	2	215	0	1	RightCenter	255	-1	255	255	1000	1.8	0
44	1	258	0	1	RightCenter	50	-1	255	255	50	0	0
46	1	5	65	1.3	LeftTop	255	-1	255	255	4	0	0
47	2	88	115	1.3	LeftTop	255	-1	255	255	1000	1	0
48	1	106	138	1.3	LeftTop	50	-1	255	255	50	0	0
49	2	233	144	1.5	TopCenter	255	-1	255	255	800	1	0
50	1	130	65	1	TopCenter	50	-1	255	255	10	0	0
51	1	160	83	1.5	TopCenter	255	-1	255	255	4	0	0
52	1	247	169	1.5	TopCenter	50	-1	255	255	50	0	0
55	1	146	74	2.3	TopCenter	255	-1	255	255	1.2	0	0
56	1	0	0	1.5	Center	255	-1	10	199	-50	0	0
57	1	0	0	4.5	Center	255	-1	10	199	-100	0	0
58	1	0	0	1.5	Center	255	-1	10	199	-1000	0	0
59	1	0	0	1.5	Center	255	-1	10	199	-200	0	0
60	1	0	0	1.5	Center	50	-1	10	199	50	0	0
61	1	0	-180	1.5	Center	255	-1	10	199	-50	0	0
62	1	0	-180	6	Center	255	-1	10	199	-250	0	0
63	1	0	-180	1.5	Center	255	-1	10	199	-1000	0	0
64	1	0	-180	1.5	Center	255	-1	10	199	-200	0	0
65	1	0	-180	1.5	Center	50	-1	10	199	50	0	0
66	1	-5	65	1.3	RightTop	255	-1	255	255	5	0	0
67	2	-92	139	1.3	RightTop	255	-1	255	255	1000	0.8	0
68	1	-103	163	1.3	RightTop	50	-1	255	255	50	0	0
70	1	-102	51	1	TopCenter	50	-1	255	255	8	0	0
71	1	-129	74	1.5	TopCenter	255	-1	255	255	5	0	0
74	1	-115	63	2.3	TopCenter	255	-1	255	255	1.3	0	0

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
