Index	Name	NameFrame	Level	Quality	Class	Star	Type	Source	BgPath	OutputDes	Desc	Show	OnlyHaveShow	LimitTime	ModelID	ColorChannelTable	ColorChannel	ModelScale	IconID	X	Y	Z	LookAtX	LookAtY	LookAtZ	CoinShopScale	CoinShopPosY	IdentityYS	YSDes
0	默认名称	0	0	0	0	0						1	0	0	0	0	0	1	0	0	80	-300	0	100	150	1	-1	0	
1	青蟹	50	2	3	1	3	1	5	ui\Image\Pets\kp_青蟹.tga	<text>text="获取线索：蟹群。" font=168</text>	<text>text="它奋力挥舞双螯，似乎想与你较量一番" font=27</text>	1		0	29666			0.4	6109	0	80	-300	0	100	150	0.4			
2	蟹兵	71	4	3	1	3	1	5	ui\Image\Pets\kp_蟹兵.tga	<text>text="获取线索：东海一岛上，沙滩玩耍的是哪家小孩？" font=168</text>	<text>text="蟹壳上刻着一个大大的“兵”字\\\n小兵过河，势能吞象" font=27</text>	1		0	29667			0.4	6110	0	80	-300	0	100	150	0.4			
3	蟹卒	79	4	3	1	3	1	5	ui\Image\Pets\kp_蟹卒.tga	<text>text="获取线索：小孩子在扬州河边，怎么没人看护？" font=168</text>	<text>text="蟹壳上刻着一个大大的“卒”字\\\n良卒先行，能进难退" font=27</text>	1		0	29668			0.4	6111	0	80	-300	0	100	150	0.4			
4	呆龟	22	2	2	1	2	1	5	ui\Image\Pets\kp_呆龟.tga	<text>text="获取线索：一窝龟蛋，孵出呆呆一小龟。" font=168</text>	<text>text="它把头缩在龟壳中，一动不动" font=27</text>	1		0	29669			0.4	231	0	80	-300	0	100	150	0.4			
5	憨龟	28	3	2	1	2	1	5	ui\Image\Pets\kp_憨龟.tga	<text>text="获取线索：一窝龟蛋，孵出憨憨一小龟。" font=168</text>	<text>text="它慢吞吞跟在后面，时不时探出头来" font=27</text>	1		0	29670			0.4	231	0	80	-300	0	100	150	0.4			
6	丞相	18	5	3	1	3	1	5	ui\Image\Pets\kp_丞相.tga	<text>text="获取线索：一窝龟蛋，孵出几个丞相？" font=168</text>	<text>text="长寿之灵，慧通人言" font=27</text>	1		0	29671			0.4	231	0	80	-300	0	100	150	0.4			
7	大头鹅	21	3	2	2	2	3	5	ui\Image\Pets\kp_大头鹅.tga	<text>text="获取线索：长安安乐时，鹅小子爱鹅不挨饿。" font=168</text>	<text>text="它走的摇摇摆摆，对你的命令充耳不闻" font=27</text>	1		0	29673			1	3558	0	80	-300	0	100	150	1			
8	白鹅	13	4	3	2	2	3	5	ui\Image\Pets\kp_白鹅.tga	<text>text="获取线索：小贼哪里走！油菜花丛中！" font=168</text>	<text>text="白毛浮绿水，红掌拨清波" font=27</text>	1		0	29673			1	3558	0	80	-300	0	100	150	1			
9	灰狐	31	6	4	3	5	2	5	ui\Image\Pets\kp_灰狐.tga	<text>text="获取线索：厉害的狐狸。" font=168</text>	<text>text="毛绒绒的小狐狸，让人忍不住想摸一摸" font=27</text>	1		0	29674			0.5	3566	0	80	-300	0	100	150	0.5		1	三级驭兽宠物
