SchoolID	Kungfu
0	10005;10010;10095;10082;10087;10165;10125
1	10017;10023;10024;10061;10026;10062;10076;10101
2	10018;10019;10088;10089;10021;10028;10036;10102
3	10000;10009;10011;10012;10014;10015;10077;10103
4	10068;10069;10070;10072;10080;10081;10078;10104
5	10031;10032;10033;10034;10002;10003;10035;10100
6	10146;10148;10149;10150;10144;10145;10161
7	10263;10264;10265;10296;10268;10269
8	10235;10236;10237;10238;10242;10243;10248;10249
9	10171;10172;10173;10174;10175;10176;10193;10194
10	10216;10218;10219;10220;10224;10225;10226;10227
21	10383;10384;10385;10386;10389;10390;10391;10392
22	10440;10441;10442;10443;10447;10448;10449;10450
23	10464;10465;10466;10467;10468

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
