nType	szDesc	szImage	nFrame	szTip	nSubType	nLevel	fScale
0	默认		-1	默认	-1	0	1
0	旗帜	ui/Image/Minimap/Minimap.UITex	202				
1	密探	ui/Image/Minimap/Minimap.UITex	200				
2	尸将	ui/Image/Minimap/Minimap.UITex	200				
3	宝箱	ui/Image/Minimap/Minimap.UITex	162				
4	灰色旗帜	ui/Image/Minimap/Minimap.UITex	247				
5	红色旗帜	ui/Image/Minimap/Minimap.UITex	202				
6	蓝色旗帜	ui/Image/Minimap/Minimap.UITex	246				
7	恶人镖车	ui/Image/Minimap/Minimap3.UITex	19				
8	浩气镖车	ui/Image/Minimap/Minimap3.UITex	20				
9	恶人谷0%	ui/Image/Common/ProgressBar.UITex	76	中立			0.8
10	恶人谷20%	ui/Image/Common/ProgressBar.UITex	71	恶人谷20%			0.8
11	恶人谷40%	ui/Image/Common/ProgressBar.UITex	72	恶人谷40%			0.8
12	恶人谷60%	ui/Image/Common/ProgressBar.UITex	73	恶人谷60%			0.8
13	恶人谷80%	ui/Image/Common/ProgressBar.UITex	74	恶人谷80%			0.8
14	恶人谷100%	ui/Image/Common/ProgressBar.UITex	75	恶人谷100%			0.8
15	浩气盟0%	ui/Image/Common/ProgressBar.UITex	82	中立			0.8
16	浩气盟20%	ui/Image/Common/ProgressBar.UITex	77	浩气盟20%			0.8
17	浩气盟40%	ui/Image/Common/ProgressBar.UITex	78	浩气盟40%			0.8
18	浩气盟60%	ui/Image/Common/ProgressBar.UITex	79	浩气盟60%			0.8
19	浩气盟80%	ui/Image/Common/ProgressBar.UITex	80	浩气盟80%			0.8
20	浩气盟100%	ui/Image/Common/ProgressBar.UITex	81	浩气盟100%			0.8
21	红方厚甲战车	ui/Image/Minimap/BattleMinimap.UITex	12	厚甲战车			
22	红方重炮战车	ui/Image/Minimap/BattleMinimap.UITex	24	重炮战车			
23	红方巨弩战车	ui/Image/Minimap/BattleMinimap.UITex	18	巨弩战车			
24	蓝方厚甲战车	ui/Image/Minimap/BattleMinimap.UITex	34	厚甲战车			
25	蓝方重炮战车	ui/Image/Minimap/BattleMinimap.UITex	46	重炮战车			
26	蓝方巨弩战车	ui/Image/Minimap/BattleMinimap.UITex	40	巨弩战车			
27	蓝方军需官	ui/Image/Minimap/BattleMinimap.UITex	56	战场军需官			
28	红方军需官	ui/Image/Minimap/BattleMinimap.UITex	53	战场军需官			
29	红方冰塔	ui/Image/Minimap/BattleMinimap.UITex	6	凛霜箭塔·一级	1	1	
30	红方毒塔	ui/Image/Minimap/BattleMinimap.UITex	9	腐毒哨岗·一级	3	1	
31	红方火塔	ui/Image/Minimap/BattleMinimap.UITex	15	燃火炮楼·一级	2	1	
32	蓝方冰塔	ui/Image/Minimap/BattleMinimap.UITex	28	凛霜箭塔·一级	1	1	
33	蓝方毒塔	ui/Image/Minimap/BattleMinimap.UITex	31	腐毒哨岗·一级	3	1	
34	蓝方火塔	ui/Image/Minimap/BattleMinimap.UITex	37	燃火炮楼·一级	2	1	
35	蓝方默认箭塔	ui/Image/Minimap/BattleMinimap.UITex	43	普通箭塔	0		
36	红方默认箭塔	ui/Image/Minimap/BattleMinimap.UITex	21	普通箭塔	0		
37	死亡箭塔	ui/Image/Minimap/BattleMinimap.UITex	27	已摧毁			
38	红方冰塔	ui/Image/Minimap/BattleMinimap.UITex	6	凛霜箭塔·二级	1	2	
39	红方毒塔	ui/Image/Minimap/BattleMinimap.UITex	9	腐毒哨岗·二级	3	2	
40	红方火塔	ui/Image/Minimap/BattleMinimap.UITex	15	燃火炮楼·二级	2	2	
41	蓝方冰塔	ui/Image/Minimap/BattleMinimap.UITex	28	凛霜箭塔·二级	1	2	
42	蓝方毒塔	ui/Image/Minimap/BattleMinimap.UITex	31	腐毒哨岗·二级	3	2	
43	蓝方火塔	ui/Image/Minimap/BattleMinimap.UITex	37	燃火炮楼·二级	2	2	
44	红方冰塔	ui/Image/Minimap/BattleMinimap.UITex	6	凛霜箭塔·三级	1	3	
45	红方毒塔	ui/Image/Minimap/BattleMinimap.UITex	9	腐毒哨岗·三级	3	3	
46	红方火塔	ui/Image/Minimap/BattleMinimap.UITex	15	燃火炮楼·三级	2	3	
47	蓝方冰塔	ui/Image/Minimap/BattleMinimap.UITex	28	凛霜箭塔·三级	1	3	
48	蓝方毒塔	ui/Image/Minimap/BattleMinimap.UITex	31	腐毒哨岗·三级	3	3	
49	蓝方火塔	ui/Image/Minimap/BattleMinimap.UITex	37	燃火炮楼·三级	2	3	
50	敌方成员	ui/Image/Minimap/Minimap.UITex	199	敌方成员			
51	红方菌箱	ui/Image/Minimap/Minimap.UITex	202	红方菌箱			0.5
52	蓝方菌箱	ui/Image/Minimap/Minimap.UITex	246	蓝方菌箱			0.5
53	神秘物资箱	ui/Image/Minimap/Minimap.UITex	200	神秘物资箱			0.7
54	神秘物资箱	ui/Image/Minimap/Minimap.UITex	246	神秘物资箱·浩气			1
55	神秘物资箱	ui/Image/Minimap/Minimap.UITex	202	神秘物资箱·恶人			1
56	旗子	ui/Image/Minimap/Minimap.UITex	202	旗子			1

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
