ID	AchiveName	StartScore	EndScore	ImagePath	Frame
0	无宠人士	0	0		0
1	带宠之人	1	400		
2	小宠怡情	401	800		
3	大宠得禄	801	1200		
4	智者乐宠	1201	1600		
5	驭宠周游	1601	2000		
6	宠幸加身	2001	2400		
7	宠物尊师	2401	2800		
8	宠中泰斗	2801	3200		
9	百宠朝凤	3201	3600		
10	万宠之王	3601	4000		
11	宠爱一生	4001	4400		
12	一宠惊人	4401	4800		
13	宠心如意	4801	5200		
14	金玉良宠	5201	5600		
15	宠到功成	5601	6000		
16	美宠美奂	6001	6400		
17	天宠行空	6401	6800		
18	飞宠在天	6801	7200		
19	万宠奔腾	7201	7600		
20	紫宠东来	7601	8000		
21	宠飞万里	8001	8400		
22	飞宠腾达	8401	8800		
23	宠飞凤舞	8801	9200		
24	一宠当先	9201	9600		
25	金枝玉宠	9601	10000		
26	宠来运转	10001	10400		
27	宠华绝代	10401	10800		
28	亢龙有宠	10801	11200		
29	万宠风华	11201	11600		
30	宠士无双	11601	12000		

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
