ID	Level	TypeID	SkillID	IconID	Name	Desc	BindSkillID	ExamPrint	ShowNewRecipeTip	nPriority
0	0	0	0	0	测试	测试	0	-1	1	0
1	1	0	55	0	Test	测试				
3	1	0	0	0	测试	测试				
4	1	0	0	0	测试	测试				
10	1	2	356	1825	《坐忘经·返本归元》注解残页	施展招式的消耗降低20%。		15		
11	1	2	356	1825	《坐忘经·返本归元》注解断篇	施展招式的消耗降低20%。		25		
12	1	2	356	1825	《坐忘经·返本归元》注解绝章	施展招式的消耗降低20%。		15		
13	1	9	356	1832	《坐忘经·返本归元》真传残页	招式的有效距离增加2尺。		30		
14	1	9	356	1832	《坐忘经·返本归元》真传断篇	招式的有效距离增加2尺。		30		
15	1	9	356	1832	《坐忘经·返本归元》真传绝章	招式的有效距离增加2尺。		45		
16	1	8	356	1831	《坐忘经·返本归元》人偶图残页	能卸除额外一个点穴不利效果。		65		
17	1	8	356	1831	《坐忘经·返本归元》人偶图断篇	能卸除额外一个减速不利效果。		60		
18	1	8	356	1831	《坐忘经·返本归元》人偶图绝章	招式立刻恢复一定气血值。		110		
19	1	5	301	1828	《北冥剑气·两仪化形》秘诀残页	会心提高2%。		160		
20	1	5	301	1828	《北冥剑气·两仪化形》秘诀断篇	会心提高3%。		185		
21	1	5	301	1828	《北冥剑气·两仪化形》秘诀绝章	会心提高4%。		275		
22	1	7	301	1830	《北冥剑气·两仪化形》详解残页	命中提高1%。		210		
23	1	7	301	1830	《北冥剑气·两仪化形》详解断篇	命中提高2%。		225		
24	1	6	301	1829	《北冥剑气·两仪化形》参悟残页	伤害提高3%。		160		
25	1	6	301	1829	《北冥剑气·两仪化形》参悟断篇	伤害提高4%。		175		
26	1	6	301	1829	《北冥剑气·两仪化形》参悟绝章	伤害提高5%。		170		
27	1	8	301	1831	《北冥剑气·两仪化形》人偶图残页	命中目标则续气半格。		390		
28	1	3	361	1826	《纯阳诀·凌太虚》经脉图残页	运功时间减少0.125秒。		130		
29	1	3	361	1826	《纯阳诀·凌太虚》经脉图断篇	运功时间减少0.125秒。		130		
30	1	3	361	1826	《纯阳诀·凌太虚》经脉图绝章	运功时间减少0.125秒。		130		
31	1	2	361	1825	《纯阳诀·凌太虚》注解残页	施展招式的消耗降低20%。		20		
32	1	2	361	1825	《纯阳诀·凌太虚》注解断篇	施展招式的消耗降低30%。		30		
33	1	2	361	1825	《纯阳诀·凌太虚》注解绝章	施展招式的消耗降低40%。		20		
34	1	12	361	1832	《纯阳诀·凌太虚》真传残页	招式的有效范围增加1尺。		60		
35	1	12	361	1832	《纯阳诀·凌太虚》真传断篇	招式的有效范围增加1尺。		45		
36	1	12	361	1832	《纯阳诀·凌太虚》真传绝章	招式的有效范围增加1尺。		45		
37	1	1	355	1824	《坐忘经·凭虚御风》穴位图残页	调息时间减少15秒。		335		
38	1	1	355	1824	《坐忘经·凭虚御风》穴位图断篇	调息时间减少15秒。		390		
39	1	2	355	1825	《坐忘经·凭虚御风》注解绝章	施展招式的消耗降低30%。		105		3
40	1	2	355	1825	《坐忘经·凭虚御风》注解残页	施展招式的消耗降低20%。		100		1
41	1	2	355	1825	《坐忘经·凭虚御风》注解断篇	施展招式的消耗降低30%。		165		2
42	1	8	355	1831	《坐忘经·凭虚御风》人偶图绝章	闪避提高50%，持续5秒。		105		3
43	1	10	355	1833	《坐忘经·凭虚御风》手抄断篇	招式附加效果持续时间增加3秒。		295		
44	1	8	355	1831	《坐忘经·凭虚御风》人偶图残页	移动速度提高30%，持续5秒。		335		1
45	1	8	355	1831	《坐忘经·凭虚御风》人偶图断篇	能卸除额外一个混元性伤害状态。		385		2
46	1	3	359	1826	《纯阳诀·破苍穹》经脉图残页	运功时间减少0.125秒。		130		
47	1	3	359	1826	《纯阳诀·破苍穹》经脉图断篇	运功时间减少0.125秒。		130		
48	1	3	359	1826	《纯阳诀·破苍穹》经脉图绝章	运功时间减少0.125秒。		130		
49	1	2	359	1825	《纯阳诀·破苍穹》注解残页	施展招式的消耗降低20%。		20		
50	1	2	359	1825	《纯阳诀·破苍穹》注解断篇	施展招式的消耗降低30%。		30		
51	1	2	359	1825	《纯阳诀·破苍穹》注解绝章	施展招式的消耗降低40%。		20		
52	1	12	359	1832	《纯阳诀·破苍穹》真传残页	招式的有效范围增加1尺。		60		
53	1	12	359	1832	《纯阳诀·破苍穹》真传断篇	招式的有效范围增加1尺。		45		
54	1	12	359	1832	《纯阳诀·破苍穹》真传绝章	招式的有效范围增加1尺。		45		
55	1	1	588	1824	《天道剑势·人剑合一》穴位图残页	调息时间减少2秒。		385		
56	1	1	588	1824	《天道剑势·人剑合一》穴位图断篇	调息时间减少3秒。		345		
57	1	9	588	1832	《天道剑势·人剑合一》真传残页	招式的有效距离增加1尺。		220		
58	1	9	588	1832	《天道剑势·人剑合一》真传断篇	招式的有效距离增加1尺。		220		
59	1	9	588	1832	《天道剑势·人剑合一》真传绝章	招式的有效距离增加1尺。		280		
60	1	6	588	1829	《天道剑势·人剑合一》参悟残页	伤害提高40%。		145		
61	1	6	588	1829	《天道剑势·人剑合一》参悟断篇	伤害提高60%。		135		
62	1	8	588	1831	《天道剑势·人剑合一》人偶图残页	招式附加额外的持续伤害，持续12秒。		390		
63	1	8	905	1831	《天道剑势·人剑合一》人偶图断篇	回复气血效果提高100%。				
64	1	1	364	1824	《天道剑势·三环套月》穴位图残页	调息时间减少0.5秒。		85		
65	1	5	364	1828	《天道剑势·三环套月》秘诀残页	会心提高2%。		35		
66	1	5	364	1828	《天道剑势·三环套月》秘诀断篇	会心提高3%。		40		
67	1	5	364	1828	《天道剑势·三环套月》秘诀绝章	会心提高4%。		35		
68	1	7	364	1830	《天道剑势·三环套月》详解残页	命中提高1%。		55		
69	1	7	364	1830	《天道剑势·三环套月》详解断篇	命中提高2%。		55		
70	1	6	364	1829	《天道剑势·三环套月》参悟残页	伤害提高3%。		35		
71	1	6	364	1829	《天道剑势·三环套月》参悟断篇	伤害提高4%。		35		
72	1	6	364	1829	《天道剑势·三环套月》参悟绝章	伤害提高5%。		40		
73	1	3	358	1826	《纯阳诀·生太极》经脉图残页	运功时间减少0.125秒。		210		
74	1	3	358	1826	《纯阳诀·生太极》经脉图断篇	运功时间减少0.125秒。		310		
75	1	3	358	1826	《纯阳诀·生太极》经脉图绝章	运功时间减少0.125秒。		315		
76	1	2	358	1825	《纯阳诀·生太极》注解残页	施展招式的消耗降低20%。		45		
77	1	2	358	1825	《纯阳诀·生太极》注解断篇	施展招式的消耗降低30%。		45		
78	1	2	358	1825	《纯阳诀·生太极》注解绝章	施展招式的消耗降低40%。		45		
79	1	12	358	1832	《纯阳诀·生太极》真传残页	招式的有效范围增加1尺。		120		
80	1	12	358	1832	《纯阳诀·生太极》真传断篇	招式的有效范围增加1尺。		125		
81	1	12	358	1832	《纯阳诀·生太极》真传绝章	招式的有效范围增加1尺。		110		
82	1	3	367	1826	《北冥剑气·四象轮回》经脉图残页	运功时间减少0.25秒。		390		
83	1	3	367	1826	《北冥剑气·四象轮回》经脉图断篇	运功时间减少0.25秒。		390		
84	1	5	367	1828	《北冥剑气·四象轮回》秘诀残页	会心提高2%。		155		
85	1	5	367	1828	《北冥剑气·四象轮回》秘诀断篇	会心提高3%。		165		
86	1	5	367	1828	《北冥剑气·四象轮回》秘诀绝章	会心提高4%。		370		
87	1	9	367	1832	《北冥剑气·四象轮回》真传残页	招式的有效距离增加1尺。		205		
88	1	9	367	1832	《北冥剑气·四象轮回》真传断篇	招式的有效距离增加1尺。		245		
89	1	9	367	1832	《北冥剑气·四象轮回》真传绝章	招式的有效距离增加1尺。		390		
90	1	8	367	1831	《北冥剑气·四象轮回》人偶图残页	招式的减速效果提高10%。		390		
91	1	2	306	1825	《北冥剑气·太极无极》注解残页	施展招式的消耗降低30%。		30		
92	1	5	306	1828	《北冥剑气·太极无极》秘诀残页	会心提高2%。		35		
93	1	5	306	1828	《北冥剑气·太极无极》秘诀断篇	会心提高3%。		40		
