MapId	MapName	Describe	Group0	Group1	Group2	Group3	PQOption0Name	PQOption0Icon	PQOption1Name	PQOption1Icon	PQOption2Name	PQOption2Icon	PQOption3Name	PQOption3Icon	Reward0Icon	Reward1Icon	Reward2Icon	Reward3Icon	HelpImage	HelpText	Type	szTypeName	szActivityID	szTimeTip
0								-1		-1		-1		-1	-1	-1	-1	-1			0			
38	神农洇	神农洇中曾经是被天一教虏控制多年的五毒教前代使者南纳西核心驻地，藏匿了南纳西写下的许多关于兽化傀儡的秘件、以及五毒禁术应用的成果。天一教被击退后，这里成为两大阵营角力的新战场。	浩气盟	恶人谷			背箱时间		参与拦截		士气值				99	132	61		\ui\Image\BattleField\shennongyin.tga	<text>text="战场背景：\n"font=31</text><text>text="\n\t许多被发现的天一教基地都被从表面上摧毁了，然而神农洇中，近日再度出现了天一教的身影，这里曾经是被天一教虏控制多年的五毒教前代使者南纳西核心驻地，藏匿了南纳西写下的许多关于兽化傀儡的秘件、以及五毒禁术应用的成果。神农洇中一次恐怖兽怪的暴动，最初引来的是恶人谷兽王殿的目光，不久，十大恶人中的“阎王帖”肖药儿也迅速出手。神农洇藏着什么秘密？谢渊绝不愿它们落入恶人谷的手中。为遏制流毒再度蔓延，浩气盟主谢渊发出了长空令，争夺于此展开。"font=0</text><text>text="\n\n胜利目标：\n"font=31</text><text>text="\n\t天一祭坛会不断的刷新神秘的物资箱，将物资箱运回自己营地即可获得分数。\n\t任意一方先成功运送完三个箱子则获得本场比赛的胜利。"font=0</text><text>text="\n\n得分方法：\n"font=31</text><text>text="\n\t每成功运送回一个神秘的物资箱，即可获得一分。\n\t运送箱子的时候，请注意全团配合，防止对面拦截抢夺。离己方营地越近，同时也离对方营地越近，不到最后一刻不要大意。同时运送箱子进入毒沼，会激发物资箱中的毒气，造成更长的伤害和减速，切忌。"font=0</text>"		每日战场	70	<D0>12点至次日凌晨1点可获得战阶积分奖励；同时首次胜利将会获得额外奖励。
48	九宫棋谷	隐元会在江湖中散播九宫棋谷中存有《九天兵鉴》和无数珍宝的消息，广发英雄帖，邀请浩气盟与恶人谷双方精锐前往九宫棋谷中寻找珍宝，为防谷中的珍宝落入敌方阵营之手，浩气盟与恶人谷皆尽出精锐，赶赴九宫棋谷。	浩气盟	恶人谷			珍珑宝箱	26	武典残页	26					99	132	61		\ui\Image\BattleField\zhenlongqigu.tga	<text>text="战场背景：\n"font=31</text><text>text="\n\t九宫棋谷原为一个隐秘的世外桃源，其中密林环绕，其中残留的棋局更是暗藏玄妙，至今无人能搬动其巨大的棋子。后来被周墨发现，花费巨资从地方官手中买下了这块巨大的谷底，用于收藏南北行商中收获的名画珍宝等。紧接着，伊玛目令属下隐元会成员在江湖中暗处散播九宫棋谷中存有《九天兵鉴》和无数珍宝的消息，明处广发英雄帖，邀请浩气盟与恶人谷双方精锐前往九宫棋谷中寻找珍宝，为表隐元会的不偏不倚，浩气盟与恶人谷双方每批只可最多派出十人深入谷中，其余人等可于谷底之上观看。司马昭之心路人皆知，隐元会此贴虽名为寻宝，实为要双方血拼。谢渊与王遗风都明白隐元会此举必然会引发双方在谷中血战，但谷中的《九天兵鉴》和无数珍宝一旦落入对方手中，必然瞬间壮大对方实力，己方倾覆只在弹指之间。无数身处中立的江湖人士也为了各自的信念，各自加入了其中一方，为其助阵。"font=0</text><text>text="\n\n胜利目标：\n"font=31</text><text>text="\n\t积分先达到一千或在战场结束时领先的一方获得胜利。"font=0</text><text>text="\n\n得分方法：\n"font=31</text><text>text="\n\t谷地四个角落的高台和中央的河谷会刷新珍珑宝箱，获得宝箱的一方会获得高分奖励。\n\t另外玩家重伤则会给对方加分，夺取空中飘落的武典残页也会获得加分。"font=0</text>"		每日战场	71	<D0>12点至次日凌晨1点可获得战阶积分奖励；同时首次胜利将会获得额外奖励。
50	丝绸之路	对外贸易的兴盛，特别是丝绸贩卖，形成了一条独特的经商路线，我们都称它“丝绸之路”但最近频频发生货物丢失的情况，请各位大侠护送一程。	浩气盟	恶人谷			护送镖车		运送镖银		拦截镖车		占领据点		99	132	61		\ui\Image\BattleField\sichouzhilu.tga	<text>text="战场背景：\\\n" font=163</text><text>text="\\\n\\\t对外贸易的兴盛，特别是丝绸贩卖，形成了一条独特的经商路线，我们都称它“丝绸之路”但最近频频发生货物丢失的情况" font=18</text><text>text="\\\n\\\n胜利目标：\\\n" font=163</text><text>text="\\\n\\\t占领有利位置，才能保护好货运路线，如果想赚点外块，还可以自己运送货物" font=18</text><text>text="\\\n\\\n得分方法：\\\n" font=163</text><text>text="\\\n\\\t占领有利地势，护送车辆达到目的地，或者自己运送镖银\\\n　　　" font=18</text>		每日战场	75	<D0>12点至次日凌晨1点可获得战阶积分奖励；同时首次胜利将会获得额外奖励。
52	云湖天池	为了从隐元会抢到《寒冰诀》的消息，昆仑派和刀宗约战云湖天池，获胜者才有资格向隐元会买《寒冰诀》的消息。因此，昆仑派和刀宗征召江湖高手决战云湖天池助他们获得《寒冰诀》的下落。	昆仑	刀宗			夺旗	26							99	132	61		\ui\Image\BattleField\yunhutianchi.tga	<text>text="战场背景：\n"font=31</text><text>text="\n\t《寒冰诀》乃昆仑派上乘武学秘笈，不慎丢失，流落江湖。传闻世间唯有隐元会得知《寒冰诀》的下落，而隐元会只会将这消息卖给一个买主。\n\t为了争夺向隐元会购买《寒冰诀》消息的资格，昆仑派和刀宗约战云湖天池，胜者可以向隐元会购买消息，败者从此不得过问《寒冰诀》之事。岂料，昆仑派和刀宗高手如云，两派高手在云湖天池大战七七四十九日竟不分胜负。无奈之下，双方决定从江湖中招纳高手分别代表双方出战，一年之内胜场最多的一方得购买《寒冰诀》下落的资格。"font=0</text><text>text="\n\n胜利目标：\n"font=31</text><text>text="\n\t积分先达到一百或在战场结束时领先的一方获得胜利。"font=0</text><text>text="\n\n得分方法：\n"font=31</text><text>text="\n\t天池中央的平台会周期性刷新擂旗，获得擂旗的一方会获得高分奖励。\n\t另外玩家重伤则会给对方加分，某些道具也会改变双方积分。"font=0</text>"		每日战场	72	<D0>12点至次日凌晨1点可获得战阶积分奖励；同时首次胜利将会获得额外奖励。
135	三国古战场	浩气盟与恶人谷这两个老对手在此三国古战场，皆不甘将头筹让与对手，这里虽是段氏一族摆下的遴选天下英雄的战阵，也成为了谷盟之争的另一个决战场！刃在手，看今朝，谁与争锋！！	浩气盟	恶人谷											99	132	61		\ui\Image\BattleField\sanguoguzhanchang.tga	<text>text="战场背景：\\\n" font=163</text><text>text="\\\n\\\t天南段氏本家数年来因功高震主而为南诏之王忌惮，为图自保，段氏在三国古战场摆下战局，特提供奖赏以邀各路豪杰于此激战，并聘请杰出武者以相助段氏" font=18</text><text>text="\\\n\\\n胜利目标：\\\n" font=163</text><text>text="\\\n\\\t得分最高者，即可获得胜利" font=18</text><text>text="\\\n\\\n得分方法：\\\n" font=163</text><text>text="\\\n\\\t占领场景里的据点，占领的越多，得分越多\\\n　　　" font=18</text>		每日战场	121	<D0>12点至次日凌晨1点可获得战阶积分奖励；同时首次胜利将会获得额外奖励。
149	雪原争锋	自古以来，此地一直为两帮会决斗场所，谁的实力更加强大，此时便是证明的时机！	蓝方	红方			消灭敌兵		摧毁箭塔		击破战车		占领矿区		64	132	61		\ui\Image\BattleField\banghuiyuezhan.tga	<text>text="战场背景：\\\n" font=163</text><text>text="\\\n\\\t隐元会门下风媒探查明教行踪之时，在昆仑山脉雪谷中发现一处险地，其间山水交错，小道盘桓，极适合实战演练与生死搏杀。消息传回后不胫而走，散于江湖。各帮会也时常将此处视为解决矛盾或胜负较量的场地，久而久之，约战于此变成了这个江湖的规矩……" font=18</text><text>text="\\\n\\\n胜利目标：\\\n" font=163</text><text>text="\\\n\\\t摧毁敌方据点内的帮会战旗即为胜！" font=18</text><text>text="\\\n\\\n得分方法：\\\n" font=163</text><text>text="\\\n\\\t占领矿区、击杀对方帮会成员或守卫以及摧毁箭塔战车等，均会获得资源，记得使用资源升级箭塔和建造战车！\\\n　　　" font=18</text>	1			
186	浮香丘	浮香菌是重要物资，我们要尽可能多的积攒它们！	蓝方	红方			运送菌箱								99	132	61		\ui\Image\BattleField\fuxiangqiu.tga	<text>text="战场背景：\\\n" font=163</text><text>text="\\\n\\\t山林大泽之中，多有异兽灵花埋藏，中华疆域辽阔，自神农以降，千百年来虽有历代采药寻仙之人寻探不绝，仍有无数秘密隐藏世外。大唐年间，五毒教采药人于苗岭山脉中探得一幽静小丘，丘内生有一种特异菌种散发出的清冷气息令人头脑为之振作，采药人采摘回返，菌种却难以长久保存。后五毒教中制药大师前来此谷，才发现菌种采摘之后，药性迅速散发，须在一日内制成药汁，否则难以为用，而制成之汁液有澄明心意，助武人突破武学壁障之效。五毒人将此谷命名为“浮香丘”。\n此事为谷盟中人得知，以重利求取五毒中人透露此谷所在，从此冷香丘中的浮香菌成为浩气盟与恶人谷争夺之物，以之制成的“浮香澄明”药液，也成为万金难求之物。" font=18</text><text>text="\\\n\\\n胜利目标：\\\n" font=163</text><text>text="\\\n\\\t一定要比对方占领的据点更多，并且获得更多的冷香菌！" font=18</text><text>text="\\\n\\\n得分方法：\\\n" font=163</text><text>text="\\\n\\\t更多的占领据点，并且将珍贵的冷香菌带回来！如果是对方的那就更好了！！\\\n　　　" font=18</text>		每日战场	246	<D0>12点至次日凌晨1点可获得战阶积分奖励；同时首次胜利将会获得额外奖励。

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
