ID	Type	Name	key	ValueName	Desc
0	0				
269	0	名士五十强	Rank_Role_Repute	总声望	个人积累的江湖中各种势力的声望点数总和排名。
270	0	老江湖五十强	Rank_Role_Achievement	江湖资历	隐元秘鉴中积累的江湖资历总数排名。
271	0	兵甲藏家五十强	Rank_Role_EquipmentPoint	装备总分	个人身上所有装备，按照装备部位及装备品质的总积分排名。
272	0	名师五十强	Rank_Role_MentorValue	师徒值	个人作为师傅拥有的师徒值总分数，包括已经转换成江湖贡献值的。
273	0	阵营英雄五十强	Rank_Role_Prestige	战阶积分	个人一周获得的战阶积分总和。
274	0	薪火相传五十强	Rank_Role_ItemMentor	薪火点	师父一周内给予徒弟装备的商店江湖贡献值售价总积分排名。
275	1	神兵宝甲五十强	Rank_Tong_Good_EquipmentPoint	装备总分	统计帮会中所有帮众身上的装备品质，并换算成积分的排名。
276	1	爱心帮会五十强	Rank_Tong_Good_MentorValue	师徒值	帮会中所有当师傅的成员的师徒值总分，含已转换成江湖贡献的部分。
277	1	阵营英雄五十强	Rank_Tong_Good_Prestige	战阶积分	统计帮会中所有加入阵营的成员，当周获得的战阶积分总和。
278	1	神兵宝甲五十强	Rank_Tong_Evil_EquipmentPoint	装备总分	统计帮会中所有帮众身上的装备品质，并换算成积分的排名。
279	1	爱心帮会五十强	Rank_Tong_Evil_MentorValue	师徒值	帮会中所有当师傅的成员的师徒值总分，含已转换成江湖贡献的部分。
280	1	阵营英雄五十强	Rank_Tong_Evil_Prestige	战阶积分	统计帮会中所有加入阵营的成员，当周获得的战阶积分总和。
281	1	爱心帮会十强	Rank_Tong_Neutral_MentorValue	师徒值	帮会中所有当师傅的成员的师徒值总分，含已转换成江湖贡献的部分。
282	2	2对2排名	Arena_2V2	队伍分	名剑队积分
283	2	3对3排名	Arena_3V3	队伍分	名剑队积分
284	2	5对5排名	Arena_5V5	队伍分	名剑队积分
285	3	少林	1	过关成绩	少林弟子在试炼之地中挑战成功的关卡层数和总积分排名。
286	3	万花	2	过关成绩	万花弟子在试炼之地中挑战成功的关卡层数和总积分排名。
287	3	天策	3	过关成绩	天策弟子在试炼之地中挑战成功的关卡层数和总积分排名。
288	3	纯阳	4	过关成绩	纯阳弟子在试炼之地中挑战成功的关卡层数和总积分排名。
289	3	七秀	5	过关成绩	七秀弟子在试炼之地中挑战成功的关卡层数和总积分排名。
290	3	五毒	6	过关成绩	五毒弟子在试炼之地中挑战成功的关卡层数和总积分排名。
291	3	唐门	7	过关成绩	唐门弟子在试炼之地中挑战成功的关卡层数和总积分排名。
292	3	藏剑	8	过关成绩	藏剑弟子在试炼之地中挑战成功的关卡层数和总积分排名。
293	3	明教	10	过关成绩	明教弟子在试炼之地中挑战成功的关卡层数和总积分排名。
294	3	丐帮	9	过关成绩	丐帮弟子在试炼之地中挑战成功的关卡层数和总积分排名。
295	3	苍云	21	过关成绩	苍云弟子在试炼之地中挑战成功的关卡层数和总积分排名。
296	3	长歌	22	过关成绩	长歌弟子在试炼之地中挑战成功的关卡层数和总积分排名。
297	3	霸刀	23	过关成绩	霸刀弟子在试炼之地中挑战成功的关卡层数和总积分排名。
324	7	艺人	5_119	本周活跃度	本周艺人表演时获得的鲜花数。每周结算前三名获得限时聊天前缀称号！
325	7	镖师	1_115	本周活跃度	本周据点贸易护镖完成次数。每周结算前三名获得限时聊天前缀称号！
326	7	绿林	2_116	本周活跃度	本周绿林陷阱成功击中玩家数。每周结算前三名获得限时聊天前缀称号！
327	7	驭兽师	4_117	本周活跃度	本周驭兽总时长（分钟）。每周结算前三名获得限时聊天前缀称号！
328	7	方士	3_118	本周活跃度	本周成功度化的精英魂灵数。每周结算前三名获得限时聊天前缀称号！
329	8	大师赛排行榜	Arena_Master_3V3	队伍分	名剑队积分

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
