SkillID	SkillLevel	OpenLevel
35	1	70
81	1	10
100	1	44
101	1	15
101	2	15
101	3	15
101	4	15
101	5	15
101	6	15
101	7	15
101	8	17
101	9	20
101	10	23
101	11	26
101	12	29
101	13	32
101	14	35
101	15	38
101	16	41
101	17	44
101	18	47
101	19	50
101	20	54
101	21	58
101	22	62
101	23	66
101	24	70
101	25	74
101	26	78
101	27	82
101	28	86
101	29	90
130	1	40
130	2	40
130	3	40
130	4	50
130	5	60
130	6	70
130	7	80
130	8	90
131	1	36
132	1	16
132	2	16
132	3	32
132	4	44
132	5	56
132	6	68
132	7	80
133	1	38
134	1	26
136	1	48
137	1	15
137	2	15
137	3	15
137	4	15
137	5	15
137	6	15
137	7	15
137	8	16
137	9	19
137	10	22
137	11	25
137	12	28
137	13	31
137	14	34
137	15	37
137	16	40
137	17	43
137	18	46
137	19	49
137	20	52
137	21	56
137	22	60
137	23	64
137	24	68
137	25	72
137	26	76
137	27	80
137	28	84
137	29	88
138	1	15
138	2	15
138	3	15
138	4	15
138	5	15
138	6	15
138	7	15
138	8	18
138	9	21
138	10	24
138	11	27
138	12	30
138	13	33
138	14	36
138	15	39
138	16	42
138	17	45
138	18	48
138	19	51
138	20	55
138	21	59
138	22	63
138	23	67
138	24	71
138	25	75
138	26	79
138	27	83
138	28	87
139	1	32
139	2	32
139	3	52
139	4	72
139	5	89
140	1	28
140	2	28
140	3	28
140	4	33
140	5	38
140	6	43
140	7	48
140	8	53
140	9	58
140	10	63
140	11	68
140	12	73
140	13	78
140	14	83
140	15	88
141	1	24
141	2	24
141	3	36
141	4	50
141	5	62
141	6	74
142	1	15
142	2	15
142	3	16
142	4	17
142	5	18
142	6	19
142	7	20
142	8	21
142	9	22
142	10	23
142	11	25
142	12	28
142	13	31
142	14	34
142	15	37
142	16	40
142	17	43
142	18	46
142	19	49
142	20	52
142	21	56
142	22	60
142	23	64
142	24	68
142	25	72
142	26	76
142	27	80
142	28	84
142	29	88
179	1	1
179	2	15
179	3	16
179	4	17
179	5	18
179	6	19
179	7	20
179	8	21
179	9	22
179	10	24
179	11	27
179	12	30
179	13	33
179	14	36
179	15	39
179	16	42
179	17	45
179	18	48
179	19	51
179	20	55
179	21	59
179	22	63
179	23	67
179	24	71
179	25	75
179	26	79
179	27	83
179	28	87
180	1	6
180	2	15
180	3	16
180	4	17
180	5	18
180	6	19
180	7	20
180	8	21
180	9	22
180	10	23
180	11	26
180	12	29
180	13	32
180	14	35
180	15	38
180	16	41
180	17	44
180	18	47
180	19	50
180	20	54
180	21	58
180	22	62
180	23	66
180	24	70
180	25	74
180	26	78
180	27	82
180	28	86
180	29	90
182	1	11
182	2	15
182	3	16
182	4	17
182	5	18
182	6	19
182	7	20
182	8	21
182	9	22
182	10	23
182	11	25
182	12	28
182	13	31
182	14	34
182	15	37
182	16	40
182	17	43
182	18	46
182	19	49
182	20	52
182	21	56
182	22	60
182	23	64
182	24	68
182	25	72
182	26	76
182	27	80
182	28	84
182	29	88
183	1	34
