BookID	SegmentID	BookItemIndex	BookNumber	Sort	SubSort	Type	BookName	SegmentName	Desc	PageNum	PageID_0	PageID_1	PageID_2	PageID_3	PageID_4	PageID_5	PageID_6	PageID_7	PageID_8	PageID_9
0	0	8026	1	3	1	1	未知书籍		None	0	0	0	0	0	0	0	0	0	0	0
2	1	7936	2	2	1	1	沉香劈山	沉香劈山上篇	沉香救母之传说。	6	6	7	8	9	10	11				
2	2	7935	2	2	1	1	沉香劈山	沉香劈山下篇	沉香救母之传说。	7	12	13	14	15	16	17	440			
3	1	8028	1	3	3	1	毒尸若兰	毒尸若兰	若兰之故事。	3	18	19	20							
4	1	8029	2	3	3	1	万花茶典	万花茶典上篇	万花谷造茶秘术。	3	26	27	28							
4	2	8027	2	3	3	1	万花茶典	万花茶典下篇	万花谷造茶秘术。	2	29	30								
5	1	8027	8	3	1	1	太公家教	太公家教第一章	传为姜太公留下的启蒙之学。	2	31	32								
5	2	8028	8	3	1	1	太公家教	太公家教第二章	传为姜太公留下的启蒙之学。	2	33	34								
5	3	8027	8	3	1	1	太公家教	太公家教第三章	传为姜太公留下的启蒙之学。	2	35	36								
5	4	8021	8	3	1	1	太公家教	太公家教第四章	传为姜太公留下的启蒙之学。	2	37	38								
5	5	8026	8	3	1	1	太公家教	太公家教第五章	传为姜太公留下的启蒙之学。	2	1476	1477								
5	6	8026	8	3	1	1	太公家教	太公家教第六章	传为姜太公留下的启蒙之学。	2	1478	1479								
5	7	8021	8	3	1	1	太公家教	太公家教第七章	传为姜太公留下的启蒙之学。	2	1480	1481								
5	8	8026	8	3	1	1	太公家教	太公家教第八章	传为姜太公留下的启蒙之学。	2	1482	1483								
6	1	8026	3	3	1	2	古诗十九首辑录	古诗十九首上	乐府古诗，年代久远。	6	39	40	41	42	43	44				
6	2	8028	3	3	1	2	古诗十九首辑录	古诗十九首中	乐府古诗，年代久远。	6	45	46	47	48	49	50				
6	3	8026	3	3	1	2	古诗十九首辑录	古诗十九首下	乐府古诗，年代久远。	7	51	52	53	54	55	56	57			
7	1	8028	5	3	1	2	千字文	千字文第一章	梁朝周兴嗣所编之启蒙书。	2	1484	1485								
7	2	8026	5	3	1	2	千字文	千字文第二章	梁朝周兴嗣所编之启蒙书。	2	1486	1487								
7	3	8021	5	3	1	2	千字文	千字文第三章	梁朝周兴嗣所编之启蒙书。	2	1488	1489								
7	4	8026	5	3	1	2	千字文	千字文第四章	梁朝周兴嗣所编之启蒙书。	3	1490	1491	1492							
7	5	8026	5	3	1	2	千字文	千字文第五章	梁朝周兴嗣所编之启蒙书。	3	1493	1494	1495							
8	1	8026	8	3	3	1	剑侠山河志	山河志第一章	记载剑侠大唐疆域地理之书。	2	68	69								
8	2	8026	8	3	3	1	剑侠山河志	山河志第二章	记载剑侠大唐疆域地理之书。	2	70	71								
8	3	8026	8	3	3	1	剑侠山河志	山河志第三章	记载剑侠大唐疆域地理之书。	2	72	73								
8	4	8026	8	3	3	1	剑侠山河志	山河志第四章	记载剑侠大唐疆域地理之书。	2	74	75								
8	5	8021	8	3	3	1	剑侠山河志	山河志第五章	记载剑侠大唐疆域地理之书。	2	76	77								
8	6	8028	8	3	3	1	剑侠山河志	山河志第六章	记载剑侠大唐疆域地理之书。	2	78	79								
8	7	8021	8	3	3	1	剑侠山河志	山河志第七章	记载剑侠大唐疆域地理之书。	2	80	81								
8	8	8021	8	3	3	1	剑侠山河志	山河志第八章	记载剑侠大唐疆域地理之书。	3	82	83	84							
9	1	8028	8	3	3	2	神兵宝鉴·剑部	剑部第一	记载历代宝剑之书。	3	85	86	87							
9	2	8026	8	3	3	2	神兵宝鉴·剑部	剑部第二	记载历代宝剑之书。	3	88	89	90							
9	3	8021	8	3	3	2	神兵宝鉴·剑部	剑部第三	记载历代宝剑之书。	3	91	92	93							
9	4	8026	8	3	3	2	神兵宝鉴·剑部	剑部第四	记载历代宝剑之书。	3	94	95	96							
9	5	8026	8	3	3	2	神兵宝鉴·剑部	剑部第五	记载历代宝剑之书。	3	97	98	99							
9	6	8021	8	3	3	2	神兵宝鉴·剑部	剑部第六	记载历代宝剑之书。	3	100	101	102							
9	7	8026	8	3	3	2	神兵宝鉴·剑部	剑部第七	记载历代宝剑之书。	2	441	442								
9	8	8021	8	3	3	2	神兵宝鉴·剑部	剑部第八	记载历代宝剑之书。	3	443	444	445							
10	1	8026	7	3	1	2	诗经选录·卷一	关雎	选于诗经，千古留名。	1	437									
10	2	8021	7	3	1	2	诗经选录·卷一	卷耳	选于诗经，千古留名。	1	103									
10	3	8026	7	3	1	2	诗经选录·卷一	樛木	选于诗经，千古留名。	1	104									
10	4	8021	7	3	1	2	诗经选录·卷一	螽斯	选于诗经，千古留名。	1	105									
10	5	8026	7	3	1	2	诗经选录·卷一	桃夭	选于诗经，千古留名。	1	106									
10	6	8026	7	3	1	2	诗经选录·卷一	兔罝	选于诗经，千古留名。	1	107									
10	7	8021	7	3	1	2	诗经选录·卷一	行露	选于诗经，千古留名。	1	108									
11	1	8026	7	3	1	2	青岩诗钞·卷一	归园田居	万花谷文人所编纂的诗歌辑录。	5	109	110	111	112	113					
11	2	8021	7	3	1	2	青岩诗钞·卷一	归鸟	万花谷文人所编纂的诗歌辑录。	4	114	115	116	117						
11	3	8026	7	3	1	2	青岩诗钞·卷一	劝农	万花谷文人所编纂的诗歌辑录。	6	118	119	120	121	122	123				
11	4	8021	7	3	1	2	青岩诗钞·卷一	停云并序	万花谷文人所编纂的诗歌辑录。	4	124	125	126	127						
11	5	8026	7	3	1	2	青岩诗钞·卷一	荣木并序	万花谷文人所编纂的诗歌辑录。	4	128	129	130	131						
11	6	8026	7	3	1	2	青岩诗钞·卷一	命子上	万花谷文人所编纂的诗歌辑录。	5	132	133	134	135	136					
11	7	8021	7	3	1	2	青岩诗钞·卷一	命子下	万花谷文人所编纂的诗歌辑录。	5	137	138	139	140	141					
12	1	7947	2	1	1	1	般若波罗密多心经	般若波罗密多心经	释门经典。	4	1470	1471	1472	1815						
12	2	7947	2	1	1	2	般若波罗密多心经	大藏经	释门经典。	5	21	22	23	24	25					
13	1	7947	4	1	1	1	盂兰盆经	盂兰盆经第一章	以修孝顺励佛弟子的旨意的释门经典。	2	145	146								
13	2	7947	4	1	1	1	盂兰盆经	盂兰盆经第二章	以修孝顺励佛弟子的旨意的释门经典。	2	147	148								
13	3	7947	4	1	1	1	盂兰盆经	盂兰盆经第三章	以修孝顺励佛弟子的旨意的释门经典。	2	149	150								
13	4	7947	4	1	1	1	盂兰盆经	盂兰盆经第四章	以修孝顺励佛弟子的旨意的释门经典。	2	151	152								
14	1	7947	5	1	1	1	青灯笑语	蜀鄙之僧	佛门中的趣事。	2	153	1677								
14	2	7948	5	1	1	1	青灯笑语	破戒	佛门中的趣事。	2	154	1676								
14	3	7948	5	1	1	1	青灯笑语	静坐	佛门中的趣事。	2	155	156								
14	4	7957	5	1	1	1	青灯笑语	化缘	佛门中的趣事。	2	157	158								
14	5	7947	5	1	1	1	青灯笑语	毒药	佛门中的趣事。	2	159	160								
15	1	7947	8	1	1	1	佛藏拾珠·卷一	贪引恶鬼品	少林弟子所选编的佛经故事。	1	161									
15	2	7947	8	1	1	1	佛藏拾珠·卷一	力士鹦鹉品	少林弟子所选编的佛经故事。	2	162	1678								
15	3	7947	8	1	1	1	佛藏拾珠·卷一	乌枭报怨品	少林弟子所选编的佛经故事。	1	163									
15	4	7947	8	1	1	1	佛藏拾珠·卷一	梵志献花品	少林弟子所选编的佛经故事。	2	164	1717								
15	5	7947	8	1	1	1	佛藏拾珠·卷一	盲人点灯品	少林弟子所选编的佛经故事。	3	165	446	166							
15	6	7947	8	1	1	1	佛藏拾珠·卷一	回头是岸品	少林弟子所选编的佛经故事。	3	167	168	447							
15	7	7947	8	1	1	1	佛藏拾珠·卷一	佛珠生菇品	少林弟子所选编的佛经故事。	3	169	170	448							
15	8	7948	8	1	1	1	佛藏拾珠·卷一	信徒遇溺品	少林弟子所选编的佛经故事。	2	171	172								
16	1	7947	8	1	1	1	佛藏拾珠·卷二	观音自拜品	少林弟子所选编的佛经故事。	2	173	174								
16	2	7947	8	1	1	1	佛藏拾珠·卷二	破杯悟禅品	少林弟子所选编的佛经故事。	3	175	176	453							
16	3	7947	8	1	1	1	佛藏拾珠·卷二	作龙虎画品	少林弟子所选编的佛经故事。	2	177	178								
16	4	7947	8	1	1	1	佛藏拾珠·卷二	老妇烧庵品	少林弟子所选编的佛经故事。	2	179	180								
16	5	7957	8	1	1	1	佛藏拾珠·卷二	童子辩禅品	少林弟子所选编的佛经故事。	3	181	182	449							
16	6	7957	8	1	1	1	佛藏拾珠·卷二	婆罗门妻品	少林弟子所选编的佛经故事。	8	183	184	185	186	187	188	189	450		
16	7	7948	8	1	1	1	佛藏拾珠·卷二	四马之喻品	少林弟子所选编的佛经故事。	7	190	191	192	193	194	451	454			
16	8	7948	8	1	1	1	佛藏拾珠·卷二	大萨他婆品	少林弟子所选编的佛经故事。	2	195	196								
17	1	7935	8	2	1	1	道德经·卷一	道德经卷一其一	道家圣典，太上老君老子所传。	2	197	198								
17	2	7935	8	2	1	1	道德经·卷一	道德经卷一其二	道家圣典，太上老君老子所传。	2	199	200								
17	3	7935	8	2	1	1	道德经·卷一	道德经卷一其三	道家圣典，太上老君老子所传。	2	201	202								
17	4	7935	8	2	1	1	道德经·卷一	道德经卷一其四	道家圣典，太上老君老子所传。	2	203	204								
17	5	7935	8	2	1	1	道德经·卷一	道德经卷一其五	道家圣典，太上老君老子所传。	2	205	206								
17	6	7935	8	2	1	1	道德经·卷一	道德经卷一其六	道家圣典，太上老君老子所传。	2	207	208								
17	7	7935	8	2	1	1	道德经·卷一	道德经卷一其七	道家圣典，太上老君老子所传。	2	209	210								
17	8	7935	8	2	1	1	道德经·卷一	道德经卷一其八	道家圣典，太上老君老子所传。	2	211	212								
18	1	8026	8	3	1	1	论语·卷一	论语卷一其一	儒家圣典，记载孔夫子及众弟子言行之书。	2	213	214								
18	2	8026	8	3	1	1	论语·卷一	论语卷一其二	儒家圣典，记载孔夫子及众弟子言行之书。	2	215	216								
18	3	8026	8	3	1	1	论语·卷一	论语卷一其三	儒家圣典，记载孔夫子及众弟子言行之书。	2	217	218								
18	4	8026	8	3	1	1	论语·卷一	论语卷一其四	儒家圣典，记载孔夫子及众弟子言行之书。	2	219	1718								
18	5	8026	8	3	1	1	论语·卷一	论语卷一其五	儒家圣典，记载孔夫子及众弟子言行之书。	2	220	221								
18	6	8026	8	3	1	1	论语·卷一	论语卷一其六	儒家圣典，记载孔夫子及众弟子言行之书。	2	222	223								
18	7	8026	8	3	1	1	论语·卷一	论语卷一其七	儒家圣典，记载孔夫子及众弟子言行之书。	3	224	225	1679							
18	8	8021	8	3	1	1	论语·卷一	论语卷一其八	儒家圣典，记载孔夫子及众弟子言行之书。	2	226	1719								
19	1	7935	8	2	1	1	纯阳会真录	轩辕黄帝传	纯阳教所编录之仙圣传说。	4	227	228	229	455						
19	2	7935	8	2	1	1	纯阳会真录	太上老子传	纯阳教所编录之仙圣传说。	2	230	231								
19	3	7935	8	2	1	1	纯阳会真录	文始先生传	纯阳教所编录之仙圣传说。	2	232	233								
19	4	7935	8	2	1	1	纯阳会真录	南华真人传	纯阳教所编录之仙圣传说。	2	234	235								
19	5	7935	8	2	1	1	纯阳会真录	列子真人传	纯阳教所编录之仙圣传说。	2	236	237								
19	6	7935	8	2	1	1	纯阳会真录	天师道陵传	纯阳教所编录之仙圣传说。	2	238	239								
19	7	7935	8	2	1	1	纯阳会真录	云牙真人传	纯阳教所编录之仙圣传说。	2	240	241								
19	8	7936	8	2	1	1	纯阳会真录	仙翁葛玄传	纯阳教所编录之仙圣传说。	2	242	243								
20	1	8021	8	3	1	2	青岩诗钞·卷二	少年行	万花谷文人所编纂的诗歌辑录。	2	244	245								
20	2	8026	8	3	1	2	青岩诗钞·卷二	渭城曲	万花谷文人所编纂的诗歌辑录。	1	246									
