ID	StepsTitle	StepsIntroduction	UpImagePath	UpFrame
0	大侠之路	　　独步武林，成为一个急人之难、出言必信、锄强扶弱的豪侠之士。	ui/Image/Teaching/FullLevel1.UITex	1
1	勇闯江湖	　　江湖中人才林立。若想独步武林，势必具备过人的胆量和超凡的阅历。江湖中设有各色秘境，可通过击杀将领获得装备武器来提升自己，亦可通过任务获得江湖贡献与侠义值换取不错的宝贝。	ui/Image/Teaching/FullLevel1.UITex	1
2	特色任务	　　作为一个侠士就意味着要做出侠士般的行动。如今江湖风起云涌，并不太平。比如疯狂的红衣教腐蚀人心将人变得痴傻，凶狠的天一教徒甚至用邪术将人变成毒人。江湖正在不断的遭受威胁，保护黎民百姓，维持一方正义就落在你的肩上了。你需要做一系列任务去拨乱反正，惩奸除恶，让江湖变得更好更安全。	ui/Image/Teaching/FullLevel11.UITex	1
3	团队秘境	　　团队秘境比小队秘境更具有挑战性，在团队秘境里，你将会迎来前所未有的技术考验。根据秘境的不同，需要集结十人或二十五人一同前往。同时，你和你的队友也将获得更高品质的奖励！	ui/Image/Teaching/FullLevel9.UITex	0
4	特色装备	　　成长的路上离不开装备的提升，除了任务奖励和秘境挑战可以获得装备以外，积攒江湖贡献、侠义、声望等等也可以在相应的商人处换取心仪的装备。经过五行石的精炼强化，可使装备获得更大程度的飞升。	ui/Image/Teaching/FullLevel13.UITex	0
5	江贡侠义	　　这江湖就是个大染缸，鱼龙混杂，什么人都有。侠士若是做了什么好事，比如击杀了秘境首领或是完成了秘境日常任务，便可获得江湖贡献和侠义值的奖励。江湖贡献和侠义值都可在相应的商人处兑换装备。	ui/Image/Teaching/FullLevel5.UITex	1
6	恩怨情仇	　　江湖上有恶人谷和浩气盟两大势力。恶人谷内恶人汇聚，号称“一入此谷，永不受苦”，历来为天下正义之人所不容。浩气盟乃当年八大门派围攻恶人谷时所缔结，这些年来一直匡扶正道，以惩奸除恶为己任。然而这善恶本就没有明确的分别，无法一概而论。侠士还是选择一方加入后自己去体会吧！	ui/Image/Teaching/FullLevel1.UITex	0
7	战场驰骋	　　隐元会在江湖中散播九宫棋谷中存有《九天兵鉴》和无数珍宝的消息，广发英雄帖，邀请浩气盟与恶人谷双方精锐前往九宫棋谷中寻找珍宝。为防止谷中的珍宝落入敌方阵营之手，浩气盟与恶人谷皆尽出精锐，赶赴九宫棋谷。这一场恶战定是避免不了的。浩气盟战场接引人与恶人谷战场接引人都在扬州和成都的战场区。	ui/Image/Teaching/FullLevel12.UITex	0
8	名剑大会	　　藏剑山庄每隔十年便会举办一次名剑大会，并从中挑选出当时最有名望兼武功剑法最高的剑客，赠予庄内十年来静心打造的宝剑一把。所赠宝剑不但锋利无匹，而且打造之法独特，普天之下绝无相同之剑。可去主城的上官玲处参与名剑大会。记得参与前要组建战队或加入别人的战队哦！	ui/Image/Teaching/FullLevel6.UITex	0
9	攻防据点	　　叛军兵粮物资屡遭中原义士截击，损失惨重，徐归道上奏安禄山，开启“大燕粮仓”行动，组建狼牙军“监资部”，前赴各地专责搜罗粮草。唐皇于灵武设奖颁旨，命建宁王李倓召集中原群侠在唐燕两军交战正酣趁机夺取各地狼牙“大燕粮仓”中的粮草，而针对大唐武人中最大的一谷一盟两大势力，更开具极具诱惑力之赏赐。但双雄逐鹿中原，必起争端……	ui/Image/Teaching/FullLevel4.UITex	0
10	威望战阶	　　参与各种阵营活动和阵营任务可得到威望与战阶积分。使用威望可以去主城的七星令·别南轩或者周简白换取威望装。在战阶商人王雨瑶及董海健处亦可以换取相应战阶等级的装备。	ui/Image/Teaching/FullLevel10.UITex	1
11	武学精进	　　想必侠士行走江湖，已创下了不小的名号。然而如今正值烽烟乱世，民不聊生，李唐王朝风雨飘摇。如要大展身手，救黎民百姓于水火之中，便必要增强修为，精进武艺。切不可污了本心，做出有违侠义之道，给门派抹黑之事。	ui/Image/Teaching/FullLevel2.UITex	0
13	技能精进	　　侠士请切记练功不是一朝一夕就能有所成的。在这个过程中修心养性，逐步提升自己的修为境界，这样招式的威力自然就会有所提升，还有可能领悟到更深的招式。武学精进之路漫漫其修远，每个招式都有一个可以修炼的重数上限，修炼到了上限便是圆满。点击右下角入口或按快捷键“P”打开技能界面即可查看当前招式相关的信息。	ui/Image/Teaching/FullLevel5.UITex	0
14	武学秘籍	　　在帮会领地之中好东西不少，比如就在大厅后面的书库里面便收集了不少江湖上珍贵的武学秘籍，这些都是前辈们留下的宝藏。若是能真正的领悟了这些秘籍，想必武学修为定会精进不少。每个招式可激活四本秘籍。点击右下角入口或按快捷键“P”打开技能界面后，点击技能图标即可查看该技能对应的秘籍。	ui/Image/Teaching/FullLevel11.UITex	0
15	修习奇穴	　　浑身经络的十大要门，谓之奇穴。激活奇穴对侠士的能力（如内、外功攻击力，治疗能力，生存能力等）提升帮助非常大，激活奇穴需要消耗修为。点击右下角入口或按快捷键“P”打开技能界面，即可查看奇穴相关信息。	ui/Image/Teaching/FullLevel6.UITex	1
16	帮会家园	　　在江湖行走中，个人力量是有限的，不论是秘境探险还是战场都需要依靠团队的力量。帮会就是这样的一个存在，帮众们齐心合力完成个人无法完成的事情，同时也一同为帮会的发展壮大做着贡献。若是你与志同道合的侠士组成帮会，遇到困难之时也好有人照应一二，总比有事之时孤身无援好！	ui/Image/Teaching/FullLevel3.UITex	0
17	帮会领地	　　如果帮会拥有家园，就等于多了个避世桃源，而且里面可以储藏各种珍贵物资，还可以参加各种活动，这对帮会成员来说都是件大好事。帮会家园中的帮会食堂一天有三餐供应，美味佳肴齿留香；亦可以去唱晚池驻眼看钩手不移，体验钓鱼的快乐；更能手把青秧插野田，种出果实与好友共享。	ui/Image/Teaching/FullLevel14.UITex	0
19	天工之树	　　江湖传闻，隐元会最近获得一批神器“天工开物”，获得此物的帮会会出现“帮会天工树”。对于帮会及帮众来说，天工树不仅仅可以加速帮会的发展，还可以增加帮众的各种福利和能力。帮主需要进入帮会领地，在帮会大厅内找到“天工树管理员”高九问即可激活天工树。天工树的发展需要消耗帮会发展点和帮会资金。帮会成员可在帮会界面查看天工树。	ui/Image/Teaching/FullLevel8.UITex	1
20	良师益友	　　作揖结缘祠堂前，悉数指点恩难言。亲传师徒，情深意重，行走江湖，游历山水，相伴相随，必是一番好景象。惑而从师其惑终解，师者传道授业解惑。在这不平静的江湖中找一位亲传恩师或是教导一个顽徒都是一桩美事。点击左下角入口或按快捷键“U”即打开师徒界面，可在此找师父、收徒弟，若是已有师父或徒弟即可在此查看同门相关的信息。	ui/Image/Teaching/FullLevel7.UITex	1
21	四海兄弟	　　在家靠父母，出门靠朋友，行走江湖总要有个三两好友结伴而行，才能让家人放心！多结交几个知心好友，行走江湖也有个伴儿！点击左下角的入口即可打开社交界面，添加好友或查看自己的好友。更可开启“同城好友”，为侠士寻得身在附近志同道合的好友！	ui/Image/Teaching/FullLevel4.UITex	1
22	闲情逸致	　　行走江湖除了打打杀杀，亦要有些闲情逸致来陶冶情操。采金术、神农术、庖丁术等众多生活技艺能让你更多的利用身边的资源为自己创造更多的利益；抓一匹小马驹将其培养成追风骏马也是一种成就；更可多逛逛外观商城，为自己置办一身华服，赢得陌生人的青睐。烽烟四起江湖行，一盏清茶，潇洒谁同？	ui/Image/Teaching/FullLevel2.UITex	1
23	生活技艺	　　正所谓艺多不压身，如今江湖上血雨腥风，大家都忙于追名逐利，懂的一些生活技艺的人少之又少。想来这一路走来你也见了不少路边的草药、矿石和动物的皮毛骨肉。若是想要将这些材料为我所用，生活技艺是必不可少的。侠士若是感兴趣，可去各个主城的“技艺区”寻各技艺的训练师了解情况。	ui/Image/Teaching/FullLevel7.UITex	0
24	寻觅奇宝	　　江湖上的宝藏有很多。欲寻宝藏，必先利其器。寻宝利器“七巧觅宝铲”是在每个杂货商处都可以买到。点击右下角入口或者按快捷键“I”即可打开生活技艺界面，从中选择点击“寻宝”按钮在右侧打开寻宝罗盘。再根据运势及方位进行挖掘，或可挖得珍宝。	ui/Image/Teaching/FullLevel9.UITex	1
