nShopID	bForceSelector	bKungfuSelector	bEquipPosSelector	bAttriSelector	bRequireLevelSelector	bLevelSelector	bQualitySelector	bScoreSelector	bSkillSelector	bHaveReadSelector	bAutoSelect	bDisableSort
57	0	0	0	0	0	0	0	0	0	0	0	1
58	0	0	0	0	0	0	0	0	0	0	0	1
59	0	0	0	0	0	0	0	0	0	0	0	1
60	0	0	0	0	0	0	0	0	0	0	0	1
61	0	0	0	0	0	0	0	0	0	0	0	1
62	0	0	0	0	0	0	0	0	0	0	0	1
63	0	0	0	0	0	0	0	0	0	0	0	1
64	0	0	0	0	0	0	0	0	0	0	0	1
65	0	0	0	0	0	0	0	0	0	0	0	1
66	0	0	0	0	0	0	0	0	0	0	0	1
67	0	0	0	0	0	0	0	0	0	0	0	1
68	1	1	1	0	1	0	1	0	0	0	1	0
69	1	1	1	0	1	0	1	0	0	0	1	0
70	1	1	1	0	1	0	1	0	0	0	1	0
72	1	1	1	0	1	0	1	0	0	0	1	0
79	1	1	1	0	1	0	1	0	0	0	1	0
80	0	0	0	0	0	0	0	0	0	0	0	1
81	0	0	0	0	0	0	0	0	0	0	0	1
82	0	0	0	0	0	0	0	0	0	0	0	1
83	0	0	0	0	0	0	0	0	0	0	0	1
84	0	0	0	0	0	0	0	0	0	0	0	1
85	0	0	0	0	0	0	0	0	0	0	0	1
86	0	0	0	0	0	0	0	0	0	0	0	1
87	0	0	0	0	0	0	0	0	0	0	0	1
88	0	0	0	0	0	0	0	0	0	0	0	1
89	0	0	0	0	0	0	0	0	0	0	0	1
90	0	0	0	0	0	0	0	0	0	0	0	1
91	0	0	0	0	0	0	0	0	0	0	0	1
92	0	0	0	0	0	0	0	0	0	0	0	1
93	0	0	0	0	0	0	0	0	0	0	0	1
94	0	0	0	0	0	0	0	0	0	0	0	1
132	1	1	1	1	0	0	1	0	0	0	1	0
133	1	1	1	1	0	0	1	0	0	0	1	0
134	1	1	1	1	0	0	1	0	0	0	1	0
141	1	1	1	1	0	0	1	0	0	0	1	0
142	1	1	1	1	0	0	1	0	0	0	1	0
143	0	1	1	0	1	0	0	0	0	0	1	0
145	1	1	1	1	0	0	1	0	0	0	1	0
147	1	1	1	1	0	0	1	0	0	0	1	0
148	0	1	1	0	1	0	0	0	0	0	1	0
151	1	1	1	1	0	0	1	0	0	0	1	0
152	1	1	1	1	0	0	1	0	0	0	1	0
154	1	1	1	1	0	0	1	0	0	0	1	0
155	1	1	1	1	0	0	1	0	0	0	1	0
157	1	1	1	1	0	0	1	0	0	0	1	0
158	1	1	1	1	0	0	1	0	0	0	1	0
159	1	1	1	1	0	0	1	0	0	0	1	0
162	1	1	1	1	0	0	1	0	0	0	1	0
163	0	1	1	0	1	0	0	0	0	0	1	0
165	0	1	1	0	1	0	0	0	0	0	1	0
167	0	1	1	0	1	0	0	0	0	0	1	0
169	0	1	1	0	1	0	0	0	0	0	1	0
172	1	1	1	1	0	0	1	0	0	0	1	0
173	1	1	1	1	0	0	1	0	0	0	1	0
174	1	1	1	1	0	0	1	0	0	0	1	0
176	1	1	1	1	0	0	1	0	0	0	1	0
178	1	1	1	1	0	0	1	0	0	0	1	0
180	1	1	1	1	0	0	1	0	0	0	1	0
183	1	1	1	1	0	0	1	0	0	0	1	0
185	1	1	1	1	0	0	1	0	0	0	1	0
186	1	1	1	1	0	0	1	0	0	0	1	0
188	0	1	1	0	1	0	0	0	0	0	1	0
190	1	1	1	1	0	0	1	0	0	0	1	0
191	1	1	1	1	0	0	1	0	0	0	1	0
193	0	1	1	0	1	0	0	0	0	0	1	0
194	1	1	1	1	0	0	1	0	0	0	1	0
198	1	1	1	1	0	1	0	0	0	0	1	0
199	1	1	1	1	0	0	1	0	0	0	1	0
200	1	1	1	1	0	1	0	0	0	0	1	0
201	1	1	1	1	0	0	1	0	0	0	1	0
202	1	1	1	1	0	0	1	0	0	0	1	0
203	1	1	1	1	0	0	1	0	0	0	1	0
206	1	1	1	1	0	0	1	0	0	0	1	0
207	1	1	1	1	0	0	1	0	0	0	1	0
209	0	1	1	0	1	0	0	0	0	0	1	0
210	0	1	1	0	1	0	0	0	0	0	1	0
211	0	1	1	0	1	0	0	0	0	0	1	0
212	0	1	1	0	1	0	0	0	0	0	1	0
213	0	1	1	0	1	0	0	0	0	0	1	0
214	0	1	1	0	1	0	0	0	0	0	1	0
215	0	1	1	0	1	0	0	0	0	0	1	0
216	0	1	1	0	1	0	0	0	0	0	1	0
218	0	1	1	0	1	0	0	0	0	0	1	0
219	0	1	1	0	1	0	0	0	0	0	1	0
220	0	1	1	0	1	0	0	0	0	0	1	0
221	0	1	1	0	1	0	0	0	0	0	1	0
222	0	1	1	0	1	0	0	0	0	0	1	0
223	0	1	1	0	1	0	0	0	0	0	1	0
224	0	1	1	0	1	0	0	0	0	0	1	0
225	0	1	1	0	1	0	0	0	0	0	1	0
345	0	0	0	0	0	0	1	0	1	1	1	0
346	0	0	0	0	0	0	1	0	1	1	1	0
347	0	0	0	0	0	0	1	0	1	1	1	0
348	0	0	0	0	0	0	1	0	1	1	1	0
349	0	0	0	0	0	0	1	0	0	1	1	0
350	0	0	0	0	0	0	1	0	0	1	1	0
351	0	0	0	0	0	0	1	0	0	1	1	0
352	0	0	0	0	0	0	1	0	1	1	1	0
353	0	0	0	0	0	0	1	0	1	1	1	0
354	0	0	0	0	0	0	1	0	1	1	1	0
355	0	0	0	0	0	0	1	0	1	1	1	0
356	0	0	0	0	0	0	1	0	1	1	1	0
357	0	0	0	0	0	0	1	0	1	1	1	0
358	0	0	0	0	0	0	1	0	1	1	1	0
359	0	0	0	0	0	0	1	0	1	1	1	0
360	0	0	0	0	0	0	1	0	1	1	1	0
361	0	0	0	0	0	0	1	0	1	1	1	0
362	0	0	0	0	0	0	1	0	1	1	1	0
363	0	0	0	0	0	0	1	0	1	1	1	0
391	0	0	0	0	0	0	0	0	0	0	0	1
393	0	0	0	0	0	0	0	0	0	0	0	1
394	0	0	0	0	0	0	0	0	0	0	0	1
407	0	0	0	0	0	0	0	0	0	0	0	1
412	1	1	1	0	0	0	0	0	0	0	1	0
413	1	1	1	0	0	0	0	0	0	0	1	0
482	1	1	0	0	0	0	0	0	0	0	0	0
491	1	1	0	0	0	0	0	0	0	0	0	0
492	1	1	0	0	0	0	0	0	0	0	0	0
493	0	1	1	0	1	0	0	0	0	0	1	0
494	0	1	1	0	1	0	0	0	0	0	1	0
495	0	1	1	0	1	0	0	0	0	0	1	0
496	0	1	1	0	1	0	0	0	0	0	1	0
497	0	1	1	0	1	0	0	0	0	0	1	0
498	0	1	1	0	1	0	0	0	0	0	1	0
499	0	1	1	0	1	0	0	0	0	0	1	0
500	0	1	1	0	1	0	0	0	0	0	1	0
501	1	1	1	0	0	0	0	0	0	0	1	0
502	0	1	1	0	1	0	0	0	0	0	1	0
503	0	1	1	0	1	0	0	0	0	0	1	0
504	0	1	1	0	1	0	0	0	0	0	1	0
