MapID	SymbolID	ImagePath	nFrame	Name	Description	Position
0	0		0			
2	1	ui/Image/Minimap/Minimap.UITex	200	醉猿	醉猿出没处	74823,65043;71779,61216;69255,48138;67353,41763;50872,50318;49166,40863;41014,38680;33331,36793;53799,27928;42010,22457;
2	2	ui/Image/Minimap/Minimap.UITex	200	水月宫腹地	九子连环阵最终据点	15723,13137;
2	3	ui/Image/Minimap/Minimap.UITex	200	机甲驾驭处	可在此处选择机甲	33129,35378;
5	1	ui/Image/Minimap/Minimap.UITex	200	醉猿	醉猿出没处	5667,13706;22648,11113;37553,18987;54596,27713;55555,38770;30075,37716;24236,47130;26359,59309;24042,72735;28993,74369;
5	2	ui/Image/Minimap/Minimap.UITex	200	少林演武场		10066,56572;
6	1	ui/Image/Minimap/Minimap.UITex	200	元宵节	元宵节放花灯处	57997,36805;
6	2	ui/Image/Minimap/Minimap.UITex	200	醉猿	醉猿出没处	43491,42460;32785,58119;37128,38006;58407,34260;68996,14520;28260,17918;38109,31503;71300,24825;68647,34361;20524,67148;
7	1	ui/Image/Minimap/Minimap.UITex	200	醉猿	醉猿出没处	39520,2925;32096,10216;27132,17669;31564,47165;24321,47324;30900,63800;32508,75443;38495,69295;48523,80230;54327,92605;
7	2	ui/Image/Minimap/Minimap.UITex	200	一刀流入侵	谢云流李忘生激战区域	25948,20508;
7	3	ui/Image/Minimap/Minimap.UITex	200	一刀流入侵	一刀流出没区域	30670,31259;
9	1	ui/Image/Minimap/Minimap.UITex	200	醉猿	醉猿出没处	54562,81664;50729,73669;53411,58778;45596,48265;31132,45231;22824,29504;19476,25283;9155,15641;38061,55575;40198,75712;
9	2	ui/Image/Minimap/Minimap.UITex	200	叛逃者		54562,81664;
9	3	ui/Image/Minimap/Minimap.UITex	200	叛逃者		50729,73669;
9	4	ui/Image/Minimap/Minimap.UITex	200	叛逃者		53411,58778;
9	5	ui/Image/Minimap/Minimap.UITex	200	叛逃者		45596,48265;
9	6	ui/Image/Minimap/Minimap.UITex	200	叛逃者		31132,45231;
9	7	ui/Image/Minimap/Minimap.UITex	200	叛逃者		22824,29504;
9	8	ui/Image/Minimap/Minimap.UITex	200	叛逃者		19476,25283;
9	9	ui/Image/Minimap/Minimap.UITex	200	叛逃者		9155,15641;
9	10	ui/Image/Minimap/Minimap.UITex	200	叛逃者		8180,6210;
9	11	ui/Image/Minimap/Minimap.UITex	200	叛逃者		18697,8463;
9	12	ui/Image/Minimap/Minimap.UITex	200	沐云冲	野外地图首领	34899,26918;
