TempleteId	MapId	AreaID	ActivityID	Positions
0	0	0	-1	
3	5			32161,8489,1068133
5	1			18154,36114,1056820;21928,33503,1046989;21993,33362,1047160;21657,32801,1047854;18702,33828,1055863;18987,34644,1055530;18717,34205,1055817;19150,33486,1055530;17266,32915,1059110;18686,36714,1056856;21244,35144,1053574;20770,36178,1054763;21303,36172,1054572;21792,36373,1054415;21618,39165,1056128;16572,35761,1060327;16516,36251,1059594;16479,38665,1058583;16366,38073,1058938;16289,36596,1059998;16444,40011,1059383;15381,39735,1058396;14782,39306,1059217;17112,40500,1060025;21639,40721,1057450;19305,42775,1063848;18600,42125,1064155;18708,42868,1064509;21260,39288,1055993;20737,39531,1056189;21710,39687,1056569;22273,32318,1047684;19012,36182,1056176;16526,35092,1060331;18106,40389,1059660
5	247			18154,36114,1056820;21928,33503,1046989;21993,33362,1047160;21657,32801,1047854;22273,32318,1047684;18702,33828,1055863;18987,34644,1055530;18717,34205,1055817;19150,33486,1055530;17266,32915,1059110;19012,36182,1056176;18686,36714,1056856;21244,35144,1053574;20770,36178,1054763;21303,36172,1054572;21792,36373,1054415;21618,39165,1056128;16572,35761,1060327;16516,36251,1059594;16526,35092,1060331;16479,38665,1058583;16366,38073,1058938;16289,36596,1059998;16444,40011,1059383;15381,39735,1058396;14782,39306,1059217;18106,40389,1059660;17112,40500,1060025;21639,40721,1057450;19305,42775,1063848;18600,42125,1064155;18708,42868,1064509;21260,39288,1055993;20737,39531,1056189;21710,39687,1056569
11	1			10666,27687,1058218;10396,27216,1057469;9952,26970,1056999;9603,27435,1057890;9308,27334,1057325;9373,27021,1056966;9835,26708,1056601;10674,28590,1060481;10846,28319,1059520;10947,28226,1059185;11129,28065,1058649;10633,27426,1057734;12246,28430,1059121;12107,28439,1059135;11682,28418,1059087;11407,28441,1059101;11385,28250,1058808;11626,28224,1058753;11996,28272,1058819;12233,28242,1058793;11421,28026,1058542;12085,28009,1058347;11242,27838,1058316;12138,27474,1057888;9527,26530,1056204;9053,26590,1056201;9040,26086,1055895;8851,27542,1057125;8656,27663,1057035;8628,27367,1056719;8698,27151,1056702;8707,26205,1056131;10354,26325,1057283;10041,25947,1056725;9973,26237,1056568
11	247			10666,27687,1058218;10674,28590,1060481;10846,28319,1059520;10947,28226,1059185;11129,28065,1058649;10633,27426,1057734;10396,27216,1057215;12246,28430,1059121;12107,28439,1059135;11682,28418,1059087;11407,28441,1059101;11385,28250,1058808;11626,28224,1058753;11996,28272,1058819;12233,28242,1058793;11421,28026,1058542;12085,28009,1058347;11242,27838,1058316;12138,27474,1057888;9952,26970,1056800;9603,27435,1057375;9308,27334,1057067;9373,27021,1056769;9835,26708,1056504;9527,26530,1056204;9053,26590,1056201;9040,26086,1055895;8851,27542,1057125;8656,27663,1057035;8628,27367,1056719;8698,27151,1056702;8707,26205,1056131;10354,26325,1057283;10041,25947,1056725;9973,26237,1056568
17	1			38784,7475,1055154
17	247			38784,7475,1055154
20	1			30331,36390,1059772;30029,35961,1059356;28091,35319,1056365;27686,32471,1052626;28587,35069,1056589;29616,35877,1059354;31440,38026,1062251;34000,37728,1062585;35307,36748,1062446;35851,36347,1063152;37257,35152,1062408;34354,33145,1059770;35348,33511,1061901;32967,31065,1058090;32081,30888,1057680;31770,29743,1057325;31555,28933,1056668;30209,31005,1056971;31375,31910,1057944;31907,32178,1057720;33925,32607,1059364;34874,33361,1061679;36519,34529,1062400;30865,36238,1060420;31377,33430,1059356;34329,31661,1059296;36121,32987,1061955;36995,33683,1062430;39542,27492,1058306;39816,32881,1065420;38887,34495,1065244;34059,33665,1060452;35189,30181,1059298;35047,28126,1056673;31355,29955,1056623;26005,32766,1051984;26740,31566,1052288;27653,29471,1052978;28516,30603,1052062;31110,36604,1061362;28927,36437,1059335;28200,35675,1057044;31293,34755,1060420;34174,35949,1062413;37261,28189,1059297;38260,30791,1062361;38117,33696,1064182;33147,29427,1057234;30571,37139,1061217;27916,31317,1052227;31255,37843,1062053
20	247			31907,32178,1057720;30029,35961,1059356;28091,35319,1056365;27686,32471,1052626;27916,31317,1052227;28587,35069,1056589;29616,35877,1059354;31255,37843,1062053;31440,38026,1062251;34000,37728,1062585;35307,36748,1062446;35851,36347,1063152;37257,35152,1062408;34354,33145,1059770;35348,33511,1061901;32967,31065,1058090;32081,30888,1057680;31770,29743,1057325;31555,28933,1056668;30209,31005,1056971;31375,31910,1057944;33925,32607,1059364;34874,33361,1061679;36519,34529,1062400;30865,36238,1060420;31377,33430,1059356;34329,31661,1059296;36121,32987,1061955;36995,33683,1062430;39542,27492,1058306;39816,32881,1065420;38887,34495,1065244;34059,33665,1060452;35189,30181,1059298;35047,28126,1056673;31355,29955,1056623;26005,32766,1051984;26740,31566,1052288;27653,29471,1052978;28516,30603,1052062;30331,36390,1059772;31110,36604,1061362;28927,36437,1059335;28200,35675,1057044;31293,34755,1060420;34174,35949,1062413;37261,28189,1059297;38260,30791,1062361;38117,33696,1064182;33147,29427,1057234;30571,37139,1061217
