QuestID	SFXBG	SFXText	Difficult
0	data\source\other\特效\系统\SFX\其他\界面秘境挑战R02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字精英任务02.Sfx	1
51	data\source\other\特效\系统\SFX\其他\界面精英任务B02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字精英任务02.Sfx	2
489	data\source\other\特效\系统\SFX\其他\界面精英任务B02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字精英任务02.Sfx	3
651	data\source\other\特效\系统\SFX\其他\界面精英任务B02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字精英任务02.Sfx	2
752	data\source\other\特效\系统\SFX\其他\界面精英任务B02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字精英任务02.Sfx	2
771	data\source\other\特效\系统\SFX\其他\界面精英任务B02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字精英任务02.Sfx	2
900	data\source\other\特效\系统\SFX\其他\界面精英任务B02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字精英任务02.Sfx	2
943	data\source\other\特效\系统\SFX\其他\界面精英任务B02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字精英任务02.Sfx	2
1395	data\source\other\特效\系统\SFX\其他\界面精英任务B02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字精英任务02.Sfx	3
1396	data\source\other\特效\系统\SFX\其他\界面精英任务B02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字精英任务02.Sfx	3
1402	data\source\other\特效\系统\SFX\其他\界面精英任务B02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字精英任务02.Sfx	3
2099	data\source\other\特效\系统\SFX\其他\界面精英任务B02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字精英任务02.Sfx	3
2212	data\source\other\特效\系统\SFX\其他\界面精英任务B02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字精英任务02.Sfx	3
2565	data\source\other\特效\系统\SFX\其他\界面精英任务B02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字精英任务02.Sfx	3
2584	data\source\other\特效\系统\SFX\其他\界面精英任务B02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字精英任务02.Sfx	2
2693	data\source\other\特效\系统\SFX\其他\界面秘境挑战R02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字秘境挑战02.Sfx	5
2974	data\source\other\特效\系统\SFX\其他\界面精英任务B02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字精英任务02.Sfx	3
3023	data\source\other\特效\系统\SFX\其他\界面秘境挑战R02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字秘境挑战02.Sfx	5
3031	data\source\other\特效\系统\SFX\其他\界面秘境挑战R02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字秘境挑战02.Sfx	5
3546	data\source\other\特效\系统\SFX\其他\界面精英任务B02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字精英任务02.Sfx	2
3643	data\source\other\特效\系统\SFX\其他\界面精英任务B02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字精英任务02.Sfx	3
3919	data\source\other\特效\系统\SFX\其他\界面精英任务B02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字精英任务02.Sfx	2
4107	data\source\other\特效\系统\SFX\其他\界面秘境挑战R02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字秘境挑战02.Sfx	5
5346	data\source\other\特效\系统\SFX\其他\界面秘境挑战R02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字秘境挑战02.Sfx	5
6506	data\source\other\特效\系统\SFX\其他\界面精英任务B02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字精英任务02.Sfx	2
6994	data\source\other\特效\系统\SFX\其他\界面精英任务B02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字精英任务02.Sfx	3
7138	data\source\other\特效\系统\SFX\其他\界面秘境挑战R02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字秘境挑战02.Sfx	5
7139	data\source\other\特效\系统\SFX\其他\界面秘境挑战R02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字秘境挑战02.Sfx	5
7142	data\source\other\特效\系统\SFX\其他\界面秘境挑战R02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字秘境挑战02.Sfx	5
7144	data\source\other\特效\系统\SFX\其他\界面秘境挑战R02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字秘境挑战02.Sfx	5
7145	data\source\other\特效\系统\SFX\其他\界面秘境挑战R02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字秘境挑战02.Sfx	5
7288	data\source\other\特效\系统\SFX\其他\界面秘境挑战R02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字秘境挑战02.Sfx	5
9548	data\source\other\特效\系统\SFX\其他\界面精英任务B02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字精英任务02.Sfx	2
9620	data\source\other\特效\系统\SFX\其他\界面精英任务B02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字精英任务02.Sfx	2
10239	data\source\other\特效\系统\SFX\其他\界面精英任务B02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字精英任务02.Sfx	3
10612	data\source\other\特效\系统\SFX\其他\界面精英任务B02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字精英任务02.Sfx	3
11153	data\source\other\特效\系统\SFX\其他\界面秘境挑战R02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字秘境挑战02.Sfx	5
11809	data\source\other\特效\系统\SFX\其他\界面秘境挑战R02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字秘境挑战02.Sfx	5
11830	data\source\other\特效\系统\SFX\其他\界面秘境挑战R02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字秘境挑战02.Sfx	5
11833	data\source\other\特效\系统\SFX\其他\界面秘境挑战R02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字秘境挑战02.Sfx	5
11834	data\source\other\特效\系统\SFX\其他\界面秘境挑战R02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字秘境挑战02.Sfx	5
11835	data\source\other\特效\系统\SFX\其他\界面秘境挑战R02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字秘境挑战02.Sfx	5
11836	data\source\other\特效\系统\SFX\其他\界面秘境挑战R02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字秘境挑战02.Sfx	5
11837	data\source\other\特效\系统\SFX\其他\界面秘境挑战R02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字秘境挑战02.Sfx	5
11838	data\source\other\特效\系统\SFX\其他\界面秘境挑战R02.Sfx	data\source\other\特效\系统\SFX\其他\界面文字秘境挑战02.Sfx	5

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
