TempleteId	MapId	AreaID	ActivityID	Positions
0	0	0	-1	
0	158			-2147483648,0,1048576
0	172			0,0
1	1			8558,23620,1057359;8337,27120,1056642;7846,25944,1056740;9953,24879,1056772;7113,23011,1059163;7914,21304,1061263;8098,19766,1060232;9327,17825,1061081;5830,18491,1062649;10675,19643,1060794;11751,21209,1060674;11283,23059,1061538;10458,23610,1062361;10207,24378,1058449;8208,24589,1058297
4	1			5426,20179,1063219;11054,16862,1061376;4605,18581,1065505;5533,14866,1065316;6429,22485,1059955;9856,22057,1059977;7852,13016,1062949;8823,15066,1061386
6	1			31768,20849,1048163;31897,20619,1048012;31717,20423,1047992
8	1			29322,12344,1049725;29103,16758,1055305;28598,16475,1052537;30433,14417,1049184;28262,12102,1050042;29305,13402,1050015;27923,14052,1049232;29250,9816,1048572;31497,15050,1049033;30715,13517,1048825;29302,11143,1050879;30395,11382,1050303;29901,9394,1048803;29852,10602,1051288;30578,9066,1049587;28598,13126,1050698;28940,13357,1049467;27253,13952,1048189
9	1			29466,14698,1050275;29175,15675,1052823;30042,15495,1051665;28594,15002,1051263;31420,14914,1049127;27573,11825,1047385;28414,10802,1047768;28038,14578,1049803;27200,18626,1048336;28236,18298,1048078;29333,10945,1051030;29196,13554,1050223;28536,16637,1052020;28234,12760,1049495;29138,16630,1055363;29838,12568,1049532;30124,12740,1049552;30215,14394,1049446
10	1			33049,6356,1055172;29007,6487,1048910;30957,5439,1051070;37513,6971,1055856;36413,4544,1055851;34473,3182,1057207;28710,6166,1048908;28931,4898,1053413;41373,7624,1057114;35470,4122,1055789;39391,4120,1055150;35768,7527,1055709;28830,6372,1048908;33928,4904,1055406;39599,4453,1055145;38732,4134,1055548;39302,7251,1055149;38116,7789,1055855;40101,7680,1055211;39106,5746,1055162;35680,8279,1055532;34184,6601,1055406;33175,4494,1062611;33051,6989,1062611
11	1			36780,5925,1055249;38695,3820,1055233;39958,3611,1055310;35848,4391,1055852;37085,7905,1055861;35034,4064,1055408;34581,4023,1055406;30643,6654,1056175;34087,7202,1055406;37510,4707,1055838;36342,7585,1055858;37516,8130,1055856;34405,4435,1055406;38033,4513,1055725
12	1			21372,17884,1048407;19426,18976,1047518;23625,15682,1047495;22060,16553,1049627;24232,17964,1048121;25554,18525,1050169;27124,19846,1049593;28695,18917,1048199;28523,19863,1048749;30274,19464,1053535;20851,19187,1047718;19262,19817,1047456;22538,17002,1049621;22057,16006,1049734;20492,15430,1048099;19787,17524,1048353;21850,20650,1049057;21184,16786,1049998;18766,19316,1047440;22566,15822,1049961;21653,17329,1049504;20925,18455,1047386;21570,18834,1047728;20993,20131,1048594;19601,18265,1048073;20282,17911,1047900;20001,19822,1047788;24523,16817,1047451;26318,17369,1048504;24358,18704,1048875;23665,14160,1047838;22534,14812,1048344;20420,16409,1048181;19468,16130,1048395;18386,16455,1048788;25948,20216,1049115;24008,14646,1047906
