NodeID	Level	ImageFile	Frame	DisableFrame	Name	Desc	Introduce
0	0	ui/Image/UICommon/ScienceTreeNode.UITex	52	54	招贤纳士	<text>text="帮会可招收帮众上限至150人。" font=18</text>	<text>text="可提升帮会可招人数上限。" font=107</text>
0	1	ui/Image/UICommon/ScienceTreeNode.UITex	52	54	招贤纳士	<text>text="提升帮会可招收帮众上限至150人。" font=18</text>	<text>text="帮会可招收帮众上限至" font=227</text><text>text="150" font=101</text><text>text="人。" font=227</text>
0	2	ui/Image/UICommon/ScienceTreeNode.UITex	52	54	招贤纳士	<text>text="提升帮会可招收帮众上限至200人。" font=18</text>	<text>text="帮会可招收帮众上限至" font=227</text><text>text="200" font=101</text><text>text="人。" font=227</text>
0	3	ui/Image/UICommon/ScienceTreeNode.UITex	52	54	招贤纳士	<text>text="提升帮会可招收帮众上限至250人。" font=18</text>	<text>text="帮会可招收帮众上限至" font=227</text><text>text="250" font=101</text><text>text="人。" font=227</text>
1	0	ui/Image/UICommon/ScienceTreeNode.UITex	40	42	封官拜将	<text>text="帮会组织结构层增加至10个。" font=18</text>	<text>text="增加帮会组织结构层。" font=107</text>
1	1	ui/Image/UICommon/ScienceTreeNode.UITex	40	42	封官拜将	<text>text="帮会组织结构层增加至10个。" font=18</text>	<text>text="帮会组织结构层增加至" font=227</text><text>text="10" font=101</text><text>text="个。" font=227</text>
1	2	ui/Image/UICommon/ScienceTreeNode.UITex	40	42	封官拜将	<text>text="帮会组织结构层增加至14个。" font=18</text>	<text>text="帮会组织结构层增加至" font=227</text><text>text="14" font=101</text><text>text="个。" font=227</text>
1	3	ui/Image/UICommon/ScienceTreeNode.UITex	40	42	封官拜将	<text>text="帮会组织结构层增加至16个。" font=18</text>	<text>text="帮会组织结构层增加至" font=227</text><text>text="16" font=101</text><text>text="个。" font=227</text>
2	0	ui/Image/UICommon/ScienceTreeNode.UITex	15	17	藏珍坊	<text>text="废弃。启动一级帮会工房建设，需要完成一系列帮会工房建筑升级任务，建筑升级完成后，一级帮会工房商店开启，建筑升级完成后才能继续升级后面的天工树节点。" font=18</text>	<text>text="废弃。启动一级帮会工房建设，需要完成一系列帮会工房建筑升级任务，建筑升级完成后，一级帮会工房商店开启，建筑升级完成后才能继续升级后面的天工树节点。" font=107</text>
2	1	ui/Image/UICommon/ScienceTreeNode.UITex	15	17	藏珍坊	<text>text="废弃。启动一级帮会工房建设，需要完成一系列帮会工房建筑升级任务，建筑升级完成后，一级帮会工房商店开启，建筑升级完成后才能继续升级后面的天工树节点。" font=18</text>	<text>text="废弃。启动一级帮会工房建设，需要完成一系列帮会工房建筑升级任务，建筑升级完成后，一级帮会工房商店开启，建筑升级完成后才能继续升级后面的天工树节点。" font=227</text>
3	0	ui/Image/UICommon/ScienceTreeNode.UITex	12	14	圣手坊	<text>text="废弃。启动一级帮会丹房建设，需要完成一系列帮会丹房建筑升级任务，建筑升级完成后，一级帮会丹房商店开启，建筑升级完成后才能继续升级后面的天工树节点。" font=18</text>	<text>text="废弃。启动一级帮会丹房建设，需要完成一系列帮会丹房建筑升级任务，建筑升级完成后，一级帮会丹房商店开启，建筑升级完成后才能继续升级后面的天工树节点。" font=107</text>
3	1	ui/Image/UICommon/ScienceTreeNode.UITex	12	14	圣手坊	<text>text="废弃。启动一级帮会丹房建设，需要完成一系列帮会丹房建筑升级任务，建筑升级完成后，一级帮会丹房商店开启，建筑升级完成后才能继续升级后面的天工树节点。" font=18</text>	<text>text="废弃。启动一级帮会丹房建设，需要完成一系列帮会丹房建筑升级任务，建筑升级完成后，一级帮会丹房商店开启，建筑升级完成后才能继续升级后面的天工树节点。" font=227</text>
4	0	ui/Image/UICommon/ScienceTreeNode.UITex	43	45	阵营铁卫	<text>text="阵营日常任务的威望值和战阶积分奖励提高20%。" font=18</text>	<text>text="提升阵营任务奖励。" font=107</text>
