TitleRank	TitlePoint	Desc
0	500	<Text>text="最高可购买1140品紫色项链、腰坠和戒指" font=100 </text>
1	2000	<Text>text="最高可购买1140品紫色护腕" font=100 </text>
2	5000	<Text>text="最高可购买1140品紫色鞋子" font=100 </text>
3	10000	<Text>text="最高可购买1140品紫色腰带" font=100 </text>
4	15000	<Text>text="最高可购买1140品紫色下装" font=100 </text>
5	20000	<Text>text="最高可购买1140品紫色帽子" font=100 </text>
6	22000	<Text>text="最高可购买1140品紫色上衣" font=100 </text>
7		<Text>text="最高可购买1140品紫色近身武器、远程武器" font=100 </text>
8		<Text>text="最高可购买1240品紫色护腕" font=100 </text>
9		<Text>text="最高可购买1240品紫色鞋子" font=100 </text>
10		<Text>text="最高可购买1240品紫色腰带" font=100 </text>
11		<Text>text="最高可购买1240品紫色下装" font=100 </text>
12		<Text>text="最高可购买1240品紫色帽子" font=100 </text>
13		<Text>text="最高可购买1240品紫色上衣" font=100 </text>
14		<Text>text="最高可购买1240品紫色近身武器、远程武器，以及阵营战阶专属挂件" font=100 </text>

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
