ID	Name	外功气劲1	外功不利效果2	阳性气劲3	阳性不利效果4	混元性气劲5	混元性不利效果6	阴性气劲7	阴性不利效果8	点穴9	点穴不利效果10	毒性气劲11	毒性不利效果12	蛊13	蛊不利效果14
10002	洗髓经	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10003	易筋经	0	0	0	0	0	0	0	1	0	0	0	0	0	0
10014	紫霞功	0	0	0	1	0	0	0	0	0	0	0	0	0	0
10015	太虚剑意	0	0	1	1	1	1	1	1	0	0	1	1	0	0
10021	花间游	0	0	1	1	1	1	1	1	1	1	1	0	0	0
10026	傲血战意	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10028	离经易道	0	0	1	1	1	1	1	1	0	1	1	1	0	0
10062	铁牢律	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10080	云裳心经	0	0	0	1	0	1	0	1	0	0	0	1	0	0
10081	冰心诀	0	0	0	0	1	0	1	0	0	0	1	0	0	0
10144	问水诀	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10145	山居剑意	0	0	1	0	1	0	1	0	0	0	1	0	0	0
10175	毒经	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10176	补天诀	0	0	0	1	0	1	0	1	0	0	0	1	0	0
10224	惊羽诀	0	0	1	0	1	0	1	0	0	0	1	0	0	0
10225	天罗诡道	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10448	相知	0	0	0	1	0	1	0	1	0	0	0	1	0	0

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
