id	Type	dwType	SubType	dwSubTpye	Show	Message
0				0	0	同是江湖中人何不结伴同游。;能够出现在这里就是缘分啊！约么？;遇见你是我的缘~;TA是深山里一颗包治百病的板蓝根。。。;再不跟他搭讪，他就要变成安静的美男子了。;不约，叔叔我们不约。
1	PVE	1	副本狂人	1	1	你猜，我一周清多少个本？;此人一周不打副本就手痒，何不与他一起？;一周见证了3次玄晶，请叫我小红人。;一天不去武林秘境就浑身难受！;红手还是黑手？秘境里一战便知。;放开Boss的菊花，让我来！;没有DPS的奶不是个好T。
3	PVP	2	据点争夺者	3	1	来，一起玩坏据点之战吧。;头可断，人可杀，据点不能丢！;我们的据点，我们做主！;有据点才有商跑，才不会穷三代！;战！体验酣畅淋漓的攻城快感。;据点是我家，守护靠大家。
4			阵营守护者	4	1	TA需要一个攻防队友。;TA难道是个威望大刷子？;跟我走！威望战阶统统有。;阵营大义两肩扛！三尺青锋不思量！;拔剑吧！我的利刃已饥渴难耐。
5			JJC达人	5	1	TA缺一个JJC队友。;你俩总是在JJC门口擦肩而过，约么？;JJC达人，带你装比带你飞~~;想要雕像随我来，想到九段跟我走;每周躺10场，不亦乐乎？
6			疯狂人头狗	6	1	红名都是怪，杀了再说。;同是人头狗，不如一起基？;此人杀人如麻。;哦也~又一个人头到手! ;一山不容二虎，做了他！;放开那个残血，让我来！
7			战场达人	7	1	战场达人带你基情带你飞~;战场！来个绑定奶和DPS！;天天排战场，阵营好儿郎。;岂曰无衣！与子同戈！;刷刷刷，每日首胜不白拿。;今天的战场是什么！
8			百战不殆	8	1	废话不多说，来战！;切磋出来的基情，可懂？;高手的寂寞谁能懂。;多说无益，旗下见真章。;方才我喝了杯茶。;似我这般寂寞的高手，正需要你这样的对手！
9	PVX	3	爱宠之人	9	1	你们这些抓宠物的太恐怖了。放开那个小诺！让我来！;同是花海沦落人，相逢何必抢一杠。;蟹兵蟹卒和蟹相，早晚凑足一盘棋。;宠物分数2000+，求羞辱。;蹲点不是王道，随缘方得始终。;谁又把一杠抓走了！
10			成就党	10	1	同是成就党，何不起基？;重度无伤成就强迫症。;同是江湖成就客，相逢何必曾相识。;各种疑难成就，药到病除。;TA是大山里一朵包过各种成就的寂寞之人。
11			爱美之人	11	1	同是爱美之人，不如一起探讨一番？;你知道外观党意味着什么吗？;外观图谱大刷子，一看就是同道中人啊！;此人收集起外观根本停不下来！;广闻天下华服，有TA的日子不孤独。;对你，我只有三个字，买买买！
12			挂件党	12	1	不以装备分低为耻，只以收集挂件为荣！;只有报废的金刚钻，没有刷不出的挂件。;挂件排名强迫症患者，快来比比谁的挂件多。;能单刷的挂件TA都有了，不如请教一番？;肯为挂件一掷千金，这样爽快的朋友哪里找？
13			抓马达人	13	1	手握九州寻驹图，脚行八方套马场。;情缘是什么？里飞沙才是真爱好么！;不管是龙子还是麟驹，一只都不会放过！;苍山洱海我的家，山巅牧场我的家。;套马杆的汉子你威武雄壮。
14			日常狗	14	1	一个人跑日常很是寂寞？何不找TA一起？;大战随便来。;打完日常就分手，绝不纠缠！;日常求绑定。;这人做完日常就无所事事了，快来搭救他。;红名求放过，我只想安静的做个日常。。。;
15			金砖圣手	15	1	每周摸个砖，迟早有一天能发家致富呢！;遍地红名也不能阻止他摸砖的脚步。;世界BOSS才是共同的敌人！;阵营之争暂且搁置，金砖在向你招手！;我就混个砖，我打酱油的…;少侠，来一起摸个金砖嘛。
16			寻宝之人	16	1	这货的运气玩爆你，昨天又挖出藏宝洞了。;几铲子下去，分分钟发家致富;挖挖挖挖挖挖，我是挖宝的小行家。;寻踪觅宝之高人，跟着他还要什么罗盘！;盗宝贼鬼见愁，杀了一个又一个。
17			小白	17	0	TA是个需要保护的柔弱小白。;情缘都是自己一手带大的，你懂的。;战斗力只有5的娇花，需要你小心呵护。;谁当年不是从菜鸟过来的，快来帮他一把。;与人帮助，手留余香。这个世界需要爱。

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
