dwID	dwForceID	nType	dwFrame	szLinkFrame
0				
1	1	1	0	ui/Image/PlayerAvatar/FriendBack6.UITex
2	1	5	1	ui/Image/PlayerAvatar/FriendBack6.UITex
3	2	5	2	ui/Image/PlayerAvatar/FriendBack6.UITex
4	2	1	0	ui/Image/PlayerAvatar/FriendBack2.UITex
5	2	2	1	ui/Image/PlayerAvatar/FriendBack2.UITex
6	2	6	2	ui/Image/PlayerAvatar/FriendBack2.UITex
7	3	1	0	ui/Image/PlayerAvatar/FriendBack4.UITex
8	3	2	1	ui/Image/PlayerAvatar/FriendBack4.UITex
9	3	6	2	ui/Image/PlayerAvatar/FriendBack4.UITex
10	3	5	0	ui/Image/PlayerAvatar/FriendBack14.UITex
11	4	1	0	ui/Image/PlayerAvatar/FriendBack10.UITex
12	4	2	1	ui/Image/PlayerAvatar/FriendBack10.UITex
13	4	6	2	ui/Image/PlayerAvatar/FriendBack10.UITex
14	4	5	1	ui/Image/PlayerAvatar/FriendBack13.UITex
15	5	2	0	ui/Image/PlayerAvatar/FriendBack7.UITex
16	5	6	1	ui/Image/PlayerAvatar/FriendBack7.UITex
17	5	5	2	ui/Image/PlayerAvatar/FriendBack7.UITex
18	6	1	0	ui/Image/PlayerAvatar/FriendBack3.UITex
19	6	2	1	ui/Image/PlayerAvatar/FriendBack3.UITex
20	6	5	2	ui/Image/PlayerAvatar/FriendBack14.UITex
21	6	6	2	ui/Image/PlayerAvatar/FriendBack3.UITex
22	7	1	0	ui/Image/PlayerAvatar/FriendBack5.UITex
23	7	2	1	ui/Image/PlayerAvatar/FriendBack5.UITex
24	7	5	1	ui/Image/PlayerAvatar/FriendBack16.UITEX
25	7	6	2	ui/Image/PlayerAvatar/FriendBack5.UITex
26	8	1	0	ui/Image/PlayerAvatar/FriendBack11.UITex
27	8	2	1	ui/Image/PlayerAvatar/FriendBack11.UITex
28	8	5	1	ui/Image/PlayerAvatar/FriendBack14.UITex
29	8	6	2	ui/Image/PlayerAvatar/FriendBack11.UITex
30	9	1	0	ui/Image/PlayerAvatar/FriendBack9.UITex
31	9	2	1	ui/Image/PlayerAvatar/FriendBack9.UITex
32	9	6	2	ui/Image/PlayerAvatar/FriendBack9.UITex
33	9	5	2	ui/Image/PlayerAvatar/FriendBack13.UITex
34	10	1	0	ui/Image/PlayerAvatar/FriendBack8.UITex
35	10	2	1	ui/Image/PlayerAvatar/FriendBack8.UITex
36	10	6	2	ui/Image/PlayerAvatar/FriendBack8.UITex
37	21	1	0	ui/Image/PlayerAvatar/FriendBack12.UITex
38	21	2	1	ui/Image/PlayerAvatar/FriendBack12.UITex
39	21	6	2	ui/Image/PlayerAvatar/FriendBack12.UITex
40	21	5	0	ui/Image/PlayerAvatar/FriendBack13.UITex
41	22	1	0	ui/Image/PlayerAvatar/FriendBack15.UITex
42	22	2	1	ui/Image/PlayerAvatar/FriendBack15.UITex
43	22	5	0	ui/Image/PlayerAvatar/FriendBack16.UITex
44	22	6	2	ui/Image/PlayerAvatar/FriendBack15.UITex
45	23	1	2	ui/Image/PlayerAvatar/FriendBack16.UITex
46	23	2	0	ui/Image/PlayerAvatar/FriendBack17.UITex
47	23	5	1	ui/Image/PlayerAvatar/FriendBack17.UITex
48	23	6	2	ui/Image/PlayerAvatar/FriendBack17.UITex

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
