nDetail	Hungry	FullMeasure	FullMeasure1	FullMeasureTip1	FullMeasure2	FullMeasureTip2	FullMeasure3	FullMeasureTip3	MeasureCutTip	Feed	PutFeed	FeedTip
0	饥饿	饱食度	饥肠辘辘	当前饱食度状态：【饥肠辘辘】\n坐骑属性下降至<D0>%，且双人同骑不可使用。	半饥半饱	当前饱食度状态：【半饥半饱】\n坐骑属性下降至<D0>%	吃饱喝足		在线每十分钟消减<D0>点\n寄存在马厩中的坐骑不消耗饱食度	喂食	投入草料	各种类型的喂食饲料在马商的饲料商店中均可购得。\n【草料类饲料】也可在习有神农技艺的侠士手中交易获取。
1	饥饿	饱食度	饥肠辘辘	当前饱食度状态：【饥肠辘辘】\n坐骑属性下降，且双人同骑不可使用。	半饥半饱	当前饱食度状态：【半饥半饱】	吃饱喝足		移动时每五秒消减1点	喂食	投入草料	可投入：【草料类饲料】\n各种类型的喂食饲料在马商的饲料商店中均可购得。\n【草料类饲料】也可在习有神农技艺的侠士手中交易获取。
2	饥饿	饱食度	饥肠辘辘	当前饱食度状态：【饥肠辘辘】\n坐骑属性下降，且双人同骑不可使用。	半饥半饱	当前饱食度状态：【半饥半饱】	吃饱喝足		移动时每五秒消减1点	喂食	投入草料	可投入：【草料类饲料】\n各种类型的喂食饲料在马商的饲料商店中均可购得。\n【草料类饲料】也可在习有神农技艺的侠士手中交易获取。
3	饥饿	饱食度	饥肠辘辘	当前饱食度状态：【饥肠辘辘】\n坐骑属性下降，且双人同骑不可使用。	半饥半饱	当前饱食度状态：【半饥半饱】	吃饱喝足		移动时每五秒消减1点		投入草料	可投入：【草料类饲料】\n各种类型的喂食饲料在马商的饲料商店中均可购得。\n【草料类饲料】也可在习有神农技艺的侠士手中交易获取。
4	饥饿	饱食度	饥肠辘辘	当前饱食度状态：【饥肠辘辘】\n坐骑属性下降，且双人同骑不可使用。	半饥半饱	当前饱食度状态：【半饥半饱】	吃饱喝足		移动时每五秒消减1点		投入草料	可投入：【草料类饲料】\n各种类型的喂食饲料在马商的饲料商店中均可购得。\n【草料类饲料】也可在习有神农技艺的侠士手中交易获取。
5	不满	满意度	有气无力	当前满意度状态：【有气无力】不想干了！\n轿子属性下降。	无精打采	当前满意度状态：【无精打采】没干劲啊！	精神饱满		移动时每五秒消减1点	打赏	放入赏钱	放入【赏钱封】，封装金钱进行打赏。\n【赏钱封】可以在主城活动区智尊宝处购得。\n不同【赏钱封】可封装金钱以及打赏的效果不同。
6	不满	满意度	有气无力	当前满意度状态：【有气无力】不想干了！\n轿子属性下降。	无精打采	当前满意度状态：【无精打采】没干劲啊！	精神饱满		移动时每五秒消减1点	打赏	放入赏钱	放入【赏钱封】，封装金钱进行打赏。\n【赏钱封】可以在主城活动区智尊宝处购得。\n不同【赏钱封】可封装金钱以及打赏的效果不同。
7	破损	持久度	严重破损	当前持久度状态：【严重破损】\n坐骑载具属性下降，且双人同骑不可使用。	部分破损	当前持久度状态：【部分破损】	完好如新		移动时每五秒消减1点	修理	放置【维修锤】	放入【维修锤】，进行修理。\n【维修锤】可以在主城活动区智尊宝处购得。
8	破损	持久度	严重破损	当前持久度状态：【严重破损】\n坐骑载具属性下降，且双人同骑不可使用。	部分破损	当前持久度状态：【部分破损】	完好如新		移动时每五秒消减1点	修理	放置【维修锤】	放入【维修锤】，进行修理。\n【维修锤】可以在主城活动区智尊宝处购得。
9	破损	持久度	严重破损	当前持久度状态：【严重破损】\n坐骑载具属性下降，且双人同骑不可使用。	部分破损	当前持久度状态：【部分破损】	完好如新		移动时每五秒消减1点	修理	放置【维修锤】	放入【维修锤】，进行修理。\n【维修锤】可以在主城活动区智尊宝处购得。
10	饥饿	饱食度	饥肠辘辘	当前饱食度状态：【饥肠辘辘】\n坐骑属性下降，且双人同骑不可使用。	半饥半饱	当前饱食度状态：【半饥半饱】	吃饱喝足		移动时每五秒消减1点	喂食	投入草料	可投入：【草料类饲料】\n各种类型的喂食饲料在马商的饲料商店中均可购得。\n【草料类饲料】也可在习有神农技艺的侠士手中交易获取。
11	饥饿	饱食度	饥肠辘辘	当前饱食度状态：【饥肠辘辘】\n坐骑属性下降，且双人同骑不可使用。	半饥半饱	当前饱食度状态：【半饥半饱】	吃饱喝足		移动时每五秒消减1点	喂食	投入草料	可投入：【肉类饲料】\n各种类型的喂食饲料在马商的饲料商店中均可购得。\n【草料类饲料】也可在习有神农技艺的侠士手中交易获取。
12	饥饿	饱食度	饥肠辘辘	当前饱食度状态：【饥肠辘辘】\n坐骑属性下降，且双人同骑不可使用。	半饥半饱	当前饱食度状态：【半饥半饱】	吃饱喝足		移动时每五秒消减1点	喂食	投入草料	可投入：【肉类饲料】\n各种类型的喂食饲料在马商的饲料商店中均可购得。\n【草料类饲料】也可在习有神农技艺的侠士手中交易获取。
13	饥饿	饱食度	饥肠辘辘	当前饱食度状态：【饥肠辘辘】\n坐骑属性下降，且双人同骑不可使用。	半饥半饱	当前饱食度状态：【半饥半饱】	吃饱喝足		移动时每五秒消减1点	喂食	投入草料	可投入：【草料类饲料】\n各种类型的喂食饲料在马商的饲料商店中均可购得。\n【草料类饲料】也可在习有神农技艺的侠士手中交易获取。
14	饥饿	饱食度	饥肠辘辘	当前饱食度状态：【饥肠辘辘】\n坐骑属性下降，且双人同骑不可使用。	半饥半饱	当前饱食度状态：【半饥半饱】			移动时每五秒消减1点	喂食	投入草料或杂粮	可投入：【草料类饲料】【杂粮类饲料】\n各种类型的喂食饲料在马商的饲料商店中均可购得。\n【草料类饲料】也可在习有神农技艺的侠士手中交易获取。
15	饥饿	饱食度	饥肠辘辘	当前饱食度状态：【饥肠辘辘】\n坐骑属性下降，且双人同骑不可使用。	半饥半饱	当前饱食度状态：【半饥半饱】			移动时每五秒消减1点	喂食	投入草料或杂粮	可投入：【草料类饲料】【杂粮类饲料】\n各种类型的喂食饲料在马商的饲料商店中均可购得。\n【草料类饲料】也可在习有神农技艺的侠士手中交易获取。
16				当前饱食度状态：【饥肠辘辘】\n坐骑属性下降，且双人同骑不可使用。		当前饱食度状态：【半饥半饱】			移动时每五秒消减1点		投入草料或鱼虾	可投入：【草料类饲料】【鱼虾类饲料】\n各种类型的喂食饲料在马商的饲料商店中均可购得。\n【草料类饲料】也可在习有神农技艺的侠士手中交易获取。
17	不满	满意度	有气无力	当前满意度状态：【有气无力】不想干了！\n画舫属性下降。	无精打采	当前满意度状态：【无精打采】没干劲啊！	精神饱满		移动时每五秒消减1点	打赏	放入赏钱	放入【赏钱封】，封装金钱进行打赏。\n【赏钱封】可以在主城活动区智尊宝处购得。\n不同【赏钱封】可封装金钱以及打赏的效果不同。
18				当前饱食度状态：【饥肠辘辘】\n坐骑属性下降，且双人同骑不可使用。		当前饱食度状态：【半饥半饱】			移动时每五秒消减1点			可投入：【草料类饲料】\n各种类型的喂食饲料在马商的饲料商店中均可购得。\n【草料类饲料】也可在习有神农技艺的侠士手中交易获取。
19				当前饱食度状态：【饥肠辘辘】\n坐骑属性下降，且双人同骑不可使用。		当前饱食度状态：【半饥半饱】			移动时每五秒消减1点		投入【肉类饲料】【蛇胆食料】	可投入：【肉类饲料】【蛇胆食料】\n【肉类饲料】可在马商的饲料商店中购得。\n【蛇胆食料】可击杀世界中一些蛇类生物获得。
20	饥饿	饱食度	饥肠辘辘	当前饱食度状态：【饥肠辘辘】\n坐骑属性下降，且双人同骑不可使用。	半饥半饱	当前饱食度状态：【半饥半饱】	吃饱喝足		移动时每五秒消减1点	喂食	投入草料	可投入：【草料类饲料】\n各种类型的喂食饲料在马商的饲料商店中均可购得。\n【草料类饲料】也可在习有神农技艺的侠士手中交易获取。
21	饥饿	饱食度	饥肠辘辘	当前饱食度状态：【饥肠辘辘】\n坐骑属性下降，且双人同骑不可使用。	半饥半饱	当前饱食度状态：【半饥半饱】	吃饱喝足		移动时每五秒消减1点	喂食	投入【肉类饲料】	可投入：【肉类饲料】\n各种类型的喂食饲料在马商的饲料商店中均可购得。\n【草料类饲料】也可在习有神农技艺的侠士手中交易获取。

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
