ID	Level	Name	IconID	Gener	Type	bRelateFeed	FeedTip	Tip	TuJianTip	bShow
0	0		0		0	0				
1	0	速度	1899	0,0,5,9,13,99	0	1	<text>text="因处在饥饿\破损\无力状态，移动速度加成降低了。" font=33</text>	<text>text="移动速度提高{D0}%" font=36 </text>	<text>text="乘骑时，移动速度获得提高。" font=36</text>	1
2	0	泅渡	6483	0,1,0,0,0	0	0		<text>text="可以载人渡水" font=36</text>	<text>text="可以载人渡水。" font=36</text>	1
3	0	同骑	6485	0,1,0,0,0	0	1	<text>text="因处在饥饿\破损\无力状态，双人同骑无法使用。" font=33</text>	<text>text="可以双人同骑" font=36</text>	<text>text="可以双人同骑。" font=36</text>	1
4	0	御空	6489	0,1,0,0,0	0	0		<text>text="可以悬浮御空或滑翔御空" font=36</text>	<text>text="可以悬浮御空或滑翔御空。" font=36</text>	1
5	0	骑术	6482	0,1,0,0,0	0	0		<text>text="非马坐骑，但可以施展骑术轻功" font=36</text>	<text>text="非马坐骑，但可以施展骑术轻功。" font=36</text>	1
6	0	奇趣	6492	0,1,0,0,0	0	0		<text>text="稀有奇异之坐骑，拥有收集观赏之趣" font=36</text>	<text>text="稀有奇异之坐骑，拥有收集观赏之趣。" font=36</text>	1
7	0	气限	6494	0,0,5,9,30,99	0	1	<text>text="因处在饥饿\破损\无力状态，该属性的效果降低了。" font=33</text>	<text>text="马术气力最大值提升{D0}点" font=36</text>	<text>text="乘骑时，马术气力最大值获得提升。" font=36</text>	1
8	0	气久	6495	0,0,5,9,20,99	0	1	<text>text="因处在饥饿\破损\无力状态，该属性的效果降低了。" font=33</text>	<text>text="马术气力恢复速度提升{D0}点" font=36</text>	<text>text="乘骑时，马术气力恢复速度获得提升。" font=36</text>	1
9	0	节流	6496	0,0,5,9,20,99	0	1	<text>text="因处在饥饿\破损\无力状态，该属性的效果降低了。" font=33</text>	<text>text="马术气力值消耗速度降低{D0}点" font=36</text>	<text>text="乘骑时，马术气力值每秒消耗速度获得降低。" font=36</text>	1
10	0	鞍稳	6502	0,0,5,9,20,99	0	1	<text>text="因处在饥饿\破损\无力状态，该属性的效果降低了。" font=33</text>	<text>text="轻功气力值回复速度额外提升{D0}点" font=36</text>	<text>text="乘骑时，轻功气力值回复速度额外提升。" font=36</text>	1
11	0	抗摔	6498	0,0,15,30,50,99	0	1	<text>text="因处在饥饿\破损\无力状态，该属性的效果降低了。" font=33</text>	<text>text="抗摔伤系数提高{D0}点" font=36 </text>	<text>text="乘骑时，抗摔伤系数提高一定点数。" font=36 </text>	1
12	0	互动	6125	0,1,0,0,0		0		<text>text="拥有互动娱乐之趣" font=36</text>	<text>text="此坐骑拥有互动娱乐之趣。" font=36</text>	1
13	0	武技	6500	0,1,0,0,0		0		<text>text="非马坐骑，但可乘骑施展马上武学" font=36</text>	<text>text="非马坐骑，但可以同马匹一样乘骑着施展马上武学。" font=36</text>	1
14	0	速度·劲足	6491	0,0,4,7,10,99	1	1	<text>text="因处在饥饿\破损\无力状态，该效果无法触发。" font=33</text>	<text>text="坐骑的饱食度大于75%时，移动速度额外提升5%。" font=36</text>	<text>text="当坐骑的饱食度大于一定比例，移动速度额外获得提升。" font=36</text>	1
14	1	速度·劲足	6491	0,0,4,7,10,99	1	1	<text>text="因处在饥饿\破损\无力状态，该效果无法触发。" font=33</text>	<text>text="坐骑的饱食度大于75%时，移动速度额外提升5%。" font=36</text>	<text>text="当坐骑的饱食度大于一定比例，移动速度额外获得提升。" font=36</text>	1
14	2	速度·劲足	6491	0,0,4,7,10,99	1	1	<text>text="因处在饥饿\破损\无力状态，该效果无法触发。" font=33</text>	<text>text="坐骑的饱食度大于76%时，移动速度额外提升6%。" font=36</text>	<text>text="当坐骑的饱食度大于一定比例，移动速度额外获得提升。" font=36</text>	1
14	3	速度·劲足	6491	0,0,4,7,10,99	1	1	<text>text="因处在饥饿\破损\无力状态，该效果无法触发。" font=33</text>	<text>text="坐骑的饱食度大于78%时，移动速度额外提升8%。" font=36</text>	<text>text="当坐骑的饱食度大于一定比例，移动速度额外获得提升。" font=36</text>	1
14	4	速度·劲足	6491	0,0,4,7,10,99	1	1	<text>text="因处在饥饿\破损\无力状态，该效果无法触发。" font=33</text>	<text>text="坐骑的饱食度大于80%时，移动速度额外提升10%。" font=36</text>	<text>text="当坐骑的饱食度大于一定比例，移动速度额外获得提升。" font=36</text>	1
14	5	速度·劲足	6491	0,0,4,7,10,99	1	1	<text>text="因处在饥饿\破损\无力状态，该效果无法触发。" font=33</text>	<text>text="坐骑的饱食度大于82%时，移动速度额外提升12%。" font=36</text>	<text>text="当坐骑的饱食度大于一定比例，移动速度额外获得提升。" font=36</text>	1
14	6	速度·劲足	6491	0,0,4,7,10,99	1	1	<text>text="因处在饥饿\破损\无力状态，该效果无法触发。" font=33</text>	<text>text="坐骑的饱食度大于84%时，移动速度额外提升14%。" font=36</text>	<text>text="当坐骑的饱食度大于一定比例，移动速度额外获得提升。" font=36</text>	1
14	7	速度·劲足	6491	0,0,4,7,10,99	1	1	<text>text="因处在饥饿\破损\无力状态，该效果无法触发。" font=33</text>	<text>text="坐骑的饱食度大于86%时，移动速度额外提升16%。" font=36</text>	<text>text="当坐骑的饱食度大于一定比例，移动速度额外获得提升。" font=36</text>	1
14	8	速度·劲足	6491	0,0,4,7,10,99	1	1	<text>text="因处在饥饿\破损\无力状态，该效果无法触发。" font=33</text>	<text>text="坐骑的饱食度大于88%时，移动速度额外提升18%。" font=36</text>	<text>text="当坐骑的饱食度大于一定比例，移动速度额外获得提升。" font=36</text>	1
14	9	速度·劲足	6491	0,0,4,7,10,99	1	1	<text>text="因处在饥饿\破损\无力状态，该效果无法触发。" font=33</text>	<text>text="坐骑的饱食度大于90%时，移动速度额外提升20%。" font=36</text>	<text>text="当坐骑的饱食度大于一定比例，移动速度额外获得提升。" font=36</text>	1
15	0	泅渡·水性	6484	0,0,4,7,10,99	1	1	<text>text="因处在饥饿\破损\无力状态，该效果无法触发。" font=33</text>	<text>text="渡水时，速度额外提升2%。" font=36</text>	<text>text="渡水时，速度获得额外提升。" font=36</text>	1
15	1	泅渡·水性	6484	0,0,4,7,10,99	1	1	<text>text="因处在饥饿\破损\无力状态，该效果无法触发。" font=33</text>	<text>text="渡水时，速度额外提升2%。" font=36</text>	<text>text="渡水时，速度获得额外提升。" font=36</text>	1
15	2	泅渡·水性	6484	0,0,4,7,10,99	1	1	<text>text="因处在饥饿\破损\无力状态，该效果无法触发。" font=33</text>	<text>text="渡水时，速度额外提升3%。" font=36</text>	<text>text="渡水时，速度获得额外提升。" font=36</text>	1
15	3	泅渡·水性	6484	0,0,4,7,10,99	1	1	<text>text="因处在饥饿\破损\无力状态，该效果无法触发。" font=33</text>	<text>text="渡水时，速度额外提升4%。" font=36</text>	<text>text="渡水时，速度获得额外提升。" font=36</text>	1
15	4	泅渡·水性	6484	0,0,4,7,10,99	1	1	<text>text="因处在饥饿\破损\无力状态，该效果无法触发。" font=33</text>	<text>text="渡水时，速度额外提升5%。" font=36</text>	<text>text="渡水时，速度获得额外提升。" font=36</text>	1
15	5	泅渡·水性	6484	0,0,4,7,10,99	1	1	<text>text="因处在饥饿\破损\无力状态，该效果无法触发。" font=33</text>	<text>text="渡水时，速度额外提升6%。" font=36</text>	<text>text="渡水时，速度获得额外提升。" font=36</text>	1
15	6	泅渡·水性	6484	0,0,4,7,10,99	1	1	<text>text="因处在饥饿\破损\无力状态，该效果无法触发。" font=33</text>	<text>text="渡水时，速度额外提升7%。" font=36</text>	<text>text="渡水时，速度获得额外提升。" font=36</text>	1
15	7	泅渡·水性	6484	0,0,4,7,10,99	1	1	<text>text="因处在饥饿\破损\无力状态，该效果无法触发。" font=33</text>	<text>text="渡水时，速度额外提升8%。" font=36</text>	<text>text="渡水时，速度获得额外提升。" font=36</text>	1
