ID	SubID	Name	CostThew	ProfessionID	RequirePlayerLevel	RequireLevel	ProfessionIDExt	RequireLevelExt	RequireBranchID	RequireDoodad	ToolItemType	ToolItemIndex	EquipmentType	Exp	PrepareFrame	RequireItemType1	RequireItemIndex1	RequireItemCount1	RequireItemType2	RequireItemIndex2	RequireItemCount2	RequireItemType3	RequireItemIndex3	RequireItemCount3	RequireItemType4	RequireItemIndex4	RequireItemCount4	CreateItemType	CreateItemIndex	CreateItemStackNum	CoolDownID
0	0	未知书籍	0	0	0	0	0	0	0	0	0	0	-1	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2	1	沉香劈山上篇	11	8	15	25	10	18	0		0	0		30	80	5	3574	1	5	2872	1							5	7936	1	
2	2	沉香劈山下篇	9	8	15	25	10	18	0		0	0		30	80	5	2200	2	5	2872	1							5	7935	1	
3	1	毒尸若兰	11	8	15	25	11	18	0		0	0		30	80	5	3574	2	5	2872	1							5	8028	1	
4	1	万花茶典上篇	13	8	15	25	11	18	0		0	0		30	80	5	3574	1	5	2872	1	5	972	1				5	8029	1	
4	2	万花茶典下篇	9	8	15	25	11	18	0		0	0		30	80	5	3574	1	5	2872	1	5	979	1				5	8027	1	
5	1	太公家教第一章	8	8	10	10	11	10	0		0	0		15	80	5	2200	1	5	3842	1							5	8027	1	
5	2	太公家教第二章	10	8	10	15	11	12	0		0	0		15	80	5	2200	2	5	2872	1							5	8028	1	
5	3	太公家教第三章	8	8	10	10	11	10	0		0	0		15	80	5	2200	2	5	3842	1							5	8027	1	
5	4	太公家教第四章	10	8	10	15	11	12	0		0	0		15	80	5	3574	1	5	3842	1							5	8021	1	
5	5	太公家教第五章	8	8	10	15	11	12	0		0	0		15	80	5	3574	1	5	3842	1							5	8026	1	
5	6	太公家教第六章	8	8	10	15	11	12	0		0	0		15	80	5	2200	2	5	3842	1							5	8026	1	
5	7	太公家教第七章	10	8	10	15	11	12	0		0	0		15	80	5	3574	1	5	2872	1							5	8021	1	
5	8	太公家教第八章	8	8	10	15	11	12	0		0	0		15	80	5	2200	1	5	3842	1							5	8026	1	
6	1	古诗十九首上	8	8	10	15	11	12	0		0	0		15	80	5	2200	1	5	3842	1							5	8026	1	
6	2	古诗十九首中	10	8	10	15	11	12	0		0	0		15	80	5	3574	1	5	3842	1							5	8028	1	
6	3	古诗十九首下	8	8	10	15	11	12	0		0	0		15	80	5	2200	1	5	2872	1							5	8026	1	
7	1	千字文第一章	10	8	10	15	11	12	0		0	0		15	80	5	2200	2	5	2872	1							5	8028	1	
7	2	千字文第二章	8	8	10	15	11	12	0		0	0		15	80	5	2200	2	5	3842	1							5	8026	1	
7	3	千字文第三章	10	8	10	15	11	12	0		0	0		15	80	5	3574	1	5	3842	1							5	8021	1	
7	4	千字文第四章	8	8	10	15	11	12	0		0	0		15	80	5	2200	2	5	3842	1							5	8026	1	
7	5	千字文第五章	8	8	10	15	11	12	0		0	0		15	80	5	3574	1	5	3842	1							5	8026	1	
8	1	山河志第一章·疆域总说	8	8	10	15	11	12	0		0	0		15	80	5	2200	2	5	3842	1							5	8026	1	
8	2	山河志第二章·京畿及关内道	8	8	10	15	11	12	0		0	0		20	80	5	2200	2	5	2872	1							5	8026	1	
8	3	山河志第三章·都畿及河南道	8	8	10	15	11	12	0		0	0		20	80	5	2200	2	5	2872	1							5	8026	1	
8	4	山河志第四章·河东及山南东道	8	8	10	15	11	12	0		0	0		20	80	5	2200	2	5	2872	1							5	8026	1	
8	5	山河志第五章·陇右及山南西道	10	8	10	15	11	12	0		0	0		15	80	5	3574	1	5	3842	1							5	8021	1	
8	6	山河志第六章·陇右及淮南道	10	8	10	15	11	12	0		0	0		15	80	5	3574	1	5	3842	1							5	8028	1	
8	7	山河志第七章·江南东西二道	10	8	10	15	11	12	0		0	0		15	80	5	3574	1	5	3842	1							5	8021	1	
8	8	山河志第八章·剑南道及吐蕃	10	8	10	15	11	12	0		0	0		15	80	5	3574	1	5	3842	1							5	8021	1	
