CraftID	RecipeID	ProfessionID	ProfessionLevel	BranchID	ReputationID	nReputationLevel	nPrice
0	0	0	0	0	0	0	0
7	1	7	10				1170
7	3	7	12				670
7	6	7	14				1170
7	7	7	16				1780
7	9	7	18				2320
7	11	7	20				3020
7	16	7	24				4970
7	17	7	26				5790
7	18	7	28				7140
7	20	7	28				7140
7	24	7	30				8900
7	26	7	32				10120
7	27	7	34				11400
7	30	7	36				12820
7	33	7	38				14400
7	35	7	40				16140
7	36	7	40				16140
7	40	7	42				17870
7	41	7	44				19890
7	43	7	46				22010
7	45	7	48				24350
7	46	7	50				26930
7	52	7	52				30620
7	53	7	52				30620
7	54	7	52	0			30620
7	55	7	52	0			30620
7	57	7	54				34930
7	58	7	56				39640
7	61	7	58				44520
7	62	7	58	0			44520
7	63	7	58	0			44520
7	74	7	60				49290
7	76	7	62				54760
7	77	7	62				54760
7	78	7	64	0			60560
7	79	7	64	0			60560
7	84	7	66				66710
7	85	7	66				66710
7	86	7	66				66710
7	87	7	68	0			73710
7	88	7	68				73700
7	89	7	68	0			73700
7	90	7	68	0			73710
7	91	7	68	0			73710
7	92	7	68	0			73710
7	93	7	70				77200
7	94	7	70				77200
7	131	7	44				77200
7	132	7	44				77200
7	133	7	68	0			73710
7	134	7	68	0			73710
7	137	7	70	0			77200
7	139	7	70	0			77200
7	140	7	70	0			77200
7	141	7	70	0	0	0	77200
7	142	7	72				77200
7	143	7	72				77200
7	144	7	72				77200
7	145	7	72				114870
7	146	7	74				114870
7	147	7	74				114870
7	148	7	74				125260
7	149	7	74				125260
7	150	7	76				125260
7	151	7	76				137580
7	152	7	76				137580
7	153	7	76				137580
7	154	7	78				149960
7	155	7	78				149960
7	156	7	80				163440
7	157	7	80				163440
7	158	7	80				163440
7	193	7	50	0	0	0	53870
7	200	7	80	0	0	0	163440
7	201	7	74	0	0	0	250520
7	202	7	78	0	0	0	299920
7	203	7	80	0	0	0	490330
7	204	7	80	0	0	0	490330
7	205	7	80	0	0	0	490330
7	206	7	80	0	0	0	490330
7	211	7	80	0	0	0	490330
7	212	7	80	0	0	0	490330
7	213	7	80	0	0	0	490330
7	214	7	80	0	0	0	490330
7	219	7	80	0	0	0	408610
7	220	7	80	0	0	0	408610
7	221	7	82	0	0	0	435140
7	222	7	84	0	0	0	464950
7	223	7	86	0	0	0	494760
7	224	7	88	0	0	0	524570
7	225	7	90	0	0	0	665260
7	226	7	90	0	0	0	665260
7	227	7	90	0	0	0	665260
7	228	7	90	0	0	0	665260
7	229	7	90	0	0	0	665260
7	241	7	90	0	0	0	776140
7	242	7	90	0	0	0	776140
7	243	7	90	0	0	0	776140
7	244	7	90	0	0	0	776140
7	245	7	90	0	0	0	776140
7	246	7	90	0	0	0	776140
7	270	7	91	0	0	0	776140
7	271	7	92	0	0	0	776140
7	272	7	92	0	0	0	776140
7	273	7	93	0	0	0	776140
7	274	7	93	0	0	0	776140
7	275	7	94	0	0	0	776140
7	276	7	94	0	0	0	776140
7	284	7	95	0	0	0	776140
7	285	7	95	0	0	0	776140
7	286	7	95	0	0	0	776140
7	287	7	95	0	0	0	776140
7	288	7	95	0	0	0	776140
7	289	7	95	0	0	0	776140
7	290	7	95	0	0	0	776140
7	292	7	95	0	0	0	776140
7	293	7	95	0	0	0	776140
7	312	7	95	0	0	0	776140

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
