ID	Name	CostStamina	ProfessionID	RequireLevel	RecipeLevel	NeedExpertise	RequireBranchID	RequireDoodad	ToolItemType	ToolItemIndex	PowerfulToolItemType	PowerfulToolItemIndex	EquipmentType	Exp	PrepareFrame	Belong	ResultOnLevel	RequireItemType1	RequireItemIndex1	RequireItemCount1	RequireItemType2	RequireItemIndex2	RequireItemCount2	RequireItemType3	RequireItemIndex3	RequireItemCount3	RequireItemType4	RequireItemIndex4	RequireItemCount4	RequireItemType5	RequireItemIndex5	RequireItemCount5	RequireItemType6	RequireItemIndex6	RequireItemCount6	RequireItemType7	RequireItemIndex7	RequireItemCount7	RequireItemType8	RequireItemIndex8	RequireItemCount8	CreateItemType1	CreateItemIndex1	CreateItemMin1	CreateItemMax1	CreateItemProbability1	CreateItemType2	CreateItemIndex2	CreateItemMin2	CreateItemMax2	CreateItemProbability2	CreateItemType3	CreateItemIndex3	CreateItemMin3	CreateItemMax3	CreateItemProbability3	CreateItemType4	CreateItemIndex4	CreateItemMin4	CreateItemMax4	CreateItemProbability4	CreateItemType5	CreateItemIndex5	CreateItemMin5	CreateItemMax5	CreateItemProbability5	CreateItemType6	CreateItemIndex6	CreateItemMin6	CreateItemMax6	CreateItemProbability6	CreateItemType7	CreateItemIndex7	CreateItemMin7	CreateItemMax7	CreateItemProbability7	CreateItemType8	CreateItemIndex8	CreateItemMin8	CreateItemMax8	CreateItemProbability8	_Quality	ScriptName	CoolDownID
0	Œ¥÷™≈‰∑Ω	0	0	0			0	0	0	0	0	0	-1	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1	µæœ„±˝	13	4	10	10			183	0	0	0	0		17		30	0	5	3162	2	5	3158	2																			5	303	1	1	996147	5	3218	1	1	52429																																scripts/Craft/Include/Event.lua	
2	œ »‚∞¸◊”	7	4	10	10			183	0	0	0	0		11		30	0	5	3184	2	5	3162	1	5	3165	1																5	3183	1	1	996147	5	3485	1	1	52429																																scripts/Craft/Include/Event.lua	
3	»‚œ⁄	7	4	10	10			183	0	0	0	0		11		50	0	5	3153	1	5	3158	1																			5	3184	1	2	1048576					0																																scripts/Craft/Include/Event.lua	
4	∂¨πΩ≈∫º–	13	4	10	12			183	0	0	0	0		17		30	0	5	3184	1	5	3159	1	5	3156	1	5	3162	1	5	3165	1										5	3185	1	1	838861	5	3486	1	1	209715																																scripts/Craft/Include/Event.lua	
5	∂¨πœÀÈ»‚Ã¿	13	4	10	12			183	0	0	0	0		17		30	0	5	3184	1	5	3155	1	5	3165	1																5	3441	1	1	1048576					0																																scripts/Craft/Include/Event.lua	
6	Ω⁄‘¥—Á	19	4	10	12	1		183	0	0	0	0		23		60	0	5	3162	2	5	3184	1	5	2209	4																5	2265	1	1	1048576					0																																scripts/Craft/Include/Event.lua	
7	Ω·‘µ—Á	19	4	10	14	1		183	0	0	0	0		23		60	0	5	3184	4	5	2209	4	5	0	0																5	2266	1	1	1048576					0																																scripts/Craft/Include/Event.lua	
8	»‚º–‚…	13	4	10	14			183	0	0	0	0		17		20	0	5	3184	1	5	3162	2	5	3158	1																5	3437	1	1	996147	5	3487	1	1	52429																																scripts/Craft/Include/Event.lua	
9	‘”ÀÈ√Ê	13	4	10	14			183	0	0	0	0		17		20	0	5	3154	1	5	3162	1	5	3158	1	5	3163	1	5	3165	1										5	3438	1	1	996147	5	2292	1	1	52429																																scripts/Craft/Include/Event.lua	
10	…’±˝	13	4	10	14			183	0	0	0	0		17		20	0	5	3154	1	5	3162	2	5	3158	1																5	2267	1	1	996147	5	3489	1	1	52429																																scripts/Craft/Include/Event.lua	
11	ÀÈ»‚ÃÃ√ÊΩ«	13	4	10	14			183	0	0	0	0		17		20	0	5	3153	1	5	3162	1	5	3157	1	5	3163	1													5	2268	1	1	996147	5	2293	1	1	52429																																scripts/Craft/Include/Event.lua	
12	‘”ÀÈÃ¿	7	4	10	14			183	0	0	0	0		11		20	0	5	3154	2	5	3157	1	5	3165	1	5	0	0	5	0	0										5	3188	1	1	996147	5	3223	1	1	52429																																scripts/Craft/Include/Event.lua	
13	»‚ÕË	7	4	10	16			183	0	0	0	0		11		50	0	5	3184	2	5	3162	1																			5	2269	1	1	1048576					0																																scripts/Craft/Include/Event.lua	
14	∂¨πœÕË◊”Ã¿	7	4	10	18			183	0	0	0	0		11		30	0	5	2269	1	5	3155	1	5	3165	1																5	3187	1	1	943718	5	2294	1	1	104858																																scripts/Craft/Include/Event.lua	
15	∏ ≤›ƒ¢πΩ≤Ë	13	4	10	18			183	0	0	0	0		17		10	0	5	3002	4	5	3156	4	5	3157	1	5	979	1	5	0	0										5	3442	1	1	943718	5	3492	1	1	104858																																scripts/Craft/Include/Event.lua	
16	…˙»‚≈∫º–	13	4	10	18			183	0	0	0	0		17		10	0	5	3184	1	5	3159	1	5	3165	2	5	972	1													5	3443	1	1	943718	5	3493	1	1	104858																																scripts/Craft/Include/Event.lua	
17	¥Ûµ∂√Ê	13	4	10	18			183	0	0	0	0		17		10	0	5	3153	2	5	3162	4	5	3165	2	5	3167	2	5	979	1										5	3444	1	1	943718	5	2295	1	1	104858																																scripts/Craft/Include/Event.lua	
18	¬È ≥≈›	13	4	10	18			183	0	0	0	0		17		10	0	5	3153	2	5	3162	4	5	3167	2	5	3165	2	5	972	1										5	3445	1	1	943718	5	2296	1	1	104858																																scripts/Craft/Include/Event.lua	
19	‚∆‚Ω	13	4	10	18			183	0	0	0	0		17		10	0	5	3184	2	5	3162	2	5	3165	1	5	979	1													5	3446	1	1	943718	5	3496	1	1	104858																																scripts/Craft/Include/Event.lua	
20	πª®∏‚	13	4	10	18			183	0	0	0	0		17		30	0	5	3162	1	5	3160	1	5	3164	1																5	3189	1	1	838861	5	3490	1	1	209715																																scripts/Craft/Include/Event.lua	
21	¥»πΩ≤À∞¸	17	4	10	20			183	0	0	0	0		21		10	0	5	3156	4	5	3162	2	5	3158	2	5	3160	1	5	972	1										5	3447	1	1	943718	5	3497	1	1	104858																																scripts/Craft/Include/Event.lua	
22	Ù‰¥‰…’¬Ù	17	4	10	20			183	0	0	0	0		21		10	0	5	2269	2	5	3162	4	5	3158	3	5	979	1													5	3448	1	1	943718	5	3498	1	1	104858																																scripts/Craft/Include/Event.lua	
23	·™…Ω√Ê	17	4	10	20			183	0	0	0	0		21		10	0	5	3153	2	5	3162	4	5	3165	4	5	972	1													5	3449	1	1	943718	5	3499	1	1	104858																																scripts/Craft/Include/Event.lua	
24	π‡Ã¿∞¸◊”	17	4	10	20			183	0	0	0	0		21		10	0	5	3184	2	5	3162	2	5	3157	2	5	3165	2	5	979	1										5	3450	1	1	943718	5	3500	1	1	104858																																scripts/Craft/Include/Event.lua	
25	π±ÕËÃ¿	17	4	10	20			183	0	0	0	0		21		10	0	5	2269	2	5	3155	2	5	3157	2	5	3165	2	5	972	1										5	2270	1	1	943718	5	3501	1	1	104858																																scripts/Craft/Include/Event.lua	
26	«Â ≥–°µ„	25	4	10	20	1		183	0	0	0	0		29		60	0	5	2207	4	5	3154	2	5	3153	2																5	2271	1	1	1048576					0																																scripts/Craft/Include/Event.lua	
27	¬±≥¶	9	4	10	22			183	0	0	0	0		13		30	0	5	3169	2	5	3167	1	5	3163	1																5	3192	1	1	838861	5	3502	1	1	209715																																scripts/Craft/Include/Event.lua	
28	”Õ’®»‚Ãı	17	4	10	24			183	0	0	0	0		21		30	0	5	3168	1	5	3162	1	5	3165	2	5	3164	1													5	3191	1	1	943718	5	3224	1	1	104858																																scripts/Craft/Include/Event.lua	
29	…’¬ﬁ∫∫√ÊΩÓ	9	4	10	26			183	0	0	0	0		13		30	0	5	3168	2	5	3166	1	5	3158	1	5	0	0	5	0	0										5	3193	1	1	943718	5	3226	1	1	104858																																scripts/Craft/Include/Event.lua	
30	∑€’Ù≥¶	17	4	10	28			183	0	0	0	0		21		30	0	5	3169	1	5	3163	1	5	3157	2	5	3165	1													5	3194	1	1	943718	5	3227	1	1	104858																																scripts/Craft/Include/Event.lua	
31	∫˘¬´Õ∑	17	4	10	28			183	0	0	0	0		21		20	0	5	3169	2	5	3157	1	5	3167	1																5	3453	1	1	943718	5	3503	1	1	104858																																scripts/Craft/Include/Event.lua	
32	∫˙¿±Ã¿	17	4	10	28			183	0	0	0	0		21		20	0	5	3153	2	5	3167	1	5	3157	1																5	3454	1	1	943718	5	3504	1	1	104858																																scripts/Craft/Include/Event.lua	
33	À⁄◊”…’»‚	17	4	10	28			183	0	0	0	0		21		20	0	5	3168	1	5	3173	1	5	3163	1	5	3157	1													5	3455	1	1	943718	5	3505	1	1	104858																																scripts/Craft/Include/Event.lua	
34	Ã´∫Û±˝	25	4	10	30			183	0	0	0	0		29		30	0	5	3184	1	5	3158	2	5	3162	1	5	3168	1													5	3456	1	1	943718	5	3506	1	1	104858																																scripts/Craft/Include/Event.lua	
35	Ω¨√ÊÃı	25	4	10	30			183	0	0	0	0		29		30	0	5	3168	2	5	3162	1	5	3167	1	5	3165	1													5	3457	1	1	943718	5	3507	1	1	104858																																scripts/Craft/Include/Event.lua	
36	Àƒœ≤Ã¿Õ≈	25	4	10	30			183	0	0	0	0		29		20	0	5	2269	1	5	3168	1	5	3164	1	5	3162	1													5	3458	1	1	891290	5	2297	1	1	157286																																scripts/Craft/Include/Event.lua	
38	≈›∂˘”Õ∏‚	13	4	10	30			183	0	0	0	0		17		20	0	5	3168	2	5	3162	1	5	3165	1																5	3461	1	1	943718	5	3510	1	1	104858																																scripts/Craft/Include/Event.lua	
39	πÛ»À‘Áµ„	37	4	10	30	1		183	0	0	0	0		41		60	0	5	3170	1	5	2269	1	5	3169	1	5	2203	4													5	2272	1	1	1048576					0																																scripts/Craft/Include/Event.lua	
