Index	Radius	Angel
1	0	0
2	115	-2.5
3	115	2.5
4	199.27117919921875	2.9904694557189941
5	302.9488525390625	2.815666675567627
6	265.58990478515625	-2.8865687847137451
7	381.00131225585937	3.1389679908752441
8	288.015625	-3.1311764717102051
9	484.11672973632812	3.0110886096954346
10	407	-2.8112952709197998
11	485.5069580078125	-3.0052299499511719
12	232.9742431640625	-2.5547804832458496
13	532.3692626953125	-2.8929693698883057
14	415.23486328125	2.7512476444244385
15	505.97430419921875	2.826092004776001

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
