ID	RoleType	LogicID	Name	Des	IconID	Label
0	0	0	0	0	0	0
0	1	0	默认		6690	
1	1	1	玫瑰花		6668	
2	1	2	小龙虾		6671	
3	1	3	威风		6667	
4	1	4	新绿		6670	
5	1	5	狗皮膏药		6689	
6	1	6	云髯		6688	
7	1	7	鱼骨头		6691	
8	1	8	玄髯		6692	
9	1	9	胡.富贵		6704	
10	1	10	胡.道骨		6711	
11	1	11	胡.八分		6701	
12	1	12	胡.小丘		6713	
13	1	13	胡.勾尾		6705	
14	1	14	胡.落霜		6707	
15	1	15	胡.燕戈		6714	
16	1	16	胡.得道		6702	
17	1	17	胡.仙风		6712	
18	1	18	胡.八分<白>		6703	
19	1	19	殇颜		6709	
20	1	20	横秋		6706	
21	1	21	随风		6710	
22	1	22	绿水		6708	
23	1	23	涎蕊		6886	
24	1	24	中典		6885	
25	1	25	厚腮		6884	
26	1	26	银箍		6887	
27	1	27	白涛调		8087	
28	1	28	天地宽		8097	
29	1	29	一夜霜		8099	
30	1	30	筋斗云		8094	
31	1	31	斜照王门		8098	
32	1	32	风波海		8093	
33	1	33	王虐		8276	200
34	1	34	临岳		8275	200
35	1	35	景侯		8273	200
36	1	36	白日蛇		8272	200
37	1	37	九江骨		8274	200
38	2	0	默认		6690	
39	2	1	玫瑰花		6668	
40	2	2	小龙虾		6671	
41	2	3	鼻环·紫夕		6666	
42	2	4	新绿		6670	
43	2	5	狗皮膏药		6689	
44	2	6	鱼骨头		6691	
45	2	7	殇颜		6709	
46	2	8	横秋		6706	
47	2	9	随风		6710	
48	2	10	绿水		6708	
49	2	11	涎蕊		6886	
50	2	12	花眉		6883	
51	2	13	花沾额		8088	
52	2	14	琉璃碧珠		8095	
53	2	15	清晓封霜		8096	
54	2	16	百叠霜罗		8091	
55	2	17	紫翠香尘		8100	
56	2	18	宝缀裁瑶		8092	
57	2	19	临岳		8275	200
58	2	20	白日蛇		8272	200
59	2	21	景侯		8273	200
60	2	22	九江骨		8274	200
61	2	23	王虐		8276	200
62	5	0	默认		6690	
63	5	1	玫瑰花		6668	
64	5	2	勺·稚气		6669	
65	5	3	小龙虾		6671	
66	5	4	新绿		6670	
67	5	5	狗皮膏药		6689	
68	5	6	鱼骨头		6691	
69	5	7	殇颜		6709	
70	5	8	横秋		6706	
71	5	9	随风		6710	
72	5	10	绿水		6708	
73	5	11	涎蕊		6886	
74	5	12	银箍		6887	
75	5	13	白涛调		8087	
76	5	14	天地宽		8097	
77	5	15	一夜霜		8099	
78	5	16	筋斗云		8094	
79	5	17	斜照王门		8098	
80	5	18	风波海		8093	
81	5	19	王虐		8276	200
82	5	20	临岳		8275	200
83	5	21	景侯		8273	200
84	5	22	白日蛇		8272	200
85	5	23	九江骨		8274	200
86	6	0	默认		6690	
87	6	1	玫瑰花		6668	
88	6	2	勺·稚气		6669	
89	6	3	小龙虾		6671	
90	6	4	鼻环·紫夕		6666	
91	6	5	新绿		6670	
92	6	6	狗皮膏药		6689	
93	6	7	鱼骨头		6691	
94	6	8	殇颜		6709	
95	6	9	横秋		6706	
96	6	10	随风		6710	
97	6	11	绿水		6708	
98	6	12	涎蕊		6886	
99	6	13	花眉		6883	
100	6	14	花沾额		8088	
101	6	15	琉璃碧珠		8095	
102	6	16	清晓封霜		8096	
103	6	17	百叠霜罗		8091	
104	6	18	紫翠香尘		8100	
105	6	19	宝缀裁瑶		8092	
106	6	20	临岳		8275	200
107	6	21	白日蛇		8272	200
108	6	22	景侯		8273	200
109	6	23	九江骨		8274	200
110	6	24	王虐		8276	200

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
