ID	BeginActionID	BeginActionFrame	BuffID	BuffLevel	CanEffectAttribute	MoveSpeed	JumpSpeed	MaxLife	ManaType	MaxMana	HitValue	Dodge	Shield	AttackPower	CriticalStrike	EndActionFrame
1	0	0	7405	1	0	30	0	8360000	1	1000	10000	0	0	0	0	0
2	0	0	7405	1	0	0	0	8360000	1	1000	10000	0	0	0	0	0
3	0	0	7405	1	0	0	0	30400000	1	100	10000	0	0	0	0	42
4	0	0	7405	1	0	15	0	23030000	1	1000	10000	0	0	0	0	45
5	0	0	7405	1	0	0	0	23030000	1	1000	10000	0	0	0	0	45
7	0	0	7405	1	0	0	0	100000	1	420	10000	0	0	0	0	50
8	0	0	7405	1	0	0	0	100000	1	420	10000	0	0	0	0	42
9	0	0	7405	1	0	30	0	8360000	1	1000	10000	0	0	0	0	0
10	0	0	7405	1	0	0	0	8360000	1	1000	10000	0	0	0	0	0
11	0	0	7405	1	0	0	0	30400000	1	100	10000	0	0	0	0	42
12	0	0	7405	1	0	15	0	23030000	1	1000	10000	0	0	0	0	45
13	0	0	7405	1	0	0	0	23030000	1	1000	10000	0	0	0	0	45
14	0	0	7405	1	0	30	0	500000	1	1000	10000	0	0	0	0	0
15	0	0	7405	1	0	0	0	500000	1	1000	10000	0	0	0	0	0
16	0	0	7405	1	0	0	0	2000000	1	100	10000	0	0	0	0	42
17	0	0	0	0	0	15	150	3600	1	100	10000	1500	0	800	2000	0
18	0	0	0	0	0	15	125	8400	1	100	10000	0	1000	500	0	0
19	0	0	0	0	0	20	150	4800	1	100	10000	0	0	600	0	0
20	0	0	10944	1	0	14	100	4200	1	100	10000	0	2000	500	0	0
21	0	0	0	0	0	15	150	4200	1	100	10000	1500	0	800	2000	0
22	0	0	0	0	0	15	125	5600	1	100	10000	0	1000	800	0	0
23	0	0	10944	1	0	14	100	4800	1	100	10000	0	2000	500	0	0
24	0	0	0	0	0	15	125	11200	1	100	10000	0	1000	500	0	0
25	0	0	0	0	0	15	125	6400	1	100	10000	0	1000	800	0	0
26	0	0	0	0	0	18	125	6400	1	100	10000	3000	1000	800	2000	0
27	0	0	10944	1	0	14	100	5400	1	100	10000	0	2000	500	0	0
28	0	0	0	0	0	15	150	5400	1	100	10000	1500	0	800	2000	0
29	0	0	0	0	0	15	125	12600	1	100	10000	0	1000	500	0	0
30	0	0	0	0	0	15	125	7200	1	100	10000	0	1000	800	0	0
31	0	0	0	0	0	20	125	9000	1	100	10000	0	2000	1000	0	0
32	0	0	0	0	0	15	150	6000	1	100	10000	1500	0	800	2000	0
33	0	0	0	0	0	18	125	8000	1	100	10000	3000	1000	800	2000	0
34	0	0	0	0	0	22	100	8000	1	100	10000	3000	1000	800	2000	0
35	0	0	0	0	0	15	150	10000	1	100	10000	0	5000	600	0	0
36	0	0	0	0	0	20	125	10000	1	100	10000	0	2000	1000	0	0

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
