Name(此项不读)	ID	IsLoop	Range	AnimationID	ScriptFuncName
	0	0	0	0	
对话	1	0	384	0	OnDialogue
刷新动作表现标记	10000	0	0	10000	
死亡1	10001	0	0	10001	
死亡2	10002	0	0	10002	
死亡3	10003	0	0	10003	
复活1	10005	0	0	10005	
复活2	10006	0	0	10006	
复活3	10007	0	0	10007	
复活4	10008	0	0	10008	
行走1	10009	0	0	10009	
行走2	10010	0	0	10010	
行走3	10011	0	0	10011	
行走4	10012	0	0	10012	
跑步1	10013	0	0	10013	
跑步2	10014	0	0	10014	
跑步3	10015	0	0	10015	
跑步4	10016	0	0	10016	
普通待机1	10030	0	0	10030	
普通待机2	10031	0	0	10031	
普通待机3	10032	0	0	10032	
普通待机4	10033	0	0	10033	
普通待机5	10034	0	0	10034	
普通待机6	10035	0	0	10035	
特殊待机	10044	0	0	10044	
战斗待机1	10047	0	0	10047	
战斗待机2	10048	0	0	10048	
战斗待机3	10049	0	0	10049	
战斗待机4	10050	0	0	10050	
战斗攻击20	10051	0	0	10051	
战斗攻击21	10052	0	0	10052	
战斗攻击22	10053	0	0	10053	
战斗攻击1	10054	0	0	10054	
战斗攻击2	10055	0	0	10055	
战斗攻击3	10056	0	0	10056	
战斗攻击4	10057	0	0	10057	
战斗攻击5	10058	0	0	10058	
战斗攻击6	10059	0	0	10059	
战斗攻击7	10060	0	0	10060	
战斗攻击8	10061	0	0	10061	
战斗攻击9	10062	0	0	10062	
战斗攻击10	10063	0	0	10063	
战斗攻击11	10064	0	0	10064	
战斗攻击12	10065	0	0	10065	
战斗攻击13	10066	0	0	10066	
战斗攻击14	10067	0	0	10067	
战斗攻击15	10068	0	0	10068	
战斗攻击16	10069	0	0	10069	
战斗攻击17	10070	0	0	10070	
战斗攻击18	10071	0	0	10071	
战斗攻击19	10072	0	0	10072	
被击1	10073	0	0	10073	
被击2	10074	0	0	10074	
被击3	10075	0	0	10075	
被击4	10076	0	0	10076	
被击飞1	10080	0	0	10080	
被击飞2	10081	0	0	10081	
被击飞3	10082	0	0	10082	
被击飞4	10083	0	0	10083	
主角站立引导b	10102	0	0	10102	
主角站立引导c	10103	0	0	10103	
召唤马表情	10107	0	0	10107	
传功起	10110	0	0	10110	
表情动作1	10150	0	0	10150	
表情动作2	10151	0	0	10151	
表情动作3	10152	0	0	10152	
表情动作4	10153	0	0	10153	
表情动作5	10154	0	0	10154	
表情动作6	10155	0	0	10155	
表情动作7	10156	0	0	10156	
表情动作8	10157	0	0	10157	
表情动作9	10158	0	0	10158	
表情动作10	10159	0	0	10159	
表情动作11	10160	0	0	10160	
表情动作12	10161	0	0	10161	
表情动作 坐凳子	10164	0	0	10164	
表情动作 吃东西	10165	0	0	10165	
表情动作 打拳1	10179	0	0	10179	
表情动作 打拳2	10180	0	0	10180	
表情动作 打拳3	10181	0	0	10181	
击鼓	10184	0	0	10184	
放风筝	10185	0	0	10185	
倒酒	10186	0	0	10186	
蓄力	10188	0	0	10188	
释放	10189	0	0	10189	
特殊动作1	10190	0	0	10190	
特殊动作2	10191	0	0	10191	
特殊动作3	10192	0	0	10192	
特殊动作4	10193	0	0	10193	
特殊动作5	10194	0	0	10194	
特殊动作6	10195	0	0	10195	
特殊动作7	10196	0	0	10196	
特殊动作8	10197	0	0	10197	
特殊动作9	10198	0	0	10198	
特殊动作10	10199	0	0	10199	
主角拾取1	10200	0	0	10200	
主角拾取2	10201	0	0	10201	
技能释放1	10310	0	0	10310	
技能释放2	10311	0	0	10311	
技能释放3	10312	0	0	10312	
技能释放4	10313	0	0	10313	
握针	10314	0	0	10314	
彼针施放	10318	0	0	10318	
浮花浪蕊施放	10330	0	0	10330	
商阳指	10323	0	0	10323	
主角动作334	10334	0	0	10334	
主角动作338	10338	0	0	10338	
主角动作343	10343	0	0	10343	
主角大哭	10357	0	0	10357	
主角大笑	10358	0	0	10358	
龙牙	10455	0	0	10455	
沧月	10473	0	0	10473	
天策特殊武器	10479	0	0	10479	
剑主天地	10501	0	0	10501	
剑转流云	10504	0	0	10504	
跳珠憾玉	10509	0	0	10509	
左旋右转	10510	0	0	10510	
恒河劫沙	10514	0	0	10514	
雷霆震怒	10517	0	0	10517	
抢珠式	10522	0	0	10522	
心鼓弦1	10530	0	0	10530	
心鼓弦2	10531	0	0	10531	
妙舞1	10542	0	0	10542	
妙舞2	10543	0	0	10543	
无我无剑	10606	0	0	10606	
大道无术	10607	0	0	10607	
两仪化形	10610	0	0	10610	
八卦洞玄	10618	0	0	10618	
凝神聚气	10637	0	0	10637	
醉月	10725	0	0	10725	
用以打断鹤归孤山和风来吴山的动作	10741	0	0	10741	
踏雪寻梅	10745	0	0	10745	
藏剑特殊武器动作1	10749	0	0	10749	
藏剑特殊武器动作2	10750	0	0	10750	
千丝	10806	0	0	10806	
灵蛇引	10817	0	0	10817	
圣手织天	10865	0	0	10865	
情人节阵法	10873	0	0	10873	
主角喝药	10902	0	0	10902	
主角烹饪	10906	0	0	10906	
主角请客	10907	0	0	10907	
主角送礼	10908	0	0	10908	
吃东西	10911	0	0	10911	
主角敲棍子动作-单次	10920	0	0	10920	
表情动作_猜拳布	10923	0	0	10923	
表情动作_猜拳剪刀	10924	0	0	10924	
表情动作_猜拳石头	10925	0	0	10925	
表情动作_如来神掌	10927	0	0	10927	
表情动作_演奏	10931	0	0	10931	
任务动作_打井水	10932	0	0	10932	
任务动作_洗衣服	10933	0	0	10933	
主角抄录动作	10934	0	0	10934	
表情动作_表白	10935	0	0	10935	
表情动作_惩罚	10936	0	0	10936	
表情动作_调戏	10937	0	0	10937	
表情动作_耳光	10938	0	0	10938	
表情动作_高兴	10939	0	0	10939	
表情动作_害羞	10940	0	0	10940	
表情动作_亲吻	10941	0	0	10941	
表情动作_口哨	10942	0	0	10942	
表情动作_撒娇	10946	0	0	10946	
表情动作_生气	10947	0	0	10947	
表情动作_思考	10948	0	0	10948	
表情动作_踢	10949	0	0	10949	
表情动作_挑衅	10950	0	0	10950	
表情动作_上香	10951	0	0	10951	
表情动作_推倒	10954	0	0	10954	
表情动作_吃糖葫芦	10958	0	0	10958	
表情动作_弹弓	10959	0	0	10959	
表情动作_扭秧歌	10960	0	0	10960	
表情动作_敲锣鼓弹琵琶	10962	0	0	10962	
表情动作_吹叶子	10963	0	0	10963	
表情动作_拿扇子	10964	0	0	10964	
表情动作_吹笛子有声	10965	0	0	10965	
用于打断表情动作的待机动作	10966	0	0	10966	
表情动作_说话01	10968	0	0	10968	
表情动作_说话02	10969	0	0	10969	
挥旗	10978	0	0	10978	
解结	10979	0	0	10979	
龙门荒漠任务用甩鞭子动作	11005	0	0	11005	
天策演武动作	11011	0	0	11011	
纯阳演武动作	11012	0	0	11012	
万花演武动作	11013	0	0	11013	
少林或七秀演武动作	11014	0	0	11014	
道具用抛物线投掷动作	11032	0	0	11032	
孔雀翎	11102	0	0	11102	
迷神钉	11104	0	0	11104	
唐门特殊武器回收用	11164	0	0	11164	
唐门八相连弩操作	11166	0	0	11166	
主角吃月饼动作	11307	0	0	11307	
主角开伞动作_D001003	11314	0	0	11314	
主角收伞动作_D001003	11315	0	0	11315	
主角开伞动作_D001003b	11317	0	0	11317	
主角收伞动作_D001003b	11318	0	0	11318	
主角开伞动作_D001003c	11319	0	0	11319	
