GradeID	VersionDate	RegressionDaily	FreeLimit	KungFu	ItemType1	ItemIndex1	ItemStackNum1	ItemType2	ItemIndex2	ItemStackNum2	ItemType3	ItemIndex3	ItemStackNum3	ItemType4	ItemIndex4	ItemStackNum4	ItemType5	ItemIndex5	ItemStackNum5	ItemType6	ItemIndex6	ItemStackNum6	ItemType7	ItemIndex7	ItemStackNum7	ItemType8	ItemIndex8	ItemStackNum8
0	0	2	0	0	5	6714	2	8	4022	1	5	16953	1	8	4006	1												
0	0	2	0	10002	5	6714	2	8	4022	1	6	5447	1	8	4006	1												
0	0	2	0	10003	5	6714	2	8	4022	1	6	5446	1	8	4006	1												
0	0	2	0	10021	5	6714	2	8	4022	1	6	5444	1	8	4006	1												
0	0	2	0	10028	5	6714	2	8	4022	1	6	5445	1	8	4006	1												
0	0	2	0	10026	5	6714	2	8	4022	1	6	5450	1	8	4006	1												
0	0	2	0	10062	5	6714	2	8	4022	1	6	5451	1	8	4006	1												
0	0	2	0	10014	5	6714	2	8	4022	1	6	5448	1	8	4006	1												
0	0	2	0	10015	5	6714	2	8	4022	1	6	5449	1	8	4006	1												
0	0	2	0	10080	5	6714	2	8	4022	1	6	5453	1	8	4006	1												
0	0	2	0	10081	5	6714	2	8	4022	1	6	5452	1	8	4006	1												
0	0	2	0	10175	5	6714	2	8	4022	1	6	5458	1	8	4006	1												
0	0	2	0	10176	5	6714	2	8	4022	1	6	5459	1	8	4006	1												
0	0	2	0	10224	5	6714	2	8	4022	1	6	5457	1	8	4006	1												
0	0	2	0	10225	5	6714	2	8	4022	1	6	5456	1	8	4006	1												
0	0	2	0	10144	8	4022	1	6	5454	1	6	5455	1	8	4006	1												
0	0	2	0	10145	8	4022	1	6	5454	1	6	5455	1	8	4006	1												
0	0	2	0	10242	5	6714	2	8	4022	1	6	6120	1	8	4006	1												
0	0	2	0	10243	5	6714	2	8	4022	1	6	6121	1	8	4006	1												
0	0	2	0	10268	5	6714	2	8	4022	1	6	6953	1	8	4006	1												
