GroupID	NpcTemplateID	MaxCount	PlayerDiff	RandomDiff	Daily	ScriptName	Quest1	Quest2	Quest3	Quest4	Quest5	Quest6	Quest7	Quest8	Quest9	Quest10	Quest11	Quest12	Quest13	Quest14	Quest15	Quest16	Quest17	Quest18	Quest19	Quest20	Quest21	Quest22	Quest23	Quest24	Quest25	Quest26	Quest27	Quest28	Quest29	Quest30	Quest31	Quest32	PrepGroupID	PrepGroupCount
1	869	1	0	0	1		0	0	0	0	0	0																												
2	869	1	0	0	1		7272	7273	7275	7276	7277																													
3	7731	1	0	0	1		6465	6466	6467																															
4	7744	1	0	0	1		6456	6457																																
8	10729	1	0	0	1		6459	6460	6461																															
10	10252	1	0	0	0		6777	6778	6779	6780	6781	6783																												
11	869	1	0	0	1		8427	8428	8429	8430	8431																													
12	109	1	0	0	1		4494																																	
13	109	1	0	0	1		4629																																	
14	109	1	0	0	1		4630																																	
15	571	1	0	0	1		4491																																	
16	571	1	0	0	1		4647																																	
17	571	1	0	0	1		4648																																	
18	768	1	0	0	1		4506																																	
19	768	1	0	0	1		4653																																	
20	768	1	0	0	1		4654																																	
21	869	1	0	0	1		0																																	
22	869	1	0	0	1		0																																	
23	869	1	0	0	1		0																																	
24	869	1	0	0	1		0																																	
25	869	1	0	0	1		0																																	
26	869	1	0	0	1		0																																	
27	869	1	0	0	1		0																																	
28	869	1	0	0	1		0																																	
29	869	1	0	0	1		0																																	
30	869	1	0	0	1		0																																	
31	876	1	0	0	1		4198																																	
32	876	1	0	0	1		5645																																	
33	1365	1	0	0	1		4237																																	
34	1365	1	0	0	1		4239																																	
35	1365	1	0	0	1		5655																																	
36	1365	1	0	0	1		5657																																	
37	1399	1	0	0	1		4236																																	
38	1399	1	0	0	1		4238																																	
39	1399	1	0	0	1		5654																																	
40	1399	1	0	0	1		5656																																	
41	1570	1	0	0	1		4212																																	
42	1570	1	0	0	1		4213																																	
43	1570	1	0	0	1		4214																																	
44	1570	1	0	0	1		4215																																	
45	1581	1	0	0	1		4192																																	
46	1581	1	0	0	1		4195																																	
47	1581	1	0	0	1		5650																																	
48	1581	1	0	0	1		5653																																	
49	1594	1	0	0	1		4193																																	
50	1594	1	0	0	1		4194																																	
51	1594	1	0	0	1		5651																																	
52	1594	1	0	0	1		5652																																	
53	1595	1	0	0	1		4225																																	
54	1596	1	0	0	1		4203																																	
55	1596	1	0	0	1		4206																																	
56	1596	1	0	0	1		5646																																	
57	1596	1	0	0	1		5648																																	
58	1600	1	0	0	1		4205																																	
59	1600	1	0	0	1		4296																																	
60	1600	1	0	0	1		5647																																	
61	1600	1	0	0	1		5649																																	
62	1627	1	0	0	1		4226																																	
63	1701	1	0	0	1		4227																																	
64	1701	1	0	0	1		4228																																	
65	1737	1	0	0	1		4199																																	
66	1737	1	0	0	1		4200																																	
67	1737	1	0	0	1		4201																																	
68	1737	1	0	0	1		5642																																	
69	1737	1	0	0	1		5643																																	
70	1737	1	0	0	1		5644																																	
71	2209	1	0	0	1		5567																																	
72	2576	1	0	0	1		2932																																	
73	2576	1	0	0	1		4627																																	
74	2576	1	0	0	1		4628																																	
75	2638	1	0	0	1		4508																																	
76	2638	1	0	0	1		4650																																	
77	2638	1	0	0	1		4651																																	
78	3485	1	0	0	1		4665																																	
79	3485	1	0	0	1		4666																																	
80	3485	1	0	0	1		4667																																	
81	3485	1	0	0	1		4671																																	
82	3485	1	0	0	1		4795																																	
83	3640	1	0	0	1		4669																																	
84	3640	1	0	0	1		4670																																	
85	3640	1	0	0	1		4672																																	
86	3640	1	0	0	1		4673																																	
87	3640	1	0	0	1		4794																																	
88	3716	1	0	0	1		4661																																	
89	3716	1	0	0	1		4662																																	
90	3716	1	0	0	1		4663																																	
91	3716	1	0	0	1		4664																																	
92	3716	1	0	0	1		4796																																	
93	3804	1	0	0	1		0																																	
94	4519	1	0	0	1		2303																																	
95	5709	1	0	0	1		2309																																	
96	5709	1	0	0	1		2311																																	
97	5709	1	0	0	1		2350																																	
98	6271	1	0	0	0		4591																																	
99	6271	1	0	0	0		4592																																	
100	6271	1	0	0	0		4593																																	
101	6271	1	0	0	0		4594																																	
102	6271	1	0	0	0		0																																	
103	6271	1	0	0	0		0																																	
