ID	Name	DisplayName	Perform	Broadcast	MaxLootRange	bCanPK	bCanDuel	Type	MaxCopyCount	FarmerMaxCopyCount	MinPlayerCount	MaxPlayerCount	MaxFullLevelPlayerCount	MaxFarmerCount	KeepTime	ManualReset	RefreshCycle	RefreshOffset	MapDrop	ReviveInSitu	UseLastEntry	LimitTimes	BanSkillMask	BattleRelationMask	RevieCycle	AllScenePlayerInFight	ResourcePath	LoginIntervalTime	PreQueuePlayerCount	DoNotGoThroughRoof	QuestCountAchID	CampType	FightList	NeedCampBuff	MaxMapLevel	bCanTongWar	CanJoinBattleField	BanUseItemMask	CanJoinArena	IsArenaMap	NewCampFight	CanJoinTongBattlefield	MapCostThew	InvalidBuffMask	SingleMap	BanChangeTalent	CanSprint	DisableChangeEquip	DisableTalk	QueueForSwitchWhenFull	CampQueue	MaxNeutralPlayerCount	MaxGoodPlayerCount	MaxEvilPlayerCount	InvalidEnchantMask	ForceCheckProgress	IsTongWarMap
1	稻香村	稻香村	100	1	2	0	0	3	64		1	120			10	0	0	0	15	1	0	0	0	0	0	0	data\source\maps\稻香村\稻香村.map	20	50	0	375	1	0	0	0	0	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0	
2	万花	万花	100	1	2	1	1	0	1		1	1800	1500		10	0	0	0	10	1	0	0	0	0	0	0	data\source\maps\万花\万花.map	0	0	0	378	1	0	0		0	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0	
3	测试1	测试1	100	2	4	1	1	0	1		1	16			10	1	0	0		1	1	5	0	0	0	0	data\source\maps\测试\测试1.Map	0	0	0		5	0	0		0	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0	
5	少林	少林	100	1	2	1	1	0	1		1	1800	1500		10	0	0	0	7	1	0	0	0	0	0	0	data\source\maps\少林\少林.map	0	0	0	376	1	0	0		0	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0	
6	扬州	扬州	100	1	2	0	1	0	1		1	1200			10	0	0	0	3	1	0	0	16	0	0	0	data\source\maps\扬州\扬州.map	0	0	0	384	1	0	0		0	1	0	1	0	0	1		16	0	0	1			1	0	0	0	0	2	0	
7	纯阳	纯阳	100	1	2	1	1	0	1		1	1800	1500		10	0	0	0	5	1	0	0	0	0	0	0	data\source\maps\纯阳\纯阳.map	0	0	0	377	1	0	0		0	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0	
8	洛阳	洛阳	100	1	2	0	1	0	1		1	1500			10	0	0	0	3	1	0	0	16	0	0	0	data\source\maps\洛阳\洛阳.map	0	0	0	786	1	0	0		0	1	0	1	0	0	1		16	0	0	1			1	0	0	0	0	2	0	
9	洛道	洛道	100	1	2	1	1	0	1		1	1800			10	0	0	0		1	0	0	0	0	0	0	data\source\maps\洛道\洛道.map	0	0	0	386	4	0	0		1	0	0	0	0	1	0		0	0	0	1			1	0	0	0	0	2	0	
10	寇岛	寇岛	100	4	4	1	1	0	1		1	1024			10	0	0	0	12	1	0	0	0	0	0	0	data\source\maps\寇岛\寇岛.map	0	0	0	387	4	0	0		1	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0	
11	天策	天策	100	1	2	1	1	0	1		1	1800	1500		10	0	0	0	9	1	0	0	0	0	0	0	data\source\maps\天策\天策.map	0	0	0	380	1	0	0		0	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0	
