ID	AnnounceType	CoolDownID	OwnDuration	BuffID	BuffLevel	Type	TitleID
1	1						
2	1						
3	1						
4	1						
5	1						
6	1						
7	1						
8	1						
9	1						
10	1						
11	1						
12	1						
13	1						
14	1						
15	1						
16	1						
17	1						
18	1						
19	1						
20	1						
21	1						
22	1						
23	1						
24	1						
25	1						
26	1						
27	1						
28	1						
29	1						
30	1						
31	1						
32	1						
33	1						
34	1						
35	1						
36	1						
37	1						
38	1						
39	1						
40	1						
41	1						
42	1						
43	1						
44	1						
45	1						
46	1						
47	1						
48	1						
49	1						
50	1						
51	1						
52	1						
53	1						
54	1						
55	1						
56	1						
57	1						
58	1						
59	1						
60	1						
61	1						
62	1						
63	1						
64	1						
65	1						
66	1						
67	1						
68	1						
69	1						
70	1						
71	1						
72	1						
73	1						
74	1						
75	1						
76	1						
77	1						
78	1						
79	1						
80	1						
81	3	380	2592000			1	
82	3	380	2592000			1	
83	3	380	604800	2125	14	2	
84	3	380	604800	2125	13	2	
85	1	380	604800	2125	12	2	
86	1	380	604800	2125	11	2	
87	1	380	604800	2125	10	2	
88	1	380	604800	2125	9	2	
89	1	380	604800	2125	8	2	
90	1	380	604800			2	
91	1	380	604800			2	
92	1	380	604800			2	
93	1	380	604800			2	
94	1	380	604800			2	
95	1	380	604800			2	
96	1	380	604800			2	
97	3	380	604800	2125	14	2	
98	3	380	604800	2125	13	2	
99	1	380	604800	2125	12	2	
100	1	380	604800	2125	11	2	
101	1	380	604800	2125	10	2	
102	1	380	604800	2125	9	2	
103	1	380	604800	2125	8	2	
104	1	380	604800			2	
105	1	380	604800			2	
106	1	380	604800			2	
107	1	380	604800			2	
108	1	380	604800			2	
109	1	380	604800			2	
110	1	380	604800			2	
111	1		5184000			1	
112	1		5184000			1	
113	1		5184000			1	
114	1		5184000			1	
115	1		5184000			1	
116	1		1296000			1	
117	1		604800			1	
118	1					1	
119	1		2678400	2474	1	1	
120	1	419		2620	1	1	
121	1						
122	1	380	2419200			1	
123	1	380	2419200	2744	1	1	
124	1						
125	1						
126	1						
127	1						
128	1						
129	1						
130	1						
131	1						
132	1						
133	1						
134	1						
135	1						
136	1						
137	1						
138	1	380	86400			1	
139	1			3069	1	1	
140	1		2592000	3063	1	1	
141	1		2592000	3064	1	1	
142	1		2592000	3065	1	1	
143	1	380					
144	1	380					
145	1			3357	1	1	
146	1			3358	1	1	
147	1						
148	1						
149	1						
150	1						
151	1						
152	1						
153	1						
154	1						
155	1						
156	1						
157	1						
158	1						
159	1						
160	1						
161	1						
162	1						
163	1	380	604800	3874	1	1	
164	1	380	604800			1	
165	1	380	604800			1	
166	1	380	604800			1	
167	1	380	86400			1	
168	1					1	
169	1						
170	1						
171	1						
172	1						
173	1						
174	1						
175	1						
176	1						
177	1						
178	1		604800			1	
179	1		604800			1	
180	1						
181	1						
182	1						
183	1					1	
184	1		2592000			1	
185	1	380	604800	4843	3	1	
186	1	380	604800	4843	2	1	
187	1	380	604800	4843	1	1	
188	1	380				1	
189	1					1	
190	1		1209600			1	
191	1		1209600			1	
192	1		1209600			1	
193	1		1209600			1	
194	1		1209600			1	
195	1	380	2592000			1	
196	1	380	2592000			1	
197	1						
198	1						
199	1						
200	1						
201	1						
202	1						
203	1						
204	1						
205	1						
206	1						
207	1						
208	1						
209	1					1	
210	1					1	
211	1						
212	1						
213	1						
214	1						
215	1						
216	1						
217	1					1	
218	1	380		7785	1	1	1
219	1	380		7785	2	1	2
220	1	380		7785	2	1	3
221	1	380		7785	2	1	4
222	1	380		7785	2	1	5
223	1	380		7785	2	1	6
224	1	380		7785	2	1	7
225	1	380		7785	3	1	8
226	1	380		7785	3	1	9
227	1	380		7785	3	1	10
228	1	380		7785	3	1	11
229	1	380		7785	3	1	12
230	1	380		7785	3	1	13
231	1	380		7785	3	1	14
232	1	380		7785	3	1	15
233	1	380		7785	3	1	16
234	1	380		7785	3	1	17
235	1	380		7785	3	1	18
236	1	380		7785	3	1	19
237	1	380		7785	2	1	20
238	1	380		7785	2	1	21
239	1	380		7785	2	1	22
240	1	380		7785	2	1	23
241	1	380		7785	2	1	24
242	1	380		7785	2	1	25
243	1	380		7785	1	1	26
244	3	380	7776000			1	
245	3	380	7776000			1	
246	3	380	7776000			1	
247	3	380	7776000			1	
248	3	380	7776000			1	
249	3	380	7776000			1	
250	1		604800				
251	1		604800				
252	1		604800				
253	1		604800				
254	1		604800				
255	1		2592000				
256	1		2592000				
257	1		2592000				
258	1		2592000				
259	1		2592000				
260	1		7776000				
261	1		7776000				
262	1		7776000				
263	1		7776000				
264	1		7776000				
265	1					1	
266	1						
267	1						
268	1						
269	1						
270	1					1	
271	1					1	
272	1					1	
273	1					1	
274	1					1	
275	1					1	
276	1					1	
277	0					1	
278	0					1	
279	0					1	
