QuestID	MinLevel	MaxLevel
11809	15	23
5346	20	28
7288	20	28
2212	21	29
11837	22	30
2693	23	31
489	23	31
3031	24	32
3023	25	33
2099	25	33
11830	30	38
2565	37	45
2974	37	45
1395	39	47
1396	39	47
1402	39	47
2584	42	50
4107	37	48
11833	43	51
11834	43	51
11838	45	53
11835	55	63
3643	55	63
3546	55	63
3919	61	69
651	61	69
771	62	70
900	62	70
943	62	70
51	64	72
752	64	72
7138	67	75
7139	68	76
6994	69	77
6506	69	77
7144	70	78
7142	73	81
7145	74	82
9620	77	85
9548	77	85
10239	77	85
10612	78	86
11836	78	86
11153	82	90
12689	25	33
14385	25	30
13845	90	95
13853	90	95
14101	90	95
14201	90	95
14032	90	95
14054	90	95
14692	90	95
14569	90	95
15862	24	32

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
