ID	ItemTabType	ItemTabIndex	RewardsPrice	CoinPrice	StartTime	EndTime	Discount	DisStartTime	DisEndTime	CanBuyMultiple	CanFreeTryOn	CanPreview	GlobalCounterID	CoolDownID	ForbidPeerPay	ForbidDisCoupon	GameWorldStartDuration	CustomType	IsReal	SecondDiscount	SecondDisStartTime	SecondDisEndTime	SecondDisFatherID	PreOrderID
0	0	0	-1	-1	-1	-1	100	-1	-1	0	0	1	0		0	0	0	-1	0	100	-1	-1	0	
1	8	4024	500	9000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
2	8	4031	800	15000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
3	8	4036	1500	28000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
4	5	6215	800	15000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
5	5	6218	1800	36000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
6	8	7052	1800	36000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
7	8	2019	500	9000	-1	-1	100	-1	-1	0	1		0				0	-1	0	100	-1	-1	0	
8	8	2021	500	9000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
9	8	2018	800	15000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
10	8	2020	800	15000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
11	8	17615	300	6000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
12	8	17614	300	6000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
13	8	17613	300	6000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
14	8	17616	800	15000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
15	8	17580	800	15000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
16	8	552	1500	28000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
17	8	7055	1500	28000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
18	8	7059	1500	28000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
19	8	2624	500	9000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
20	8	2625	500	9000	-1	-1	100	-1	-1	0	1		0				0	-1	0	100	-1	-1	0	
21	8	2626	500	9000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
22	8	2627	500	9000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
23	8	2628	500	9000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
24	8	2629	500	9000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
25	8	2630	500	9000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
26	8	2631	500	9000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
27	8	2632	500	9000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
28	8	105	800	15000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
29	8	554	1500	28000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
30	5	10311	900	18000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
31	8	7061	1500	28000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
32	8	4251	500	9000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
33	5	10797	1800	36000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
34	8	4768	500	9000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
35	8	4767	800	15000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
36	8	7062	1500	28000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
37	8	4827	500	9000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
38	8	17632	300	6000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
39	8	17633	300	6000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
40	8	17634	300	6000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
41	8	7067	1800	36000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
42	8	5343	800	15000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
43	8	7063	1500	28000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
44	8	7064	1500	28000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
45	8	7065	1500	28000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
46	8	7066	1800	36000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
47	8	5581	800	15000	-1	-1	100	-1	-1	0	1		0				0	-1	0	100	-1	-1	0	
48	8	17639	300	6000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
49	8	17640	300	6000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
50	8	17641	300	6000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
51	8	2834	500	9000	-1	-1	100	-1	-1	0	0	0	0				0	-1	0	100	-1	-1	0	
52	8	5847	800	15000	-1	-1	100	-1	-1	0	1		0				0	-1	0	100	-1	-1	0	
53	8	7060	1800	36000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
54	8	7068	1800	36000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
55	8	4030	800	15000	-1	-1	100	-1	-1	0	1		0				0	-1	0	100	-1	-1	0	
56	8	4029	800	15000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
57	8	4028	500	9000	-1	-1	100	-1	-1	0	1		0				0	-1	0	100	-1	-1	0	
58	8	8008	800	15000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
59	8	8007	1800	36000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
60	8	6975	1800	36000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
61	8	6976	500	9000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
62	8	5253	800	15000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
63	8	8389	800	15000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
64	8	8387	800	15000	-1	-1	100	-1	-1	0	1		0				0	-1	0	100	-1	-1	0	
65	8	8388	800	15000	-1	-1	100	-1	-1	0	1		0				0	-1	0	100	-1	-1	0	
66	8	17650	800	15000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
67	8	17649	800	15000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
68	5	18625	5	100	-1	-1	100	-1	-1	1	0	0	0				0	-1	0	100	-1	-1	0	
69	8	7056	1800	36000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
70	5	18395	180	3000	-1	-1	100	-1	-1	0	0	0	0				0	-1	0	100	-1	-1	0	
71	8	8005	1800	36000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
72	8	8001	1800	36000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
73	8	8000	1800	36000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
74	8	566	1500	28000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
75	8	5437	800	15000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
76	8	4826	800	15000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
77	8	5600	800	15000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
78	8	5598	800	15000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
79	8	17648	300	6000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
80	8	17647	300	6000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
81	8	17646	300	6000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
82	8	4772	800	15000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
83	8	3878	800	15000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
84	8	5599	800	15000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
85	8	5597	800	15000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
86	8	17652	800	15000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
87	8	17653	800	15000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
88	8	17658	800	15000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
89	8	8385	1800	36000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
90	8	7053	1500	28000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
91	8	7054	1500	28000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
92	8	229	800	15000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
93	8	7069	1800	36000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
94	8	10435	800	15000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
95	8	5582	800	15000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	0
96	8	17659	800	15000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
97	8	10948	500	9000	-1	-1	100	-1	-1	0	1		0				0	-1	0	100	-1	-1	0	
98	8	10182	800	15000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
99	8	5846	800	15000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	0
100	8	6973	1500	28000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
101	8	567	1500	28000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
102	8	10189	1800	36000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
103	8	10962	800	15000	-1	-1	100	-1	-1	0	1		0				0	-1	0	100	-1	-1	0	
104	8	6915	800	15000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	0
105	5	11793	-1	18000	1386831600	1387177200	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
106	5	21020	-1	18000	1386831600	1387177200	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
107	5	21021	-1	18000	1386831600	1387177200	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
108	5	21022	-1	18000	1386831600	1387177200	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
109	5	21023	-1	81000	1386831600	1387177200	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
110	5	21024	-1	105000	1386831600	1387177200	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
111	8	11006	3500	68800	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
112	8	11007	3500	68800	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
113	8	11008	3500	68800	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
114	8	17672	300	6000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
115	8	17669	300	6000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
116	8	17666	300	6000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
117	8	17670	300	6000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
118	8	17671	300	6000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
119	8	17667	300	6000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
120	8	17668	300	6000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
121	8	17664	300	6000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
122	8	17665	300	6000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
123	8	568	1500	28000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
124	8	10433	500	9000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
125	8	8004	800	15000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	0
126	8	10434	800	15000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
127	8	11113	1800	36000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
128	8	11344	1800	36000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0	
