Type	ValueMin	ValueMax
0	-70	32
1	-51	45
2	-93	67
3	-105	97
4	-128	126
5	-59	126
6	-72	25
7	-74	125
8	-128	93
9	-47	26
10	-29	84
11	-53	48
12	-124	91
13	-118	20
14	-128	50
15	-92	46
16	-51	103
17	-123	126
18	-128	126
19	-6	56
20	-10	59
21	-65	27
22	-10	10
23	-29	46
24	-44	71
25	-54	23
26	-69	40
27	-54	40
28	-89	22
29	-61	22
30	-96	48
31	-88	82
32	-19	19
33	-19	19
34	-66	40
35	-54	11
36	-16	36
37	-51	24
38	-17	21
39	-16	44
40	-10	18
41	-25	60
42	-39	40
43	-29	126
44	-29	18
45	-53	45
46	-44	41
47	-86	56
48	-39	20

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
