Type	ValueMin	ValueMax
0	-128	116
1	-15	33
2	-128	126
3	-112	67
4	-107	126
5	-128	126
6	-119	57
7	-36	126
8	-128	126
9	-39	21
10	-105	38
11	-69	126
12	-92	105
13	-128	20
14	-128	20
15	-66	33
16	-67	126
17	-128	127
18	-128	126
19	-76	55
20	-23	13
21	-27	55
22	-10	10
23	-20	20
24	-78	10
25	-32	56
26	-69	10
27	-39	97
28	-36	21
29	-6	25
30	-32	25
31	-29	89
32	-22	22
33	-22	22
34	-128	10
35	-46	15
36	-25	18
37	-42	32
38	-5	40
39	-28	32
40	-85	126
41	-61	90
42	-78	41
43	-96	18
44	-53	15
45	-10	95
46	-28	87
47	-128	65
48	-63	49

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
