RecipeName	BelongSchool	DesignLevel	RecipeExplain	RecipeID	RecipeLevel	Type	IsSystemRecipe	IsEquipmentRecipe	SkillRecipeType	SkillType	SkillID	SkillLevel	PrepareFramesAdd	PrepareFramesPercent	CoolDownAdd1	CoolDownAdd2	CoolDownAdd3	MinRadiusAdd	MaxRadiusAdd	CostLifeAddPercent	CostManaAddPercent	CostRageAdd	CostEnergyAdd	CostStaminaAdd	CostTrainAdd	DamageAddPercent	ScriptFile
Default	测试	1		0	1	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0		0	0	0	
Test	测试	1		1	1	0	0			0	55	0	10	2048	-240	-16	0	0	0	0	0	0		0		0	
少林场景_普渡四方-学做招式任务	测试	1	减CD 减内力消耗	2	1	2	1			0	232	0	0	1024	-48	0	0	0	0	0	-1024	0		0		0	少林\秘笈\少林练武任务_普渡四方.lua
少林场景_捕风式-学做招式任务	测试	1	减CD 减内力消耗	3	1	2	1			0	238	0	0	1024	-96	0	0	0	0	0	-1024	0		0		0	少林\秘笈\少林练武任务_捕风式.lua
少林场景_横扫六合-学做招式任务	测试	1	减CD 减内力消耗	4	1	2	1			0	235	0	0	1024	-192	0	0	0	0	0	-1024	0		0		0	少林\秘笈\少林练武任务_横扫六合.lua
稻香村场景_回风扫叶_教学任务	测试	1	调用脚本	5	1	2	1			0	49	0	0		0	0	0	0	0	0	0						江湖\秘笈\回风扫叶_教学.lua
稻香村场景_猛虎下山_教学任务	测试	1	调用脚本	6	1	2	1			0	58	0	0		0	0	0	0	0	0	0						江湖\秘笈\猛虎下山_教学.lua
七秀场景_剑主天地	测试	1	调用脚本	7	1	2	1			0	562	0	0		0	0	0	0	0	0	0	0		0		0	七秀\秘笈\教学_剑主天地.lua
天策场景_龙牙	测试	1	调用脚本	8	1	2	1			0	415	0	0		0	0	0	0	0	0	0	0		0		0	天策\秘笈\教学_龙牙.lua
天策场景_龙吟	测试	1	调用脚本	9	1	2	1			0	403	0	0		0	0	0	0	0	0	0	0		0		0	天策\秘笈\教学_龙吟.lua
《坐忘经·返本归元》注解残页	纯阳	1	减少消耗	10	1	0					356										-205						
《坐忘经·返本归元》注解断篇	纯阳	2	减少消耗	11	1	0					356										-205						
《坐忘经·返本归元》注解绝章	纯阳	3	减少消耗	12	1	0					356										-205						
《坐忘经·返本归元》真传残页	纯阳	1	增加技能距离	13	1	0					356								128								
《坐忘经·返本归元》真传断篇	纯阳	2	增加技能距离	14	1	0					356								128								
《坐忘经·返本归元》真传绝章	纯阳	3	增加技能距离	15	1	0					356								128								
《坐忘经·返本归元》人偶图残页	纯阳	1	增加效果	16	1	0					356																纯阳\秘笈\纯阳_返本归元_增加驱散效果.lua
《坐忘经·返本归元》人偶图断篇	纯阳	2	增加效果	17	1	0					356																纯阳\秘笈\纯阳_返本归元_增加驱散效果减速.lua
