MasterName	MasterID	TabFile
万花技能导师曲风	1	skill/SkillLearning/万花.tab
万花技能导师孙思邈	2	skill/SkillLearning/万花.tab
少林技能导师慧海	3	skill/SkillLearning/少林.tab
少林技能导师澄正	4	skill/SkillLearning/少林.tab
扬州技能导师	5	skill/SkillLearning/扬州.tab
纯阳技能导师	6	skill/SkillLearning/纯阳.tab
天策技能导师	7	skill/SkillLearning/天策.tab
万花轻功导师	8	skill/SkillLearning/万花-玉石俱焚Npc.tab
少林轻功导师	9	skill/SkillLearning/少林-千斤坠Npc.tab
纯阳轻功导师	10	skill/SkillLearning/纯阳-梯云纵Npc.tab
天策轻功导师	11	skill/SkillLearning/天策-疾奔突Npc.tab
天策技能导师	12	skill/SkillLearning/天策.tab
七秀技能导师	13	skill/SkillLearning/七秀.tab
浩气盟恶人谷天策技能导师	14	skill/SkillLearning/浩气盟恶人谷天策.tab
浩气盟恶人谷万花技能导师	15	skill/SkillLearning/浩气盟恶人谷万花.tab
浩气盟恶人谷七秀技能导师	16	skill/SkillLearning/浩气盟恶人谷七秀.tab
浩气盟恶人谷纯阳技能导师	17	skill/SkillLearning/浩气盟恶人谷纯阳.tab
浩气盟恶人谷少林技能导师	18	skill/SkillLearning/浩气盟恶人谷少林.tab
浩气盟恶人谷轻功导师	19	skill/SkillLearning/浩气盟恶人谷轻功.tab
浩气盟轻功导师	20	skill/SkillLearning/浩气盟飞景.tab
恶人谷轻功导师	21	skill/SkillLearning/恶人谷星霜.tab
新手村武学训练师	22	skill/SkillLearning/新手村.tab
藏剑技能导师	23	skill/SkillLearning/藏剑.tab
藏剑轻功导师	24	skill/SkillLearning/藏剑-探梅Npc.tab
浩气盟恶人谷藏剑技能导师	25	skill/SkillLearning/浩气盟恶人谷藏剑.tab
五毒技能导师	26	skill/SkillLearning/五毒.tab
唐门技能导师	28	skill/SkillLearning/唐门.tab
新手镇少林训练师	31	skill/SkillLearning/新手镇-少林.tab
新手镇万花训练师	32	skill/SkillLearning/新手镇-万花.tab
新手镇天策训练师	33	skill/SkillLearning/新手镇-天策.tab
新手镇纯阳训练师	34	skill/SkillLearning/新手镇-纯阳.tab
新手镇七秀训练师	35	skill/SkillLearning/新手镇-七秀.tab
新手镇五毒训练师	36	skill/SkillLearning/新手镇-五毒.tab
新手镇唐门训练师	37	skill/SkillLearning/新手镇-唐门.tab
新手镇藏剑训练师	38	skill/SkillLearning/新手镇-藏剑.tab
明教技能导师	39	skill/SkillLearning/明教.tab
新手镇藏剑训练师	40	skill/SkillLearning/新手镇-明教.tab
丐帮技能导师	41	skill/SkillLearning/丐帮.tab
苍云技能导师	42	skill/SkillLearning/苍云.tab
长歌技能导师	43	skill/SkillLearning/长歌.tab
霸刀技能导师	44	skill/SkillLearning/霸刀.tab

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
