RecipeName	RecipeDec	RecipeID	RecipeLevel	BuffID	BuffLevel	IntensityChange	CountAdd	IntervalFrameAdd	DamageAddPercent	BeginAttrib1	BeginValue1A	BeginValue1B	BeginAttrib2	BeginValue2A	BeginValue2B	BeginAttrib3	BeginValue3A	BeginValue3B	BeginAttrib4	BeginValue4A	BeginValue4B	ActiveAttrib1	ActiveValue1A	ActiveValue1B	EndTimeAttrib1	EndTimeValue1A	EndTimeValue1B	IntensityAdd
Default	Buff秘笈描述	0	0	0	0	0	0	0	0																			0
浮花浪蕊	增加持续时间	1	1	687		1		64																				1
兰摧玉折	Buff秘笈描述	2	1	711	0	0	1	0	0																			1
商阳指	Buff秘笈描述	3	1	666	0	0	1	0	0																			1
凭虚御风	Buff秘笈描述	4	1	372	0	0	0	48	0																			1
坐忘无我	Buff秘笈描述	5	1	134	0	0	0	403	0																			1
绕足	移动速度降低10%	6	1	523	1	0	0	0	0	atMoveSpeedPercent	-102																	10
上元点鬟	增加治疗效果7%	7	1	681	1	0	0	0	0													atCallTherapy	9		atCallTherapy	22		1
天地低昂	增加持续时间	8	1	684	1	0	0	48	0																			1
天地低昂	增加持续时间	9	1	684	1	0	0	48	0																			1
上元点鬟	增加治疗效果7%	10	1	681	0	0	0	0	72																			1
翔鸾舞柳	增加治疗效果5%	11	1	680	0	0	0	0	30																			1
翔鸾舞柳	增加治疗效果7%	13	1	680	0	0	0	0	51																			1
天策_疾如风	Buff秘笈描述	14	1	200	0	0	0	32	0																			1
天策_守如山	Buff秘笈描述	15	1	367	0	0	0	48	0																			1
天策_啸如虎	Buff秘笈描述	16	1	203	0	0	0	32	0																			1
猛虎下山	Buff秘笈描述	17	1	344	0	0	0	64	0																			1
春泥护花	Buff秘笈描述	18	1	122	0	0	0	0	0	atGlobalResistPercent	51																	1
四象轮回	Buff秘笈描述	19	1	555	0	0	0	0	0	atMoveSpeedPercent	-102	0																10
坐忘无我	Buff秘笈描述	20	1	134	0	0	0	0	0	atGlobalDamageAbsorb	50																	1
抱残式	Buff秘笈描述	21	1	563	0	0	0	0	0	atMoveSpeedPercent	-102	0																102
