ID	DoodadName(程序不读)	DoodadTemplateID	CostThew	ProfessionID	RequireLevel	DoodadLevel	ToolItemType	ToolItemIndex	PowerfulToolItemType	PowerfulToolItemIndex	EquipmentType	Exp	PrepareFrame	ExpertiseDrop	ExpertiseRate	ExpertiseMinCount	ExpertiseMaxCount	Lv0_Drop0	Lv0_Rate0	Lv0_Drop1	Lv0_Rate1	Lv0_Drop2	Lv0_Rate2	Lv0_Drop3	Lv0_Rate3	Lv0_MinCount	Lv0_MaxCount	Lv1_Drop0	Lv1_Rate0	Lv1_Drop1	Lv1_Rate1	Lv1_Drop2	Lv1_Rate2	Lv1_Drop3	Lv1_Rate3	Lv1_MinCount	Lv1_MaxCount	Lv2_Drop0	Lv2_Rate0	Lv2_Drop1	Lv2_Rate1	Lv2_Drop2	Lv2_Rate2	Lv2_Drop3	Lv2_Rate3	Lv2_MinCount	Lv2_MaxCount	Lv3_Drop0	Lv3_Rate0	Lv3_Drop1	Lv3_Rate1	Lv3_Drop2	Lv3_Rate2	Lv3_Drop3	Lv3_Rate3	Lv3_MinCount	Lv3_MaxCount
0	未知物件	0	0	0	0	0	0	-1	0	-1	0	0	0																																												
1020	铜矿	1020	10	1	20	20	0	0	0	0	0	20	80	矿石\1-50lv_mine_byproduct.tab	256	1	1	矿石\tong.tab	1024							2	4	矿石\tong.tab	1024							1	3	矿石\tong.tab	1024							1	2	矿石\tong.tab	1024							1	1
1021	锡矿	1021	10	1	20	20	0	0	0	0	0	20	80	矿石\1-50lv_mine_byproduct.tab	256	1	1	矿石\xi.tab	1024							2	4	矿石\xi.tab	1024							1	3	矿石\xi.tab	1024							1	2	矿石\xi.tab	1024							1	1
1022	铅矿	1022	15	1	30	30	0	0	0	0	0	25	80	矿石\qian_byproduct.tab	256	1	1	矿石\qian.tab	1024							2	4	矿石\qian.tab	1024							1	3	矿石\qian.tab	1024							1	2	矿石\qian.tab	1024							1	1
1023	锌矿	1023	20	1	40	40	0	0	0	0	0	30	80	矿石\xin_byproduct.tab	256	1	1	矿石\xin.tab	1024							2	4	矿石\xin.tab	1024							1	3	矿石\xin.tab	1024							1	2	矿石\xin.tab	1024							1	1
1024	铁矿	1024	25	1	50	50	0	0	0	0	0	35	80	矿石\1-50lv_mine_byproduct.tab	256	1	1	矿石\tie.tab	1024							2	4	矿石\tie.tab	1024							1	3	矿石\tie.tab	1024							1	2	矿石\tie.tab	1024							1	1
1025	银矿	1025	30	1	60	60	0	0	0	0	0	40	80	矿石\yin_byproduct.tab	256	1	1	矿石\yin.tab	1024							2	4	矿石\yin.tab	1024							1	3	矿石\yin.tab	1024							1	2	矿石\yin.tab	1024							1	1
1027	银砂矿	1027	35	1	70	70	0	0	0	0	0	45	80	矿石\50lv+_mine_byproduct.tab	256	1	1	矿石\yinsha.tab	1024							2	4	矿石\yinsha.tab	1024							1	3	矿石\yinsha.tab	1024							1	2	矿石\yinsha.tab	1024							1	1
2645	月锡	2645	40	1	80	80	0	0	0	0	0	50	80	矿石\50lv+_mine_byproduct.tab	256	1	1	矿石\yuexi.tab	1024							2	4	矿石\yuexi.tab	1024							1	3	矿石\yuexi.tab	1024							1	2	矿石\yuexi.tab	1024							1	1
2644	赤铁	2644	40	1	80	80	0	0	0	0	0	50	80	矿石\50lv+_mine_byproduct.tab	256	1	1	矿石\chitie.tab	1024							2	4	矿石\chitie.tab	1024							1	3	矿石\chitie.tab	1024							1	2	矿石\chitie.tab	1024							1	1
4229	圳铁矿	4229	40	1	90	90	0	0	0	0	0	50	80	矿石\expertise1.tab	256	1	1	矿石\zhentie.tab	1024							2	4	矿石\zhentie.tab	1024							1	3	矿石\zhentie.tab	1024							1	2	矿石\zhentie.tab	1024							1	1
4230	禹铜矿	4230	40	1	90	90	0	0	0	0	0	50	80	矿石\expertise1.tab	256	1	1	矿石\yutong.tab	1024							2	4	矿石\yutong.tab	1024							1	3	矿石\yutong.tab	1024							1	2	矿石\yutong.tab	1024							1	1
3395	帮会烟雨石矿	3395	40	1	95	95	0	0	0	0	0	64	80	矿石\expertise.tab	408	1	1	矿石\Lv95_caijin2.tab	1024							6	8	矿石\Lv95_caijin2.tab	1024							4	6	矿石\Lv95_caijin2.tab	1024							2	4	矿石\Lv95_caijin2.tab	1024							1	1
3417	帮会天青石矿	3417	40	1	95	95	0	0	0	0	0	64	80	矿石\expertise.tab	408	1	1	矿石\Lv95_caijin1.tab	1024							6	8	矿石\Lv95_caijin1.tab	1024							4	6	矿石\Lv95_caijin1.tab	1024							2	4	矿石\Lv95_caijin1.tab	1024							1	1
4501	圳铁矿	4501	40	1	90	90	0	0	0	0	0	50	80	矿石\expertise1.tab	256	1	1	矿石\zhentie.tab	1024							2	4	矿石\zhentie.tab	1024							1	3	矿石\zhentie.tab	1024							1	2	矿石\zhentie.tab	1024							1	1
4502	禹铜矿	4502	40	1	90	90	0	0	0	0	0	50	80	矿石\expertise1.tab	256	1	1	矿石\yutong.tab	1024							2	4	矿石\yutong.tab	1024							1	3	矿石\yutong.tab	1024							1	2	矿石\yutong.tab	1024							1	1
5661	天青石矿	5661	40	1	95	95	0	0	0	0	0	64	80	矿石\expertise.tab	408	1	1	矿石\Lv95_caijin1.tab	1024							6	8	矿石\Lv95_caijin1.tab	1024							4	6	矿石\Lv95_caijin1.tab	1024							2	4	矿石\Lv95_caijin1.tab	1024							1	1
5662	烟雨石矿	5662	40	1	95	95	0	0	0	0	0	64	80	矿石\expertise.tab	408	1	1	矿石\Lv95_caijin2.tab	1024							6	8	矿石\Lv95_caijin2.tab	1024							4	6	矿石\Lv95_caijin2.tab	1024							2	4	矿石\Lv95_caijin2.tab	1024							1	1

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
