ID	DoodadName(程序不读)	DoodadTemplateID	CostThew	ProfessionID	RequireLevel	DoodadLevel	ToolItemType	ToolItemIndex	PowerfulToolItemType	PowerfulToolItemIndex	EquipmentType	Exp	PrepareFrame	ExpertiseDrop	ExpertiseRate	ExpertiseMinCount	ExpertiseMaxCount	Lv0_Drop0	Lv0_Rate0	Lv0_Drop1	Lv0_Rate1	Lv0_Drop2	Lv0_Rate2	Lv0_Drop3	Lv0_Rate3	Lv0_MinCount	Lv0_MaxCount	Lv1_Drop0	Lv1_Rate0	Lv1_Drop1	Lv1_Rate1	Lv1_Drop2	Lv1_Rate2	Lv1_Drop3	Lv1_Rate3	Lv1_MinCount	Lv1_MaxCount	Lv2_Drop0	Lv2_Rate0	Lv2_Drop1	Lv2_Rate1	Lv2_Drop2	Lv2_Rate2	Lv2_Drop3	Lv2_Rate3	Lv2_MinCount	Lv2_MaxCount	Lv3_Drop0	Lv3_Rate0	Lv3_Drop1	Lv3_Rate1	Lv3_Drop2	Lv3_Rate2	Lv3_Drop3	Lv3_Rate3	Lv3_MinCount	Lv3_MaxCount
0	未知物件	0	0	0	0	0	0	-1	0	-1	0	0	0																																												
386	1~20级通用尸体	386	10	3	20	20	0	0	0	0	0	20	80					ClassDrop\Box\lv20_suirou.tab	512	ClassDrop\Box\lv20_zasui.tab	512					2	4	ClassDrop\Box\lv20_suirou.tab	512	ClassDrop\Box\lv20_zasui.tab	512					1	3	ClassDrop\Box\lv20_suirou.tab	512	ClassDrop\Box\lv20_zasui.tab	512					1	2	ClassDrop\Box\lv20_suirou.tab	512	ClassDrop\Box\lv20_zasui.tab	512					1	1
378	1~20级通用尸体	378	10	3	20	20	0	0	0	0	0	20	80					ClassDrop\Box\lv20_suirou.tab	512	ClassDrop\Box\lv20_zasui.tab	512					2	4	ClassDrop\Box\lv20_suirou.tab	512	ClassDrop\Box\lv20_zasui.tab	512					1	3	ClassDrop\Box\lv20_suirou.tab	512	ClassDrop\Box\lv20_zasui.tab	512					1	2	ClassDrop\Box\lv20_suirou.tab	512	ClassDrop\Box\lv20_zasui.tab	512					1	1
372	1~20级通用尸体	372	10	3	20	20	0	0	0	0	0	20	80					ClassDrop\Box\lv20_suirou.tab	512	ClassDrop\Box\lv20_zasui.tab	512					2	4	ClassDrop\Box\lv20_suirou.tab	512	ClassDrop\Box\lv20_zasui.tab	512					1	3	ClassDrop\Box\lv20_suirou.tab	512	ClassDrop\Box\lv20_zasui.tab	512					1	2	ClassDrop\Box\lv20_suirou.tab	512	ClassDrop\Box\lv20_zasui.tab	512					1	1
360	1~20级通用尸体	360	10	3	20	20	0	0	0	0	0	20	80					ClassDrop\Box\lv20_suirou.tab	512	ClassDrop\Box\lv20_zasui.tab	512					2	4	ClassDrop\Box\lv20_suirou.tab	512	ClassDrop\Box\lv20_zasui.tab	512					1	3	ClassDrop\Box\lv20_suirou.tab	512	ClassDrop\Box\lv20_zasui.tab	512					1	2	ClassDrop\Box\lv20_suirou.tab	512	ClassDrop\Box\lv20_zasui.tab	512					1	1
348	1~20级通用尸体	348	10	3	20	20	0	0	0	0	0	20	80					ClassDrop\Box\lv20_suirou.tab	512	ClassDrop\Box\lv20_zasui.tab	512					2	4	ClassDrop\Box\lv20_suirou.tab	512	ClassDrop\Box\lv20_zasui.tab	512					1	3	ClassDrop\Box\lv20_suirou.tab	512	ClassDrop\Box\lv20_zasui.tab	512					1	2	ClassDrop\Box\lv20_suirou.tab	512	ClassDrop\Box\lv20_zasui.tab	512					1	1
366	1~20级通用尸体	366	10	3	20	20	0	0	0	0	0	20	80					ClassDrop\Box\lv20_suirou.tab	512	ClassDrop\Box\lv20_zasui.tab	512					2	4	ClassDrop\Box\lv20_suirou.tab	512	ClassDrop\Box\lv20_zasui.tab	512					1	3	ClassDrop\Box\lv20_suirou.tab	512	ClassDrop\Box\lv20_zasui.tab	512					1	2	ClassDrop\Box\lv20_suirou.tab	512	ClassDrop\Box\lv20_zasui.tab	512					1	1
354	1~20级通用尸体	354	10	3	20	20	0	0	0	0	0	20	80					ClassDrop\Box\lv20_suirou.tab	512	ClassDrop\Box\lv20_zasui.tab	512					2	4	ClassDrop\Box\lv20_suirou.tab	512	ClassDrop\Box\lv20_zasui.tab	512					1	3	ClassDrop\Box\lv20_suirou.tab	512	ClassDrop\Box\lv20_zasui.tab	512					1	2	ClassDrop\Box\lv20_suirou.tab	512	ClassDrop\Box\lv20_zasui.tab	512					1	1
387	20~30级通用尸体	387	15	3	30	30	0	0	0	0	0	25	80					ClassDrop\Box\lv30_chang.tab	512	ClassDrop\Box\lv30_feirou.tab	512					2	4	ClassDrop\Box\lv30_chang.tab	512	ClassDrop\Box\lv30_feirou.tab	512					1	3	ClassDrop\Box\lv30_chang.tab	512	ClassDrop\Box\lv30_feirou.tab	512					1	2	ClassDrop\Box\lv30_chang.tab	512	ClassDrop\Box\lv30_feirou.tab	512					1	1
379	20~30级通用尸体	379	15	3	30	30	0	0	0	0	0	25	80					ClassDrop\Box\lv30_chang.tab	512	ClassDrop\Box\lv30_feirou.tab	512					2	4	ClassDrop\Box\lv30_chang.tab	512	ClassDrop\Box\lv30_feirou.tab	512					1	3	ClassDrop\Box\lv30_chang.tab	512	ClassDrop\Box\lv30_feirou.tab	512					1	2	ClassDrop\Box\lv30_chang.tab	512	ClassDrop\Box\lv30_feirou.tab	512					1	1
