typeindex	mapid	mapindex	typename	typeiconpath	typeiconframe	typetxt	valuelist
0	0	0					
1	1	0	常用功能	ui\Image\Minimap\Minimap.UITex	188	常用功能描述	1;2;
2	1	0	生活技能	ui\Image\Minimap\Minimap.UITex	197	生活技能描述	3;4;1;
3	6	0	常用功能	ui\Image\UICommon\NPCGuidlines.UITex	1	扬州城里的事情，问我们卫兵就对了！常年驻守在这里，哪怕城里多只老鼠，我们都能发觉了。	5;6;
4	6	0	兑换买卖	ui\Image\UICommon\NPCGuidlines.UITex	3	虽说“无商不奸”，但很多东西，若没有商贾往来沟通，日子还真是不好过的啊。	12;17;18;19;20;30;
5	6	0	生活技艺	ui\Image\UICommon\NPCGuidlines.UITex	6	自己动手，丰衣足食。想要壮大自己的实力填充自己的钱囊，不妨学习一种生活技艺吧。	22;23;24;25;26;27;28;297;
6	6	0	书籍会试	ui\Image\UICommon\NPCGuidlines.UITex	7	书中自有黄金屋，书中自有颜如玉。哎，后悔当初未曾好好读书，不然也不会再这里常年站岗了。	8;48;
7	6	0	交通接引	ui\Image\UICommon\NPCGuidlines.UITex	4	你想去哪里？无论江湖哪个角落，都可以去，都可以抵达。只要你有一双好鞋子或者……足够的车马费。	6;9;10;16;396;
8	6	0	对抗阵营	ui\Image\UICommon\NPCGuidlines.UITex	2	有人的地方就有江湖，有江湖的地方，就有竞争，就有冲突。	10;12;13;14;9;
9	6	0	帮会相关	ui\Image\UICommon\NPCGuidlines.UITex	5	若想要在江湖上扬名立万，单打独斗绝对是不行的。由江湖侠士创建和组成的帮会，将是这个江湖最重要的部分。	13;15;16;
10	6	1	常用功能	ui\Image\UICommon\NPCGuidlines.UITex	1	再来镇对于我们这些常年在这里驻守的兵士来说，犹如手掌上的纹路一样熟悉。	31;
11	6	1	门派接引	ui\Image\UICommon\NPCGuidlines.UITex	0	闯荡江湖第一事，就是要拜入门派。拜入各派，研习高深武学，才能确保在江湖安身立命，扬名立万！	34;35;36;37;38;39;40;41;42;43;
12	6	1	重要人物	ui\Image\UICommon\NPCGuidlines.UITex	12	这些人物会在你闯荡江湖的时候，给你帮助或者引导，让你迅速融入这个江湖。	44;45;49;
13	6	1	兑换买卖	ui\Image\UICommon\NPCGuidlines.UITex	3	虽说“无商不奸”，但很多东西，若没有商贾往来沟通，日子还真是不好过的啊。	7;33;
14	6	1	交通接引	ui\Image\UICommon\NPCGuidlines.UITex	4	你想去哪里？无论江湖哪个角落，都可以去，都可以抵达。只要你有一双好鞋子或者……足够的车马费。	32;34;35;36;37;38;39;40;41;42;43;
15	6	1	书籍会试	ui\Image\UICommon\NPCGuidlines.UITex	7	书中自有黄金屋，书中自有颜如玉。哎，后悔当初未曾好好读书，不然也不会再这里常年站岗了。	47;
16	15	0	常用功能	ui\Image\UICommon\NPCGuidlines.UITex	1	长安城里的事情，问我们卫兵就对了！常年驻守在这里，哪怕城里多只老鼠，我们都能发觉了。	73;74;
17	15	0	兑换买卖	ui\Image\UICommon\NPCGuidlines.UITex	3	虽说“无商不奸”，但很多东西，若没有商贾往来沟通，日子还真是不好过的啊。	79;83;84;85;86;94;
