id	npcid	kindname	tiptest	position	kindiconpath	kindiconframe	mapid	mapindex	sortindex
0	0						0	0	0
1	0	医术	<text>text="医术也划分多种，万花医术和长歌医术各有千秋" font=162</text>		ui\Image\Minimap\Minimap.UITex	191	1	0	228
1	30	万花医术		15155,28063,1055397;			1	0	230
1	40	长歌医术		26619,9776,1047676;			1	0	229
2	0	裁缝	<text>text="裁缝tip描述" font=162</text>		ui\Image\Minimap\Minimap.UITex	194	1	0	218
2	15346	裁缝1		18604,24988,1053895;;			1	0	220
2	15678	裁缝2		13096,35189,1077229;;			1	0	219
3	0	跨地图交通	<text>text="交通tip描述" font=162</text>		ui\Image\Minimap\Minimap.UITex	123	1	0	221
3	24	车夫		21060,26149,1051105;			1	0	406
4	0	商人	<text>text="商人tip描述" font=162</text>		ui\Image\Minimap\Minimap.UITex	179	1	0	223
4	17	武器商		18129,24500,1053977;			1	0	224
4	28	小吃商		16604,26830,1053928;			1	0	225
4	1182	郎中		14818,26693,1055176;			1	0	226
4	3780	杂货商		14873,29032,1055759;			1	0	227
5	0	仓储·信使·交易师	<text>text="提示：在城市的多个地方均有信使和仓库管理员驻守，可以就近找寻。" font=162</text>				6	0	1022
5	837	交易师·王炽		87418,64696,1054872;			6	0	898
5	3583	仓库管理员·李学胜		62059,59131,1051832;			6	0	899
5	3584	仓库管理员·马智昇		56579,56623,1051903;			6	0	900
5	3669	信使·城南交易区		62629, 57787, 1051904;;			6	0	901
5	8137	交易师·高小昆		62833,59398,1052089;			6	0	902
5	8138	信使·城东交易区		86699, 66703, 1054208;			6	0	903
5	8140	信使·日常区		70420, 64300, 1051840;			6	0	904
6	0	长途车夫·短途车夫·船夫					6	0	960
6	3637	长途车夫·苏涵		64304,45899,1052787;			6	0	961
6	3859	船夫·刘海俊		78988,57690,1048761;			6	0	962
6	17591	短途车夫		63584, 45828, 1053312;			6	0	1097
7	0	基础武器·基础衣甲					6	1	1101
7	253	服装商·严正		47386,24742,1051061;			6	1	983
7	274	武器商·徐伟		45597,31081,1049190;			6	1	984
8	0	收书人					6	0	1060
8	494	杂集收书人·赵山河		54109,60110,1052499;			6	0	1061
8	495	道学收书人·武文墨		54011,60114,1052499;			6	0	1062
8	496	佛学收书人·谢断笔		54342,59728,1052572;			6	0	1063
8	5926	高级杂集收书·地字玖玖		54214,59279,1052499;			6	0	1064
9	0	战场接引人					6	0	1077
9	654	恶人谷战场接引人		88750, 73290, 1054208;			6	0	1078
9	6891	浩气盟战场接引人		85185, 73576, 1054208;;			6	0	1079
10	0	名剑大会接引人					6	0	1041
10	16059	名剑大会报名·张英		86865,73763,1055143;			6	0	920
11	0	齐物阁接引人					6	0	928
11	26527	齐物阁接引·孔媛		87084, 74160, 1055040;			6	0	929
12	0	威望·战阶·名剑大会相关商人					6	0	1065
12	1053	浩气盟威望商·别南轩		85081,73902,1054153;			6	0	1066
12	3037	恶人谷威望商·周简白		88913,73877,1054152;			6	0	1067
12	8131	浩气盟战阶商·王雨瑶		85200,74056,1054165;			6	0	1068
12	8132	恶人谷战阶商·董海健		88780,74103,1054148;			6	0	1069
12	16250	阵营名剑套装·许相迎		86487,73640,1055010;			6	0	1070
12	16251	中立名剑套装·王陵		86480,73786,1055143;			6	0	1071
13	0	阵营与装备转换使					6	0	1083
13	1349	帮会阵营总管·玄字伍叁		92576,68439,1058991;			6	0	1084
13	7820	阵营大使·玄字陆捌		92735,68463,1058990;			6	0	1085
13	7821	黑市商人·李守财		92443,68448,1058991;			6	0	1086
15	0	帮会登记人					6	0	1013
15	5745	帮会登记人·玄字贰壹		92496,70090,1058992;			6	0	1014
16	0	帮会领地接引人					6	0	1015
16	4714	帮会家园执事·玄字玖贰		93744,69268,1059323;			6	0	1016
17	0	食物·药品·杂货·五行石商人					6	0	1054
17	2259	杂货商·应云儿		67996,65207,1051919;			6	0	935
17	2261	行脚商·宇文腾龟		67907,64763,1051919;			6	0	936
17	2262	小吃商·习绿枝		74912,63974,1051895;			6	0	937
17	3876	郎中·杨帆		70771,63914,1051895;			6	0	938
17	8808	五行石商人·曾鑫		53738,56644,1051785;			6	0	1055
18	0	马匹·鞍具·饲料·马厩·兽医					6	0	1036
18	3792	兽医·段楚楚		76632, 69876, 1051904;			6	0	914
18	8134	马商·苏志		76495,69969,1051895;			6	0	915
19	0	声望相关兑换商人	<text>text="江湖各大势力，在此均有对应的声望商人。" font=162</text>				6	0	1052
19	3	各势力声望商聚集区		65260, 68326, 1053440;			6	0	1053
20	0	江湖贡献·侠义值兑换商人					6	0	1033
20	1348	侠义值商人·玄字叁玖		92924,70181,1058990;			6	0	1034
20	1495	江湖物资商·玄字柒肆		93676,70182,1059293;			6	0	911
22	0	采金技艺训练师					6	0	1020
22	2287	采金训练师·计河		58459,59073,1051837;			6	0	896
23	0	神农技艺训练师					6	0	1050
